SKEWS FOR SHAPE PARAMETERS
1.5755706504882199 #179, triangle 60
1.5725799106398497 #180, triangle 60
1.5644290202628768 #181, triangle 61
1.5771636333269197 #182, triangle 61
1.5627681137777152 #183, triangle 61
1.566655621993551 #184, triangle 62
1.5809804852456242 #185, triangle 62
1.5707019464080758 #186, triangle 62
#The minimum value is 1.5364049026096278, which is in quad 45 {(0.375, 0.08333333333333333)(0.75, 0.05555555555555555)(1.125, 0.08333333333333333)(0.75, 0.16666666666666666)}, which is in triangle 15 {(0.0, 0.0)(1.5, 0.0)(0.75, 0.16666666666666666)}
#The maximum value is 1.6059059114877807, which is in quad 168 {(2.955959008097166, 2.25)(2.977979504048583, 1.875)(2.985319669365722, 2.25)(2.977979504048583, 2.625)}, which is in triangle 56 {(3.0, 1.5)(3.0, 3.0)(2.955959008097166, 2.25)}
#The mean average is 1.571039704402668

