TAPERS FOR SHAPE PARAMETERS
0.021439929452770786 0.03533915071132286 #118, triangle 40
0.021439929452770796 0.03533915071132287 #119, triangle 40
0.027488451197029324 0.02748845119702935 #120, triangle 40
0.026811236378669986 0.026811236378669917 #121, triangle 41
0.024776305440343503 0.027961198956424474 #122, triangle 41
0.024776305440343847 0.02796119895642374 #123, triangle 41
0.029719480656530933 0.029719480656530756 #124, triangle 42
0.03565790022753997 0.02550106938165438 #125, triangle 42
0.03565790022754019 0.02550106938165417 #126, triangle 42
0.023609676533823176 0.03506535461568972 #127, triangle 43
0.022021797128992958 0.03567987472888349 #128, triangle 43
0.027148119629177653 0.029205342713040355 #129, triangle 43
0.025821997766198656 0.025821997766198663 #130, triangle 44
0.029891437748994703 0.023037840163498764 #131, triangle 44
0.029891437748994717 0.023037840163498434 #132, triangle 44
0.02012105630477472 0.030157304966549333 #133, triangle 45
0.027576617394689123 0.025557365539908592 #134, triangle 45
0.021097179714765574 0.02902423529311499 #135, triangle 45
0.0354276155822952 0.025704125497541423 #136, triangle 46
0.029781645938312475 0.02963177349587475 #137, triangle 46
0.0354747108332607 0.02559564017886139 #138, triangle 46
0.027188298200288175 0.024009230357533592 #139, triangle 47
0.026041666666666786 0.02604166666666643 #140, triangle 47
0.027188298200287748 0.024009230357533592 #141, triangle 47
0.046893894163219284 0.01698330782795931 #142, triangle 48
0.046893894163218396 0.0169833078279603 #143, triangle 48
0.031700306885876633 0.031700306885876564 #144, triangle 48
0.026382626976922962 0.030342995667219527 #145, triangle 49
0.030153787057532702 0.026741737536167643 #146, triangle 49
0.027727998241851855 0.028273059949354654 #147, triangle 49
0.029781645938312302 0.029631773495874404 #148, triangle 50
0.03542761558229542 0.025704125497541523 #149, triangle 50
0.03547471083326048 0.025595640178861588 #150, triangle 50
0.03756900915996103 0.0223706279407893 #151, triangle 51
0.03607625752616303 0.02614705492805245 #152, triangle 51
0.03202011909657934 0.027057909155115363 #153, triangle 51
0.02687078135627191 0.02743288032810528 #154, triangle 52
0.027432880328105234 0.0268707813562711 #155, triangle 52
0.027082935639372214 0.02708293563937237 #156, triangle 52
0.025956902827620473 0.03472713697486062 #157, triangle 53
0.02797580437776767 0.032007801114256315 #158, triangle 53
0.028721409573594595 0.03339579171655777 #159, triangle 53
0.027824095857702128 0.033699009191804366 #160, triangle 54
0.030700048890551144 0.03310685741671076 #161, triangle 54
0.02676922081422127 0.03509423171034575 #162, triangle 54
0.02564806719217788 0.031358319215605036 #163, triangle 55
0.029325795910300018 0.025423989830425237 #164, triangle 55
0.032610624443667205 0.022897793483162582 #165, triangle 55
0.023549478387279714 0.07031399659593128 #166, triangle 56
0.023549478387279714 0.07031399659592684 #167, triangle 56
0.04691090493349173 0.046910904933491746 #168, triangle 56
0.030366530262712292 0.02430615261512242 #169, triangle 57
0.018639905690007855 0.032682287904712726 #170, triangle 57
0.02171859798881788 0.029343589622052624 #171, triangle 57
0.017931943882387245 0.02666277113708616 #172, triangle 58
0.02162314486589344 0.021623144865893163 #173, triangle 58
0.026662771137086608 0.0179319438823874 #174, triangle 58
0.030302858406188047 0.03457909378992533 #175, triangle 59
0.026107696808087028 0.03657464373455955 #176, triangle 59
0.028029551727205036 0.0341218112351629 #177, triangle 59
0.027475192507823716 0.031120881257075864 #178, triangle 60
0.03146626555623597 0.028763960982258665 #179, triangle 60
0.026341052505395555 0.03271443887083635 #180, triangle 60
0.014665346105977424 0.03526066561585922 #181, triangle 61
0.014665346105977922 0.0352606656158587 #182, triangle 61
0.024508430950035024 0.024508430950035583 #183, triangle 61
0.03464364921908698 0.021897410181594905 #184, triangle 62
0.03345132297928035 0.028574215113862805 #185, triangle 62
0.03727262005845463 0.019132618947153304 #186, triangle 62
#The minimum x value is 0.014665346105977424, which is in quad 181 {(2.921818195962343, 2.628297866286238)(2.977979504048583, 2.625)(3.0, 3.0)(2.9047477898949317, 2.8174467994293573)}, which is in triangle 61 {(2.955959008097166, 2.25)(3.0, 3.0)(2.8094955797898633, 2.6348935988587145)}
#The maximum x value is 0.07033393020470353, which is in quad 44 {(0.0, 0.0)(0.75, 0.0)(0.75, 0.05555555555555555)(0.375, 0.08333333333333333)}, which is in triangle 15 {(0.0, 0.0)(1.5, 0.0)(0.75, 0.16666666666666666)}
#The minimum y value is 0.016230649290020115, which is in quad 91 {(1.25, 0.9578327702738473)(1.5, 0.9718885135158981)(1.5, 1.0)(1.0, 1.0)}, which is in triangle 31 {(2.0, 1.0)(1.0, 1.0)(1.5, 0.9156655405476946)}
#The maximum y value is 0.07036070878180363, which is in quad 40 {(0.0, 0.0)(0.125, 0.375)(0.08333333333333333, 0.75)(0.0, 0.75)}, which is in triangle 14 {(0.0, 1.5)(0.0, 0.0)(0.25, 0.75)}
#The mean average for x is 0.028357115033991374
#The mean average for y is 0.028884826836519537

