TAPERS FOR JACOBIAN
-0.3333333333333333 -0.20000000000000004 #118, triangle 40
-0.3333333333333333 0.20000000000000004 #119, triangle 40
0.0 0.4999999999999999 #120, triangle 40
-0.4193135670957524 0.12670189233567253 #121, triangle 41
0.13328925784217496 -0.413280763866288 #122, triangle 41
-0.2571752360782531 -0.2619466729128036 #123, triangle 41
0.5 0.0 #124, triangle 42
-0.2 0.3333333333333333 #125, triangle 42
0.2 0.3333333333333333 #126, triangle 42
0.34516219174140583 0.2 #127, triangle 43
0.32171069867481733 -0.2 #128, triangle 43
-0.02505874556406649 -0.5 #129, triangle 43
0.459232718692651 0.029735714660135505 #130, triangle 44
0.22743310790943827 -0.31942833504882107 #131, triangle 44
-0.1705469181595768 -0.34753453310555166 #132, triangle 44
-0.07820742305803038 -0.6355060121406287 #133, triangle 45
0.37585097720267047 0.26286993578214835 #134, triangle 45
0.29336474478479635 -0.1254057202783052 #135, triangle 45
0.2 0.3342344991036282 #136, triangle 46
-0.5 -0.002018075226503783 #137, triangle 46
-0.2 0.3324333840682475 #138, triangle 46
-0.3333333333333333 0.20000000000000043 #139, triangle 47
0.0 0.49999999999999933 #140, triangle 47
-0.3333333333333333 -0.20000000000000043 #141, triangle 47
0.19999999999999832 -0.3333333333333333 #142, triangle 48
-0.19999999999999832 -0.3333333333333333 #143, triangle 48
-0.5000000000000052 0.0 #144, triangle 48
0.15248811565908832 0.4216478621012676 #145, triangle 49
-0.4385383711070498 -0.13576163460643512 #146, triangle 49
-0.2424675956133658 0.25534946715496615 #147, triangle 49
0.5 -0.002018075226503783 #148, triangle 50
-0.2 0.33423449910362807 #149, triangle 50
0.2 0.3324333840682481 #150, triangle 50
-0.23695822030288008 0.2948632460783398 #151, triangle 51
0.15927937513559656 0.3741592876240768 #152, triangle 51
-0.445995137535014 -0.07564494298488263 #153, triangle 51
-0.1495969167819703 -0.38553830568926645 #154, triangle 52
0.4354740293877379 0.09219322719576432 #155, triangle 52
0.24476264492499633 -0.28491952339186083 #156, triangle 52
0.2901041415937794 -0.23256434632344422 #157, triangle 53
-0.08369752076432396 -0.45204618035190447 #158, triangle 53
0.3795600398095068 0.16454960644389846 #159, triangle 53
0.10460777820680825 0.4540060197398765 #160, triangle 54
-0.39483804555825497 -0.16621260574980526 #161, triangle 54
-0.2770235926982435 0.23115571793744485 #162, triangle 54
0.12500000000000025 -0.5 #163, triangle 55
-0.26315789473684237 -0.2 #164, triangle 55
-0.41176470588235237 0.2 #165, triangle 55
0.3333333333333333 0.20000000000000484 #166, triangle 56
0.3333333333333333 -0.20000000000000484 #167, triangle 56
0.0 -0.4999999999999849 #168, triangle 56
-0.39004304204542645 0.28446055224623135 #169, triangle 57
0.09832341147461178 -0.7093144092539865 #170, triangle 57
-0.2810694306658828 -0.09293186275442666 #171, triangle 57
-0.03756467748928415 0.6620506646446879 #172, triangle 58
0.31552284574560635 0.11317218147026806 #173, triangle 58
0.35163270193713214 -0.2713417066362055 #174, triangle 58
0.38461538461538386 0.17725778000392023 #175, triangle 59
0.28571428571428586 -0.22151875911167868 #176, triangle 59
-0.09090909090909109 -0.46768093785010034 #177, triangle 59
0.30434782608695615 0.17073170731707277 #178, triangle 60
0.36363636363636387 -0.22727272727272688 #179, triangle 60
-0.05882352941176445 0.5483870967741943 #180, triangle 60
0.32943617534012476 0.25817313068069453 #181, triangle 61
0.3372534070464492 -0.13192678996061397 #182, triangle 61
-0.00864230389581682 0.4180438222574921 #183, triangle 61
0.5000000000000037 -0.12349174799786908 #184, triangle 62
-0.19999999999999823 0.41043528148555725 #185, triangle 62
0.19999999999999823 0.2642240730821924 #186, triangle 62
#The minimum x value is -0.6424915882726641, which is in quad 14 {(2.2088699276677195, 0.6397832127795322)(2.3856849638338598, 0.8823916063897661)(2.2571233092225733, 0.9215944042598441)(2.1044349638338598, 0.8198916063897661)}, which is in triangle 5 {(2.2088699276677195, 0.6397832127795322)(2.5625, 1.125)(2.0, 1.0)}
#The maximum x value is 0.7142857142857139, which is in quad 39 {(0.125, 1.125)(0.25, 0.75)(0.375, 1.0)(0.25, 1.1666666666666667)}, which is in triangle 13 {(0.5, 1.25)(0.0, 1.5)(0.25, 0.75)}
#The minimum y value is -0.7093144092539865, which is in quad 170 {(2.6217227936537837, 2.5503948689559555)(2.8094955797898633, 2.6348935988587145)(2.5297477898949317, 2.8174467994293573)(2.497815195769189, 2.700263245970637)}, which is in triangle 57 {(2.8094955797898633, 2.6348935988587145)(2.25, 3.0)(2.4339500075177036, 2.4658961390531964)}
#The maximum y value is 0.8545454545454549, which is in quad 76 {(0.3583333333333334, 0.15833333333333333)(0.375, 0.08333333333333333)(0.75, 0.16666666666666666)(0.5375000000000001, 0.2375)}, which is in triangle 26 {(0.0, 0.0)(0.75, 0.16666666666666666)(0.32500000000000007, 0.3083333333333333)}
#The mean average for x is -0.005112613021128318
#The mean average for y is -0.008177334021958175

