ASPECT RATIOS FOR SHAPE PARAMETERS
1.1587301587301602 #179, triangle 60
1.252480158730159 #180, triangle 60
3.7652823499572063 #181, triangle 61
3.7652823499576895 #182, triangle 61
1.8190622135382666 #183, triangle 61
1.6830529480209355 #184, triangle 62
1.5691957052790946 #185, triangle 62
1.948185732322968 #186, triangle 62
#The minimum value is 1.0000000000000044, which is in quad 49 {(0.8125, 1.25)(0.96875, 1.25)(0.9375, 1.5)(0.71875, 1.375)}, which is in triangle 17 {(1.0, 1.0)(0.9375, 1.5)(0.5, 1.25)}
#The maximum value is 28.738655133366272, which is in quad 166 {(2.985319669365722, 2.25)(3.0, 2.25)(3.0, 3.0)(2.977979504048583, 2.625)}, which is in triangle 56 {(3.0, 1.5)(3.0, 3.0)(2.955959008097166, 2.25)}
#The mean average is 2.1872583021663554

