ASPECT RATIOS FOR JACOBIAN
3.1936935025251203 #182, triangle 61
3.244021151303895 #183, triangle 61
1.9390056126757014 #184, triangle 62
3.336715227194002 #185, triangle 62
1.2675506653500441 #186, triangle 62
1.074290773715525 #187, triangle 63
2.461901662623517 #188, triangle 63
1.6583433473996063 #189, triangle 63
1.0867657626990388 #190, triangle 64
1.0004973887092747 #191, triangle 64
1.0006958942240594 #192, triangle 64
4.053013722424902 #193, triangle 65
4.929249964554059 #194, triangle 65
3.9659468850832145 #195, triangle 65
-0.0835218374804316 #196, triangle 66
4.489843750000429 #197, triangle 66
1.1972916666666213 #198, triangle 66
1.8784673380970875 #199, triangle 67
3.5750360203230263 #200, triangle 67
1.0562479679201906 #201, triangle 67
4.342071061964424 #202, triangle 68
3.87865959720857 #203, triangle 68
3.9475026627053453 #204, triangle 68
5.746527777777894 #205, triangle 69
5.537326388889106 #206, triangle 69
5.3872222222223005 #207, triangle 69
1.2496470893455323 #208, triangle 70
55.37693430656707 #209, triangle 70
3.3826520166518828 #210, triangle 70
3.097977604238865 #211, triangle 71
2.1082146263744352 #212, triangle 71
1.406478907711405 #213, triangle 71
3.0864575491426516 #214, triangle 72
1.007565223694702 #215, triangle 72
-0.04534498682224508 #216, triangle 72
1.4262491681455303 #217, triangle 73
2.356615537979755 #218, triangle 73
1.2507738973261597 #219, triangle 73
6.149915142372154 #220, triangle 74
6.877256317689466 #221, triangle 74
8.17850094092817 #222, triangle 74
1.1450025181997416 #223, triangle 75
6.647680636736694 #224, triangle 75
2.332621870882767 #225, triangle 75
2.3260250684728336 #226, triangle 76
1.2893436493126174 #227, triangle 76
-0.042265731362602144 #228, triangle 76
-0.18190648294557024 #229, triangle 77
1.9995385816710034 #230, triangle 77
1.187778623464174 #231, triangle 77
1.982405845555693 #232, triangle 78
1.0499903847034306 #233, triangle 78
4.243287752345354 #234, triangle 78
1.3390776567495768 #235, triangle 79
3.1651450053707664 #236, triangle 79
1.5726330664154837 #237, triangle 79
1.2347577008716282 #238, triangle 80
-0.15337426345552813 #239, triangle 80
2.9598630345037162 #240, triangle 80
7.46029763197931 #241, triangle 81
7.442364892692191 #242, triangle 81
7.702307259426034 #243, triangle 81
3.339823694662408 #244, triangle 82
5.009977719655114 #245, triangle 82
7.515111886079611 #246, triangle 82
2.514313162916915 #247, triangle 83
1.464978923634952 #248, triangle 83
-0.19807082893200603 #249, triangle 83
1.0242125058768237 #250, triangle 84
1.0457283447866208 #251, triangle 84
1.065188172042999 #252, triangle 84
1.1057223264540148 #253, triangle 85
1.6774800188057857 #254, triangle 85
1.206514864010167 #255, triangle 85
1.1161645422943436 #256, triangle 86
1.5109737248841215 #257, triangle 86
1.3263243024666387 #258, triangle 86
4.544024488754781 #259, triangle 87
2.5222516713477594 #260, triangle 87
8.05765116540958 #261, triangle 87
8.63687150838033 #262, triangle 88
13.179401993356384 #263, triangle 88
10.809877460081507 #264, triangle 88
-0.6869144907315161 #265, triangle 89
2.4732482092806136 #266, triangle 89
1.0584492104643008 #267, triangle 89
-0.11281873795670687 #268, triangle 90
1.9383916701612376 #269, triangle 90
1.715620326724164 #270, triangle 90
3.424436710020339 #271, triangle 91
1.1476180973287538 #272, triangle 91
1.3461015340819344 #273, triangle 91
1.259395227514233 #274, triangle 92
1.4327753989878822 #275, triangle 92
2.6120614670921096 #276, triangle 92
