SKEWS FOR JACOBIAN
-0.41680670835217204 #172, triangle 58
-0.5420142051924378 #173, triangle 58
-0.46918438657061484 #174, triangle 58
-0.257487418593022 #175, triangle 59
-0.22176393282682774 #176, triangle 59
-0.3042978007258396 #177, triangle 59
2.591212357997336 #178, triangle 60
-1.1228314274533433 #179, triangle 60
0.0012734527549040924 #180, triangle 60
-0.023822979611340375 #181, triangle 61
1.3421465857488173 #182, triangle 61
4.488943636582118 #183, triangle 61
0.24937240637327493 #184, triangle 62
0.4175784193975781 #185, triangle 62
-0.15079571168899117 #186, triangle 62
-0.19941585012603488 #187, triangle 63
-0.8868695413928832 #188, triangle 63
-0.45764696960760237 #189, triangle 63
-0.27992204085894035 #190, triangle 64
0.10221337975627769 #191, triangle 64
-1.1703755215577467 #192, triangle 64
-0.06914610940633915 #193, triangle 65
0.07861128688948675 #194, triangle 65
-0.2234585826219788 #195, triangle 65
-11.97291666666566 #196, triangle 66
-1.4966145833334958 #197, triangle 66
-3.5918749999998636 #198, triangle 66
-1.6142463287008018 #199, triangle 67
-0.9542731477970463 #200, triangle 67
-2.3584034475682922 #201, triangle 67
-0.1081540404937185 #202, triangle 68
0.05251299452123012 #203, triangle 68
0.18743387840015602 #204, triangle 68
0.9573611111111179 #205, triangle 69
3.7407986111112703 #206, triangle 69
-2.753888888888947 #207, triangle 69
-0.5476888318983911 #208, triangle 70
-0.7819377221009586 #209, triangle 70
-0.643727555178955 #210, triangle 70
-0.5117138169343223 #211, triangle 71
-0.2460050713468914 #212, triangle 71
-0.04672351215631692 #213, triangle 71
-0.8723745616364807 #214, triangle 72
-0.7803317363769952 #215, triangle 72
-1.0034690153853039 #216, triangle 72
0.2311654281277744 #217, triangle 73
-0.6352509717222763 #218, triangle 73
-0.4128165306003791 #219, triangle 73
-0.07472480299267134 #220, triangle 74
-0.003391430003836345 #221, triangle 74
0.0836490164716411 #222, triangle 74
1.6091250799743904 #223, triangle 75
1.8281700153402605 #224, triangle 75
1.4240052700922579 #225, triangle 75
-1.110227496838706 #226, triangle 76
-0.9762578715255241 #227, triangle 76
-1.305268106253476 #228, triangle 76
1.5842557036368168 #229, triangle 77
1.1836090012067584 #230, triangle 77
1.4735444891981102 #231, triangle 77
-0.627132936507935 #232, triangle 78
-0.4109454038025455 #233, triangle 78
-0.9874454910169193 #234, triangle 78
1.860582760016191 #235, triangle 79
0.8450590762620838 #236, triangle 79
1.351625058878976 #237, triangle 79
-1.080348651158626 #238, triangle 80
-1.3126062799066605 #239, triangle 80
-1.1742795301669033 #240, triangle 80
-0.0668904112580897 #241, triangle 81
-0.006978688867301047 #242, triangle 81
0.08412096415310871 #243, triangle 81
-3.3402111789208497 #244, triangle 82
-1.6702508960573323 #245, triangle 82
2.504649811101445 #246, triangle 82
-1.4185728300717648 #247, triangle 83
-1.2958778551122565 #248, triangle 83
-1.6041307611052316 #249, triangle 83
