ASPECT RATIOS FOR SHAPE PARAMETERS
2.966943094330631 #183, triangle 61
2.4024499602143394 #184, triangle 62
2.580664565148263 #185, triangle 62
1.5782668417189707 #186, triangle 62
1.7531480169910514 #187, triangle 63
2.2800876218644364 #188, triangle 63
2.0092785444744115 #189, triangle 63
1.0802521323284486 #190, triangle 64
1.1076260077364213 #191, triangle 64
1.1654202274089263 #192, triangle 64
3.5655938532694798 #193, triangle 65
5.073139012583222 #194, triangle 65
4.159350157441375 #195, triangle 65
3.5152406508703273 #196, triangle 66
7.068852974967277 #197, triangle 66
7.256777109153162 #198, triangle 66
2.79863513654288 #199, triangle 67
6.058363691885723 #200, triangle 67
6.04437898453401 #201, triangle 67
4.1915351326033505 #202, triangle 68
3.6625193142760026 #203, triangle 68
3.035778016823994 #204, triangle 68
5.567965897702458 #205, triangle 69
3.412541169372704 #206, triangle 69
4.894267981103573 #207, triangle 69
4.6489549867288185 #208, triangle 70
6.971017544927241 #209, triangle 70
6.685934185382924 #210, triangle 70
2.9681254649040625 #211, triangle 71
2.4945511597284344 #212, triangle 71
2.2664130554570563 #213, triangle 71
8.723076460024423 #214, triangle 72
6.169537091781356 #215, triangle 72
9.20930505979806 #216, triangle 72
2.121757572487682 #217, triangle 73
2.462239397574004 #218, triangle 73
1.8962472532874897 #219, triangle 73
5.294372594951008 #220, triangle 74
6.832470223440546 #221, triangle 74
7.599295051750173 #222, triangle 74
9.582598973079605 #223, triangle 75
13.24123330781182 #224, triangle 75
10.507608247092806 #225, triangle 75
7.529968571396405 #226, triangle 76
5.660026302843054 #227, triangle 76
8.231731217784136 #228, triangle 76
12.044757066834274 #229, triangle 77
7.182733096071043 #230, triangle 77
10.602632537345574 #231, triangle 77
2.7620775800211224 #232, triangle 78
2.1510732233651604 #233, triangle 78
2.9976882247563594 #234, triangle 78
6.377171300444596 #235, triangle 79
6.321772290074712 #236, triangle 79
2.9825280140288952 #237, triangle 79
7.565043142355081 #238, triangle 80
11.609842883559201 #239, triangle 80
11.390446927563387 #240, triangle 80
5.3099862829500415 #241, triangle 81
7.411489841155483 #242, triangle 81
6.395943421208789 #243, triangle 81
2.729932601819983 #244, triangle 82
