TAPERS FOR JACOBIAN
0.18126852400711654 -0.22395130118120923 #500, triangle 167
0.27671628526993586 -0.5780689355224531 #501, triangle 167
0.29215439423566186 -0.6058416407390956 #502, triangle 168
0.3772232848944986 -0.4673125934663101 #503, triangle 168
0.1182079147016569 -0.22177402382388836 #504, triangle 168
0.24683251014387972 -0.5512632913862128 #505, triangle 169
0.4327311453692975 -0.4610222342733176 #506, triangle 169
0.356543884713336 -0.22616981937135702 #507, triangle 169
0.2806607883455862 -0.22359680246227354 #508, triangle 170
0.2579571779571761 -0.5824887302211549 #509, triangle 170
0.41831824225923114 -0.4646921565416756 #510, triangle 170
0.45087783134721926 -0.45125850361501907 #511, triangle 171
0.4729457695357801 -0.23313246902971466 #512, triangle 171
0.23340744320928183 -0.47569174634278233 #513, triangle 171
0.24518388791593548 -0.478063540090779 #514, triangle 172
0.43491422805247054 -0.4515857423519491 #515, triangle 172
0.36919315403423003 -0.23289630512515103 #516, triangle 172
0.11727017493340963 1.2394155505305278 #517, triangle 173
-0.2685516583154391 0.8238456025391621 #518, triangle 173
-0.4050875454245138 0.48762826551230454 #519, triangle 173
0.4370617348267797 -0.4377711659836574 #520, triangle 174
0.3819670034531232 -0.24304048479133475 #521, triangle 174
0.24357124824178533 -0.3862611721901448 #522, triangle 174
0.46213556945923556 -0.24626715092816764 #523, triangle 175
0.23450642061258126 -0.3608362369337997 #524, triangle 175
0.4493600962055539 -0.43347838700319147 #525, triangle 175
0.2272177084404642 -0.31625663502412205 #526, triangle 176
0.4595372731292861 -0.4253764350685517 #527, triangle 176
0.5390922244252702 -0.25245646792440435 #528, triangle 176
0.24326018808777383 -0.43212371909374064 #529, triangle 177
0.4374773468648097 -0.4449798245693918 #530, triangle 177
0.3844781445138278 -0.23770216816334494 #531, triangle 177
0.24815849631699272 -0.651291094596304 #532, triangle 178
0.4309842748980748 -0.47213207167304 #533, triangle 178
0.3466574776016571 -0.2184525555229722 #534, triangle 178
0.3407891718283925 -0.2202857522006447 #535, triangle 179
0.24896168345722047 -0.6257243124132723 #536, triangle 179
0.4299300153624833 -0.46946493727861244 #537, triangle 179
0.4553849069280673 -0.4188998589562813 #538, triangle 180
0.5063852091870729 -0.2574999999999962 #539, triangle 180
0.23016884242101862 -0.2834890965731991 #540, triangle 180
-0.43612057472967075 0.42538727078665606 #541, triangle 181
0.15021195995309494 -25.779982743749162 #542, triangle 181
-0.24427689099221764 0.3163134939865222 #543, triangle 181
0.16321802348805511 -14.055021834063016 #544, triangle 182
-0.23368451858355146 0.3024441566850113 #545, triangle 182
-0.4504946236559136 0.42270371101106496 #546, triangle 182
0.17441516138584487 7.74445893089992 #547, triangle 183
-0.22404675758419237 0.39330323110303317 #548, triangle 183
-0.4640479360852197 0.4389212931258415 #549, triangle 183
0.17150382665739153 19.08037274315821 #550, triangle 184
-0.2266010994873704 0.3570407803988962 #551, triangle 184
-0.46041039520560795 0.43281799137826693 #552, triangle 184
-0.0494117647058814 0.6887579774177586 #553, triangle 185
0.3094017094017099 0.1015049631764359 #554, triangle 185
0.3581560283687969 -0.27903391572456127 #555, triangle 185
-0.22137784046777362 0.365461847389557 #556, triangle 186
-0.46788442725174495 0.43427620632279645 #557, triangle 186
0.17741511960717593 14.166666666667187 #558, triangle 186
0.3833444457092601 -0.22029339420643898 #559, triangle 187
0.24340038341583314 -0.625620266388097 #560, triangle 187
0.4372899743338735 -0.4694538558247547 #561, triangle 187
-0.047513812154703766 0.1658919233004006 #562, triangle 188
0.31040000000000495 0.5569350145490165 #563, triangle 188
-0.8336557059961364 -0.2314281889974392 #564, triangle 188
-0.08572091404709965 -0.23596794161725365 #565, triangle 189
0.3809569840502608 -0.44815451673530954 #566, triangle 189
0.28888487910502036 -0.44735075082407455 #567, triangle 189
-0.20000000000000928 -0.19547655437253564 #568, triangle 190
-0.4999999999999855 0.204472863737675 #569, triangle 190
0.20000000000000928 -0.5071283425490376 #570, triangle 190
0.40352912443522115 -0.36232517482517174 #571, triangle 191
0.21437006650506207 -0.3055497382198946 #572, triangle 191
0.26982460986051304 -0.07318867230599621 #573, triangle 191
0.2690763052209001 0.9357664233576627 #574, triangle 192
-0.6546762589927743 -0.3256180957390889 #575, triangle 192
-0.11650485436894355 0.016871165644172532 #576, triangle 192
0.46657260480488727 -0.33320447328454794 #577, triangle 193
-0.1763973354031409 0.9988418266049008 #578, triangle 193
0.2222875506407088 0.0002897950734828911 #579, triangle 193
-0.571292421166031 -0.21548005974524378 #580, triangle 194
-0.15796866888570926 0.18389674175545978 #581, triangle 194
0.2380347076378935 0.5259447052999509 #582, triangle 194
-0.5000000000000066 -0.1955012660049834 #583, triangle 195
-0.19999999999999368 0.2044487001979757 #584, triangle 195
0.19999999999999368 0.493106407552075 #585, triangle 195
-0.46276849022137234 0.41175667993177917 #586, triangle 196
0.17339869483190692 -4.99768160741879 #587, triangle 196
-0.22494254456874183 0.24996375936216372 #588, triangle 196
0.48848945399511784 -0.45692475463467763 #589, triangle 197
0.8348418668221403 -0.22907083716651283 #590, triangle 197
0.20746992899676922 -0.5182926829268306 #591, triangle 197
-0.6194690265486652 -0.27976259476502124 #592, triangle 198
-0.1331269349845235 0.10037067068226063 #593, triangle 198
0.25729442970822364 0.6914311150679205 #594, triangle 198
-0.21603563474387427 -0.38483174284279364 #595, triangle 199
0.5269461077844332 0.09121100699798512 #596, triangle 199
0.18329466357308397 -0.2855277881387533 #597, triangle 199
0.43852195820777645 -0.1660652260781349 #598, triangle 200
-0.15247278976513182 0.4538313304606168 #599, triangle 200
0.24247983956990893 0.23128099056470072 #600, triangle 200
-0.1682070240295747 0.026782772417035954 #601, triangle 201
0.22945205479452033 0.900836528407122 #602, triangle 201
-0.5528255528255615 -0.32087370668418125 #603, triangle 201
-0.38488309834017803 1.2494564429627628 #604, triangle 202
0.09128259151960756 -0.04341245617132284 #605, triangle 202
-0.28548353696415435 -0.8463598625184072 #606, triangle 202
-0.22362975471536142 0.2283903045369769 #607, triangle 203
-0.464644942034148 0.40685433047236236 #608, triangle 203
0.17488669201521026 -3.9017687934303487 #609, triangle 203
0.4418905794755584 -0.38260148614089945 #610, triangle 204
0.4119574119574112 -0.2874556440359103 #611, triangle 204
0.23997772828507719 -0.1359755922880768 #612, triangle 204
-0.2312211118208288 -0.15606438014944776 #613, triangle 205
-0.453914820072102 0.23958737968837443 #614, triangle 205
0.16613568420363448 -0.5748123980424175 #615, triangle 205
-0.2451975174859552 -0.4627591115968365 #616, triangle 206
0.5880276285494741 0.17339121388619672 #617, triangle 206
0.14904486894713984 -0.22494912151828805 #618, triangle 206
-0.34996085935461346 -4.960829493088978 #619, triangle 207
0.034408279586024756 -0.15800403102669486 #620, triangle 207
-0.31711042749550156 -0.5712273141626054 #621, triangle 207
-0.3684724553639573 0.48644529626378946 #622, triangle 208
0.0667491207049781 1.267669858641126 #623, triangle 208
-0.29995361243186175 0.8090125264356621 #624, triangle 208
0.21306264996671015 -0.16659818731117537 #625, triangle 209
0.48007755918486117 -0.39128570527775947 #626, triangle 209
0.7341956593982488 -0.28001577945885525 #627, triangle 209
0.22216134334610224 0.5431414828329686 #628, triangle 210
-0.5383448583538001 -0.22463476428385723 #629, triangle 210
-0.17653882898866352 0.17374848607186077 #630, triangle 210
8.783410004945792E-15 0.16890601516504444 #631, triangle 211
0.3333333333333275 0.5515922420387898 #632, triangle 211
-1.000000000000035 -0.2288512351633603 #633, triangle 211
0.7469782038394528 -0.2911250165249174 #634, triangle 212
0.21229925811161218 -0.12200403354208524 #635, triangle 212
0.4812155983341567 -0.37839458982652113 #636, triangle 212
-0.3608264062626101 0.3388401208807051 #637, triangle 213
0.05405691314926476 -1.0526026392961845 #638, triangle 213
-0.3069291582700364 0.012651531849231401 #639, triangle 213
0.4854697003829682 -0.46807329261521197 #640, triangle 214
0.7970102281668004 -0.22124711316397358 #641, triangle 214
0.2094644167278057 -0.6127946127946181 #642, triangle 214
0.8876766192801255 -0.2340245241807107 #643, triangle 215
0.20487634447682856 -0.4668437064920356 #644, triangle 215
0.4924497448394246 -0.45002489209398217 #645, triangle 215
0.48596132214828663 -0.4566592579928183 #646, triangle 216
0.8030327518182259 -0.22925984706391764 #647, triangle 216
0.2091387082829754 -0.5162213740458069 #648, triangle 216
0.18653001464128796 2.1170923220139772 #649, triangle 217
-0.21303116147308734 0.5824950459104158 #650, triangle 217
-0.48012443829934404 0.4646928792189439 #651, triangle 217
-0.48418565751158293 0.45737946661391415 #652, triangle 218
0.18940988900926026 2.6908191019752725 #653, triangle 218
-0.21031696644148448 0.5218580957544687 #654, triangle 218
0.20962829950682965 -0.6064620078992723 #655, triangle 219
0.4852225600538523 -0.4673808218141956 #656, triangle 219
0.7940021669333954 -0.22172672347627437 #657, triangle 219
-0.20893150229572377 0.6115005257097097 #658, triangle 220
-0.4862743845981901 0.46793237262008514 #659, triangle 220
0.19086451366126153 1.9310934453277242 #660, triangle 220
0.5257293772954259 -0.2409594301296676 #661, triangle 221
0.2283989893686027 -0.40354630620117177 #662, triangle 221
0.45786992573259305 -0.4405654038968395 #663, triangle 221
0.17452819711698583 -5.549026365673124 #664, triangle 222
-0.2239468775231784 0.25777786457824653 #665, triangle 222
-0.46419084891127915 0.41347152146590765 #666, triangle 222
0.1733912138861956 -2.332238113645103 #667, triangle 223
-0.2249491215182856 0.16659818731117806 #668, triangle 223
-0.4627591115968354 0.3912857052777628 #669, triangle 223
-0.12477962781586681 0.03833801686069796 #670, triangle 224
0.26331409727947236 0.862466246624667 #671, triangle 224
-0.636830102622577 -0.3151311557429779 #672, triangle 224
0.2829940906106371 0.1269146818719417 #673, triangle 225
0.3877840909090901 -0.26179461955593814 #674, triangle 225
-0.09527754763877506 0.6323295913535166 #675, triangle 225
0.7745576919935265 -0.22419619961864765 #676, triangle 226
0.21070742730781913 -0.5750381079957486 #677, triangle 226
0.4835989199056825 -0.46383420340901643 #678, triangle 226
0.38480090036979253 0.2952751870452035 #679, triangle 227
-0.09116800101262884 0.25563331849993853 #680, triangle 227
0.2855543670240602 0.42128400036633495 #681, triangle 227
-0.4671802352083168 0.3783945898265241 #682, triangle 228
0.17686979218953758 -1.769756228234648 #683, triangle 228
-0.22186580620669838 0.12200403354208697 #684, triangle 228
-0.524263170763818 -0.30431493203540805 #685, triangle 229
-0.18491090194645 0.05888373362445254 #686, triangle 229
0.21454058718892666 0.7998260365323329 #687, triangle 229
-0.21477430134091227 0.6545422685057749 #688, triangle 230
-0.47753740870365663 0.47246344422450515 #689, triangle 230
0.1846590698467558 1.716994856341251 #690, triangle 230
-0.1932906647428435 -0.17649467649466916 #691, triangle 231
-0.5106168969411232 0.2222007348675203 #692, triangle 231
0.20659865380558876 -0.5384203480589148 #693, triangle 231
0.04751381215469413 -0.7489685124863982 #694, triangle 232
-0.3104000000000029 -0.07731407169610542 #695, triangle 232
-0.35708367854183837 0.2938888320196635 #696, triangle 232
0.08420390182505069 -1.00232848232842 #697, triangle 233
-0.2897999023914157 0.0005811057612330021 #698, triangle 233
-0.3799081035923067 0.33359135266636486 #699, triangle 233
-0.4999999999999934 0.1508395855662629 #700, triangle 234
0.2000000000000042 -0.43678329902970253 #701, triangle 234
-0.2000000000000042 -0.24377982818962027 #702, triangle 234
-0.19999999999998946 0.4076095129653974 #703, triangle 235
0.19999999999998946 0.26650300581832687 #704, triangle 235
0.5000000000000198 -0.12023555596771357 #705, triangle 235
0.14299913032674683 0.2778735956414552 #706, triangle 236
0.5997217875151836 -0.10330057444807551 #707, triangle 236
-0.24989125706829046 0.39382538063925027 #708, triangle 236
-0.5000000000000145 -0.23702574221903439 #709, triangle 237
-0.1999999999999907 0.1591973905307937 #710, triangle 237
0.1999999999999907 0.5690356416568583 #711, triangle 237
0.5427208111735298 0.12166954032336877 #712, triangle 238
0.17399198123913326 -0.2655032169430226 #713, triangle 238
-0.22442021522179179 -0.40884655571876466 #714, triangle 238
-0.2 -0.23933644806778745 #715, triangle 239
-0.5000000000000072 0.15637324830074156 #716, triangle 239
0.2 -0.4427586814348427 #717, triangle 239
0.1765388289886809 0.22028797356308427 #718, triangle 240
0.5383448583537681 -0.17862804214714031 #719, triangle 240
-0.22216134334612608 0.4694617161129778 #720, triangle 240
-0.13901622002821085 0.6661995651123827 #721, triangle 241
0.252916204535898 0.1113188088178352 #722, triangle 241
0.4247814552254962 -0.27258817632625754 #723, triangle 241
0.437606527651867 -0.30129118806070576 #724, triangle 242
-0.15161528456427137 0.7842186985366685 #725, triangle 242
0.24316357250375414 0.06436129901479525 #726, triangle 242
-0.15796866888571245 -0.23207708446655273 #727, triangle 243
-0.571292421166031 0.16512629889330388 #728, triangle 243
0.23803470763790271 -0.45272300813604205 #729, triangle 243
0.30697778620297 -0.24912006257332814 #730, triangle 244
0.36077368883785704 -0.4115696389093629 #731, triangle 244
0.06882275291011333 -0.26331409727947236 #732, triangle 244
0.26682134570765076 -0.08545771423507698 #733, triangle 245
0.4072164948453667 -0.366579328414815 #734, triangle 245
0.2299465240641657 -0.3016665298415598 #735, triangle 245
0.4202247191010985 -0.2922817489527375 #736, triangle 246
0.2390317700453802 -0.11774189420886086 #737, triangle 246
0.4431718061674064 -0.3770786388659179 #738, triangle 246
-0.8624662466246815 -0.2998143205291847 #739, triangle 247
-0.03833801686069754 0.06699655932269233 #740, triangle 247
0.3151311557429804 0.7768621644241205 #741, triangle 247
0.0475138121547042 -1.9996275605214873 #742, triangle 248
-0.310400000000007 0.14282673478076366 #743, triangle 248
-0.35708367854183837 0.38460656771161056 #744, triangle 248
-0.12929623567921703 -0.047511187227223084 #745, triangle 249
6.448275862068416 -0.31432455282396504 #746, triangle 249
-0.6273584905660261 -0.35290002218316024 #747, triangle 249
-0.6163716700490685 -0.014072076489342854 #748, triangle 250
-0.13464824290512364 0.3269288702928874 #749, triangle 250
0.25617407141888215 0.33979991888603067 #750, triangle 250
0.1613121026275854 0.8753263707571828 #751, triangle 251
-0.44830075187969515 -0.31712285168681925 #752, triangle 251
-0.23527601067105808 0.034383438343823944 #753, triangle 251
0.3404054429325228 -0.4480650510458954 #754, triangle 252
0.01634574240479686 -0.23544752586633005 #755, triangle 252
0.32633545834249694 -0.4530822638333709 #756, triangle 252
-0.11835314241896017 -0.21920357275772048 #757, triangle 253
-0.6506333521960621 0.17982799061766944 #758, triangle 253
0.26780640736748523 -0.4710372698697792 #759, triangle 253
-0.11838612634931395 0.14987672226250898 #760, triangle 254
0.26778365667254506 0.5864414919161226 #761, triangle 254
-0.6505615043092294 -0.24454182239979386 #762, triangle 254
0.3844549053172129 -1.0 #763, triangle 255
0.2858526891069425 -0.5000000000000022 #764, triangle 255
-0.09068480151826785 -0.2 #765, triangle 255
-0.26780640736749395 0.4521276595744717 #766, triangle 256
0.11835314241897232 0.23250564334085372 #767, triangle 256
0.6506333521960672 -0.16461916461916087 #768, triangle 256
0.04422641509433708 0.7875935670347649 #769, triangle 257
-0.3552513464991196 -0.3019574356279494 #770, triangle 257
-0.3121129820749425 0.06316392647771635 #771, triangle 257
-0.1393976752377539 -0.4012253063265787 #772, triangle 258
0.42515334754427075 0.1126166609056375 #773, triangle 258
0.2526287615187499 -0.27171631205673685 #774, triangle 258
-0.2674028549741623 0.4625774877650895 #775, triangle 259
0.11893754233044847 0.22507651945780582 #776, triangle 259
0.6493619237781206 -0.17324625342585667 #777, triangle 259
-0.30011587485516683 0.4243858462925364 #778, triangle 260
0.06646058732613036 0.2532222883204497 #779, triangle 260
-0.36829268292681455 0.3110882956878913 #780, triangle 260
-0.29873717442777237 0.17306652244457857 #781, triangle 261
-0.36982310093654036 0.3930320414159762 #782, triangle 261
0.06890227927690419 -2.439820022497226 #783, triangle 261
-0.37490935460478697 0.37989974239364677 #784, triangle 262
0.07678571428571167 -1.8200674363952467 #785, triangle 262
-0.2941979522184312 0.12694144813842412 #786, triangle 262
0.4843560514188712 -0.2221507589400466 #787, triangle 263
-0.18952922077922077 0.5383245793643856 #788, triangle 263
0.21020367807000195 0.17655069108735802 #789, triangle 263
-0.20780981650546895 0.4635961127692981 #790, triangle 264
-0.4879732739420913 0.4495669567807971 #791, triangle 264
0.19203466396238683 3.745239991312469 #792, triangle 264
0.3974132582446532 0.03888348840441168 #793, triangle 265
-0.10788515106063268 0.3174892840470321 #794, triangle 265
0.27487264335785727 0.34956310046514705 #795, triangle 265
-0.4683021962425214 0.4382304613440077 #796, triangle 266
0.1777375252379575 8.308574277168328 #797, triangle 266
-0.22108875506836184 0.38906136055838786 #798, triangle 266
0.16679544137526756 -0.5958769754617275 #799, triangle 267
-0.23065947295666808 -0.1449700606752533 #800, triangle 267
-0.4546987824803723 0.24837478554170728 #801, triangle 267
0.19373616463065002 -2.6673114119923316 #802, triangle 268
-0.2061672586373915 0.1852170176192498 #803, triangle 268
-0.49047381546133306 0.39623467600700685 #804, triangle 268
0.27641614216957794 -0.16891388305441318 #805, triangle 269
-0.10553775743710131 -0.551578379350642 #806, triangle 269
0.3955634715025586 0.2288444612096123 #807, triangle 269
0.16138797017774673 -4.087884073527844 #808, triangle 270
-0.23521292367467747 0.23280797944443615 #809, triangle 270
-0.4483874835150646 0.4078788821082801 #810, triangle 270
0.23515876668200955 0.3888745732139368 #811, triangle 271
-0.564921821889917 -0.09675488637425843 #812, triangle 271
-0.16145307769930556 0.28206348026462824 #813, triangle 271
-0.18114830438832896 1.807692307692313 #814, triangle 272
0.4727885238901098 0.47042253521126653 #815, triangle 272
0.21800321766314315 0.6347826086956536 #816, triangle 272
-0.04751381215471297 -0.07731407169608942 #817, triangle 273
0.357083678541834 1.6740524781336743 #818, triangle 273
0.31040000000001366 -0.7489685124865246 #819, triangle 273
-0.09090046193761324 0.0007551553877326783 #820, triangle 274
-0.7143070229956406 0.333668536066503 #821, triangle 274
0.2857196126931271 -1.0030274802050503 #822, triangle 274
0.25639500297442724 -1.5574193548387099 #823, triangle 275
0.4203093476798911 -0.5258373205741645 #824, triangle 275
0.2904191616766598 -0.18396138852793395 #825, triangle 275
-0.5787015841040255 0.2215112037519535 #826, triangle 276
0.24127374771153084 -0.5371030832949827 #827, triangle 276
-0.15397744386066045 -0.1772662187465587 #828, triangle 276
-0.20985585701703324 0.506935703626797 #829, triangle 277
-0.48487964354452884 0.45545682601458637 #830, triangle 277
0.189895163421722 2.8934622284233398 #831, triangle 277
0.3635608637190602 -0.5814869788152757 #832, triangle 278
0.07670692135282743 -0.15249370673379625 #833, triangle 278
0.3044169109997188 -8.042565597668153 #834, triangle 278
0.008669601924553086 -0.13889784079922363 #835, triangle 279
0.329556577191158 21.04651162791582 #836, triangle 279
0.3371316072067849 -0.6078252957233785 #837, triangle 279
0.3668739575396887 -0.5428486219151557 #838, triangle 280
0.08632400872691079 -0.17391797649123167 #839, triangle 280
0.3013993383163782 -2.199582536093231 #840, triangle 280
0.31256112137346354 -0.0000966396995837061 #841, triangle 281
-0.043359921369969155 -0.9996135532399432 #842, triangle 281
0.3547735875508225 0.3332903754366728 #843, triangle 281
0.07144191840550376 0.3716034637205257 #844, triangle 282
-0.3714371138130151 -0.07170163170161219 #845, triangle 282
-0.2972896535470133 0.2971408400988133 #846, triangle 282
0.41198137821657027 0.241431028276603 #847, triangle 283
0.2629844872557783 -0.15378180317445997 #848, triangle 283
-0.12524440582231944 -0.5790678858748067 #849, triangle 283
-0.09128259151965067 -0.6555638984832773 #850, triangle 284
0.38488309834014833 0.2693524361055629 #851, triangle 284
0.2854835369642095 -0.11610107718472827 #852, triangle 284
-0.31256112137346354 -0.5650431099682455 #853, triangle 285
-0.3547735875508225 -3.977066205105979 #854, triangle 285
0.043359921369969155 -0.16138627753612433 #855, triangle 285
-0.3172449888956321 -5.501522842639662 #856, triangle 286
-0.03953833317881123 -0.15662297006456768 #857, triangle 286
-0.34981953121603915 -0.5737770382695524 #858, triangle 286
-0.333354782664682 -0.8753263707571488 #859, triangle 287
-0.33331188469208034 1.1811284969180273 #860, triangle 287
-0.000048264877590978916 -0.034383438343843935 #861, triangle 287
-0.3233125064017246 -2.9978748068005143 #862, triangle 288
-0.023798905331445616 -0.1666814341063451 #863, triangle 288
-0.3435070843623978 -0.555529303104822 #864, triangle 288
0.000627867664806534 -0.03440827958601305 #865, triangle 289
-0.33305398871876474 -0.8752447248205557 #866, triangle 289
-0.3336127950470818 1.1813008772622753 #867, triangle 289
0.13210427816265471 1.7107676455435414 #868, triangle 290
-0.25804346453156346 0.6559944145222453 #869, triangle 290
-0.4182085703210881 0.4726108984641771 #870, triangle 290
0.09468593724239804 -0.8789357101418699 #871, triangle 291
-0.2833652340351479 -0.033288619802050515 #872, triangle 291
-0.38735010580767343 0.3176693364722741 #873, triangle 291
0.1250408808460121 0.3469018061697438 #874, triangle 292
-0.4118009235505478 -0.028498955535668852 #875, triangle 292
-0.26312890194636895 0.320035507284219 #876, triangle 292
0.19823461150673077 -0.16765723743605868 #877, triangle 293
-0.20175763123835955 -0.5537980227756233 #878, triangle 293
0.5027675804984191 0.2299232603059177 #879, triangle 293
0.3854763491005765 0.30129118806070576 #880, triangle 294
0.28497281265448743 -0.06436129901479525 #881, triangle 294
-0.0921073277891161 -0.7842186985366685 #882, triangle 294
-0.14418960368394942 -0.17569983642657586 #883, triangle 295
-0.5973956641480135 0.22290846495911762 #884, triangle 295
0.2489768524519135 -0.5397815653560224 #885, triangle 295
0.12524440582227875 0.406199021207184 #886, triangle 296
-0.41198137821660435 -0.11858407079646112 #887, triangle 296
-0.26298448725573975 0.26764705882352874 #888, triangle 296
-0.20708353353009906 0.8269108511136609 #889, triangle 297
-0.48907705334462287 0.4878696592186372 #890, triangle 297
0.19278876388791907 1.2337885372963502 #891, triangle 297
-0.46351402980000916 -0.37176938369783946 #892, triangle 298
-0.22442021522179445 -0.10104529616721655 #893, triangle 298
-0.5722816621049428 -0.29699248120297844 #894, triangle 298
-0.43829006469445203 0.40317691962281194 #895, triangle 299
0.15225607226806231 -3.357436059362052 #896, triangle 299
-0.24265288686218642 0.21291279301888283 #897, triangle 299
-0.2892447920410649 0.3680646637181621 #898, triangle 300
-0.3805440522191585 0.43472178461150407 #899, triangle 300
0.08512528220881997 13.12997658079412 #900, triangle 300
0.4595814719021758 0.333333333333362 #901, triangle 301
0.22718646212242813 0.0 #902, triangle 301
-0.17083103550673148 -0.9999999999998064 #903, triangle 301
-0.4999999999999839 -0.312082541406458 #904, triangle 302
-0.20000000000002574 0.04428517540546722 #905, triangle 302
0.20000000000002574 0.8436334576453175 #906, triangle 302
0.1999999999999897 -0.04428517540551525 #907, triangle 303
-0.1999999999999897 -0.8436334576453036 #908, triangle 303
0.5000000000000161 0.31208254140643316 #909, triangle 303
-0.28621146834606526 -0.2764161421695533 #910, triangle 304
-0.38403923316988176 0.10553775743706438 #911, triangle 304
0.0901024611809467 -0.3955634715026069 #912, triangle 304
0.4723459575200313 -0.27276239310236855 #913, triangle 305
0.23346772971170185 -0.19983006334002978 #914, triangle 305
0.45079442051516877 -0.3999575068085571 #915, triangle 305
-0.23235496036038067 0.1782369342961381 #916, triangle 306
-0.4523368836379428 0.3944070848491521 #917, triangle 306
0.1647976097900347 -2.532267977873497 #918, triangle 306
0.38014295152861577 -0.25566343042071205 #919, triangle 307
0.24379840848806142 -0.2950819672131224 #920, triangle 307
0.43675850573586406 -0.4212454212454139 #921, triangle 307
0.22602470386072096 0.021201021201027417 #922, triangle 308
0.4612283157205442 -0.3235655108929205 #923, triangle 308
-0.1721642534901289 0.9202671676059058 #924, triangle 308
-0.059136666097929814 -0.44846195358878166 #925, triangle 309
0.3638234983637729 0.1614530776992995 #926, triangle 309
0.3041766561514234 -0.23515876668200156 #927, triangle 309
-0.1750511120748391 0.45469878248035633 #928, triangle 310
0.22348413057106414 0.23065947295672518 #929, triangle 310
0.46485363682382314 -0.1667954413753426 #930, triangle 310
-0.14965728559229513 -0.20668695965067985 #931, triangle 311
-0.586859372340893 0.19319935118882853 #932, triangle 311
0.24471502506611378 -0.4896810056067069 #933, triangle 311
-0.2161818695283927 -0.18521544680484653 #934, triangle 312
-0.4754603854389652 0.21425757355838412 #935, triangle 312
0.18313589875654793 -0.5237595024187852 #936, triangle 312
-0.48763040495646576 0.4555455517415993 #937, triangle 313
0.19179943365464483 2.883474891968466 #938, triangle 313
-0.2080358206445195 0.507615597366681 #939, triangle 313
-0.1910685440937407 -0.3495369363885637 #940, triangle 314
0.48656940235559043 0.03359980765760109 #941, triangle 314
0.20873638432775102 -0.3175142202224059 #942, triangle 314
0.20467569110879735 -1.142378212822313 #943, triangle 315
-0.1952690072392344 0.03216035301597924 #944, triangle 315
-0.5074583361909337 0.34689966044744636 #945, triangle 315
-0.1862388751776244 0.2501858129543311 #946, triangle 316
0.21330344877449284 0.42832881138288603 #947, triangle 316
-0.5220712421311189 -0.14261431947265235 #948, triangle 316
-0.000029001479079486442 -0.14321110009911037 #949, triangle 317
0.3333462237518827 -230.20000000873966 #950, triangle 317
0.33332044316404064 -0.599306759098813 #951, triangle 317
0.20801763136527116 -0.07170163170161219 #952, triangle 318
-0.1918183755119418 -0.763965623081698 #953, triangle 318
0.487657989166459 0.2971408400988133 #954, triangle 318
0.2060867882030004 -0.6928571428571968 #955, triangle 319
-0.1938191581082248 -0.0997679814385097 #956, triangle 319
-0.5097708000248574 0.28014842300554704 #957, triangle 319
0.4904047248573647 0.027888446215123583 #958, triangle 320
0.20621250897076612 -0.3203342618384479 #959, triangle 320
-0.19368948063380337 -0.34659090909091744 #960, triangle 320
0.21771828674660543 -0.2832472018074622 #961, triangle 321
0.4732053433517482 -0.41885026109047313 #962, triangle 321
0.6618828287367252 -0.25753895866992943 #963, triangle 321
-0.555476735562507 0.3250747543784641 #964, triangle 322
0.23073144592300296 -0.9316037735849284 #965, triangle 322
-0.1667110068444985 -0.018023617153505193 #966, triangle 322
0.47822285738304493 -0.38480085729595487 #967, triangle 323
0.7138754659671359 -0.2855544041450751 #968, triangle 323
0.21431136401303777 -0.14349738567514922 #969, triangle 323
0.731071275587681 -0.26922047805923166 #970, triangle 324
0.21325180215042733 -0.21744391227627935 #971, triangle 324
0.4797960688248191 -0.4042679166152659 #972, triangle 324
-0.6661995651123451 -0.23803470763789833 #973, triangle 325
-0.11131880881783998 0.15796866888570765 #974, triangle 325
0.2725881763262799 0.5712924211660113 #975, triangle 325
-0.19999999999999668 -0.0475453766886603 #976, triangle 326
-1.0000000000000828 -0.3143122399244012 #977, triangle 326
-0.4999999999999896 -0.3529130687054253 #978, triangle 326
-1.453208978817516 -0.2518747574395523 #979, triangle 327
0.08455979943962331 0.14039529330532088 #980, triangle 327
0.3662731581215037 0.6048503006133981 #981, triangle 327
0.24297061956112276 0.242742095844108 #982, triangle 328
0.4378646468509889 -0.1521442684997109 #983, triangle 328
-0.1518576095801399 0.4381705738530026 #984, triangle 328
-0.19251756753523935 0.11484386140027607 #985, triangle 329
-0.5118576584674497 0.37617489826856376 #986, triangle 329
0.2073450356320908 -1.7008353637312748 #987, triangle 329
0.5027873497577174 0.3077746554261942 #988, triangle 330
0.19822204310034106 -0.05247733308908488 #989, triangle 330
-0.20177008904458368 -0.8186421902199912 #990, triangle 330
-0.08179043163209487 -0.21968743370340885 #991, triangle 331
0.37825831472557425 -0.6339346762741072 #992, triangle 331
0.29124460495023735 -0.47033349246404094 #993, triangle 331
0.2008901812080621 -0.555476735562495 #994, triangle 332
-0.19910783331689783 -0.16671100684451728 #995, triangle 332
-0.5013963462678803 0.23073144592302125 #996, triangle 332
-0.19356830171736022 -0.06068726771106601 #997, triangle 333
-0.5101721995384371 0.3033261215233389 #998, triangle 333
0.20632991797619174 -0.7946392733435526 #999, triangle 333
0.22083380408993158 -0.18921800762078117 #1000, triangle 334
0.2685608621306715 -1.3322381136452746 #1001, triangle 334
