SKEWS FOR SHAPE PARAMETERS
1.570796583405966 #180, triangle 60
1.570796042393669 #181, triangle 61
1.5707924552812125 #182, triangle 61
1.5707897409949816 #183, triangle 61
1.5707952056306762 #184, triangle 62
1.5707969615304296 #185, triangle 62
1.5707953199309348 #186, triangle 62
1.5708638145941805 #187, triangle 63
1.570791424027046 #188, triangle 63
1.5708235516913236 #189, triangle 63
1.5707962961592752 #190, triangle 64
1.5707967209784348 #191, triangle 64
1.5707965280315286 #192, triangle 64
1.57078474533895 #193, triangle 65
1.5707938541158688 #194, triangle 65
1.570779656075842 #195, triangle 65
1.5707941905443341 #196, triangle 66
1.5707981053828184 #197, triangle 66
1.5707978029828185 #198, triangle 66
1.570798184265565 #199, triangle 67
1.5707977373747073 #200, triangle 67
1.5707977607420562 #201, triangle 67
1.5707911075983791 #202, triangle 68
1.5708136046736492 #203, triangle 68
1.5708350158878213 #204, triangle 68
1.570794418254098 #205, triangle 69
1.5707917846840285 #206, triangle 69
1.5708015956870078 #207, triangle 69
1.5708584087789903 #208, triangle 70
1.5707801881072831 #209, triangle 70
1.570818227449204 #210, triangle 70
1.570793881108617 #211, triangle 71
1.570818568288678 #212, triangle 71
1.5708427680647952 #213, triangle 71
1.5708213009939445 #214, triangle 72
1.5708640896867367 #215, triangle 72
1.570779473506507 #216, triangle 72
1.5708303328600923 #217, triangle 73
1.5708007112413984 #218, triangle 73
1.5708740103779677 #219, triangle 73
1.5707632275582795 #220, triangle 74
1.5707823012462676 #221, triangle 74
1.5708025108472752 #222, triangle 74
1.5707888770331118 #223, triangle 75
1.570795444217843 #224, triangle 75
1.5707850680828426 #225, triangle 75
1.5708271563255978 #226, triangle 76
1.5708723313284403 #227, triangle 76
1.5707805279568507 #228, triangle 76
1.5707983238646448 #229, triangle 77
1.570791574945895 #230, triangle 77
1.570790993398091 #231, triangle 77
1.570834050324206 #232, triangle 78
1.5708972719056167 #233, triangle 78
1.5707784448180953 #234, triangle 78
1.5707948270637595 #235, triangle 79
1.570794731194202 #236, triangle 79
1.5707943018102004 #237, triangle 79
1.570918293504581 #238, triangle 80
1.5707610267627556 #239, triangle 80
1.5708367450562706 #240, triangle 80
1.5707696263482493 #241, triangle 81
1.5707926432998116 #242, triangle 81
1.5708088200689976 #243, triangle 81
1.5707983290171084 #244, triangle 82
1.5707979365921172 #245, triangle 82
1.5707948613114262 #246, triangle 82
1.570838666018911 #247, triangle 83
1.5709225558853708 #248, triangle 83
1.5707603514313038 #249, triangle 83
1.5707961455712596 #250, triangle 84
1.5707960191305146 #251, triangle 84
1.570796359727763 #252, triangle 84
1.5707971921890285 #253, triangle 85
1.570797054434862 #254, triangle 85
1.570797188859452 #255, triangle 85
1.5707977030251397 #256, triangle 86
1.5707963994816745 #257, triangle 86
1.5707966033521537 #258, triangle 86
1.5707812941487902 #259, triangle 87
1.5707813442226686 #260, triangle 87
1.5707883755049035 #261, triangle 87
1.570790874689584 #262, triangle 88
1.5708018510402404 #263, triangle 88
1.570793523992053 #264, triangle 88
1.5707979881265963 #265, triangle 89
1.5707937479524297 #266, triangle 89
1.5707940935985252 #267, triangle 89
1.5707635360043004 #268, triangle 90
1.570874041764909 #269, triangle 90
1.570975254106334 #270, triangle 90
1.5707957956688203 #271, triangle 91
1.5707986569916292 #272, triangle 91
1.5707978582502473 #273, triangle 91
1.5707979641872247 #274, triangle 92
1.5707999350888184 #275, triangle 92
1.5707962200134904 #276, triangle 92
1.5707992309793584 #277, triangle 93
1.570802730405763 #278, triangle 93
1.5707956781740964 #279, triangle 93
1.5707967741116693 #280, triangle 94
1.570801174216546 #281, triangle 94
1.5707984165012525 #282, triangle 94
1.5707637589192693 #283, triangle 95
1.570794430961263 #284, triangle 95
1.5707784822736994 #285, triangle 95
1.5707617333792214 #286, triangle 96
1.5708561916219392 #287, triangle 96
1.5709490538244677 #288, triangle 96
