ASPECT RATIOS FOR JACOBIAN
1.2409712081536195 #179, triangle 60
1.0521999317299338 #180, triangle 60
1.0426278385248642 #181, triangle 61
1.1793556957664018 #182, triangle 61
1.036281066917653 #183, triangle 61
1.0357491767663587 #184, triangle 62
1.092903946107469 #185, triangle 62
1.0005744694988699 #186, triangle 62
1.0314072760389101 #187, triangle 63
1.036640891784744 #188, triangle 63
1.028042895621545 #189, triangle 63
1.036190504624574 #190, triangle 64
1.1200886623554185 #191, triangle 64
1.043555851578883 #192, triangle 64
1.0824994593978092 #193, triangle 65
1.021215951833121 #194, triangle 65
1.026893038697679 #195, triangle 65
1.1430543250529583 #196, triangle 66
1.0154695957876358 #197, triangle 66
1.0071058195928821 #198, triangle 66
1.0103303504814227 #199, triangle 67
1.1687987971293556 #200, triangle 67
1.0038084592331151 #201, triangle 67
1.0051979612612194 #202, triangle 68
1.2223335304999972 #203, triangle 68
1.013113947252308 #204, triangle 68
1.0359616038784276 #205, triangle 69
1.221991668856553 #206, triangle 69
1.051715046522746 #207, triangle 69
1.0720618072598715 #208, triangle 70
1.2745977584713633 #209, triangle 70
1.0727512355848403 #210, triangle 70
1.2054225327592059 #211, triangle 71
1.0195009619308602 #212, triangle 71
1.0186998945633083 #213, triangle 71
1.1806242307302284 #214, triangle 72
1.1613469107175156 #215, triangle 72
1.0807383466105638 #216, triangle 72
1.215863531250284 #217, triangle 73
1.2068472033597768 #218, triangle 73
1.1246531665508281 #219, triangle 73
1.0955160710941645 #220, triangle 74
1.0470936793024221 #221, triangle 74
1.208311997814505 #222, triangle 74
1.0634765545041993 #223, triangle 75
1.0691287242138843 #224, triangle 75
1.0810389199603088 #225, triangle 75
1.1422849595195619 #226, triangle 76
1.0785691095808565 #227, triangle 76
1.1187453468997142 #228, triangle 76
1.0138896126272328 #229, triangle 77
1.1843789483914844 #230, triangle 77
1.015455744789067 #231, triangle 77
1.0787204675322832 #232, triangle 78
1.284031180621149 #233, triangle 78
1.0237479983842903 #234, triangle 78
1.1188276320977975 #235, triangle 79
1.0119469968425199 #236, triangle 79
1.0064092981201609 #237, triangle 79
1.2661351586403462 #238, triangle 80
1.0637304662241316 #239, triangle 80
1.06104544976685 #240, triangle 80
1.0853677205880408 #241, triangle 81
1.224771179279377 #242, triangle 81
1.0637959769684424 #243, triangle 81
1.006145449135888 #244, triangle 82
1.2246318075458393 #245, triangle 82
1.0194609444220157 #246, triangle 82
1.0092622827342912 #247, triangle 83
1.0068360528990083 #248, triangle 83
1.1460222936415259 #249, triangle 83
1.0399129172714063 #250, triangle 84
1.0230961330785895 #251, triangle 84
1.1403317748030541 #252, triangle 84
1.0054371533890825 #253, triangle 85
1.2164146367814657 #254, triangle 85
1.0068905323682442 #255, triangle 85
1.0789627744979338 #256, triangle 86
1.0199703271910041 #257, triangle 86
1.1316918110250422 #258, triangle 86
1.0273037184756246 #259, triangle 87
1.0171707553877996 #260, triangle 87
1.0892828049478398 #261, triangle 87
1.171045904292489 #262, triangle 88
1.0491075868143458 #263, triangle 88
1.107581927305549 #264, triangle 88
1.0303395032128084 #265, triangle 89
1.0737605381121114 #266, triangle 89
1.0020239422103894 #267, triangle 89
1.2969265034244482 #268, triangle 90
1.4927576457752811 #269, triangle 90
1.1613418498112988 #270, triangle 90
1.104921902249995 #271, triangle 91
1.039709965623367 #272, triangle 91
1.4306261792585284 #273, triangle 91
1.4400868758996126 #274, triangle 92
1.8145693654675092 #275, triangle 92
1.2351335617016272 #276, triangle 92
1.347903693913414 #277, triangle 93
1.4440669306424783 #278, triangle 93
1.4159185636421872 #279, triangle 93
1.0181363707203799 #280, triangle 94
1.0181298545300093 #281, triangle 94
1.1296938285165057 #282, triangle 94
1.221254116930606 #283, triangle 95
1.0494094467397854 #284, triangle 95
1.0401532621016116 #285, triangle 95
1.0753020206433723 #286, triangle 96
1.0097804967472082 #287, triangle 96
1.0030217492160491 #288, triangle 96
1.1181326852355462 #289, triangle 97
1.0556789514259932 #290, triangle 97
1.0142630575974685 #291, triangle 97
1.0012786313512616 #292, triangle 98
1.0061286919923895 #293, triangle 98
1.070260821067533 #294, triangle 98
1.0354246805971488 #295, triangle 99
1.0698792642228583 #296, triangle 99
1.033403301108478 #297, triangle 99
1.0485965699352284 #298, triangle 100
1.0007131387933967 #299, triangle 100
1.2176383791958383 #300, triangle 100
1.234434736005467 #301, triangle 101
1.0066777685553983 #302, triangle 101
1.0221010876787724 #303, triangle 101
1.0962159425569105 #304, triangle 102
1.0436567402117174 #305, triangle 102
1.1083324858053754 #306, triangle 102
1.0912366305524384 #307, triangle 103
1.161455793698319 #308, triangle 103
1.0254660359693142 #309, triangle 103
