SKEWS FOR JACOBIAN
-0.19028629584269627 #173, triangle 58
0.415071699406049 #174, triangle 58
-0.756267359454467 #175, triangle 59
-0.28704696424239035 #176, triangle 59
0.33651914884565093 #177, triangle 59
0.34790549954359146 #178, triangle 60
-0.751146949438166 #179, triangle 60
-0.28730401988398274 #180, triangle 60
0.22135772154650987 #181, triangle 61
0.6694498963441842 #182, triangle 61
-0.4245696691419103 #183, triangle 61
0.29230771858389765 #184, triangle 62
0.8145739631871418 #185, triangle 62
-0.38566837381395097 #186, triangle 62
0.7220805172776216 #187, triangle 63
-0.4501256499597077 #188, triangle 63
0.2121806054043912 #189, triangle 63
0.28247016395227986 #190, triangle 64
0.7773673682164753 #191, triangle 64
-0.4127027795022361 #192, triangle 64
0.79686309804739 #193, triangle 65
-0.3914146993002949 #194, triangle 65
0.27578263315376145 #195, triangle 65
-0.8260820390335731 #196, triangle 66
-0.3127335592720085 #197, triangle 66
0.3564082618095549 #198, triangle 66
0.34832843216505704 #199, triangle 67
-0.8206385515781227 #200, triangle 67
-0.31606779004625474 #201, triangle 67
0.3473550894775998 #202, triangle 68
-0.7959586266826232 #203, triangle 68
-0.31700636739944826 #204, triangle 68
0.3132355907981712 #205, triangle 69
0.8022054181575519 #206, triangle 69
-0.3253694811413634 #207, triangle 69
0.2983213278633817 #208, triangle 70
0.7610031939276196 #209, triangle 70
-0.32338960989369253 #210, triangle 70
0.7916225358983753 #211, triangle 71
-0.34745337578789715 #212, triangle 71
0.3068617961722618 #213, triangle 71
0.7367923707872128 #214, triangle 72
-0.340912096100514 #215, triangle 72
0.25185055729051053 #216, triangle 72
0.682256159192719 #217, triangle 73
-0.34591253013019935 #218, triangle 73
0.22387002459063896 #219, triangle 73
-0.3098102089225962 #220, triangle 74
0.3125588378260312 #221, triangle 74
0.8163895276442277 #222, triangle 74
-0.41200263098282525 #223, triangle 75
0.2997092968533624 #224, triangle 75
0.8199416141881575 #225, triangle 75
-0.8747561548796059 #226, triangle 76
-0.35914939425525055 #227, triangle 76
0.3733027262736219 #228, triangle 76
0.2890919279537392 #229, triangle 77
0.7706829311324641 #230, triangle 77
-0.3684803197380767 #231, triangle 77
0.24429988637214614 #232, triangle 78
0.6639961106538177 #233, triangle 78
-0.3956165126739086 #234, triangle 78
-0.7592832652863452 #235, triangle 79
-0.26510270692162885 #236, triangle 79
0.4040660918897447 #237, triangle 79
-0.7628426809726953 #238, triangle 80
-0.29889332078708086 #239, triangle 80
0.3287456599591075 #240, triangle 80
0.34585877615458255 #241, triangle 81
-0.7432693326794078 #242, triangle 81
-0.2744281073503711 #243, triangle 81
0.32466261171924077 #244, triangle 82
0.8043833905713376 #245, triangle 82
-0.34664282980586253 #246, triangle 82
-0.41385245604620086 #247, triangle 83
0.24985937006170605 #248, triangle 83
0.7234808645212014 #249, triangle 83
-0.42108348876846097 #250, triangle 84
0.22746775670936842 #251, triangle 84
0.6955303427444475 #252, triangle 84
0.3300949057208705 #253, triangle 85
0.8194213925317317 #254, triangle 85
-0.3370845633165587 #255, triangle 85
-0.7887196898326803 #256, triangle 86
-0.25758324310273933 #257, triangle 86
0.3586309440806023 #258, triangle 86
-0.5136926580335958 #259, triangle 87
0.1495866458254607 #260, triangle 87
0.5981340310662419 #261, triangle 87
0.33567054106741867 #262, triangle 88
0.9435144363045657 #263, triangle 88
-0.42183046226297466 #264, triangle 88
1.0303395032128115 #265, triangle 89
-0.2147521076224212 #266, triangle 89
0.2004047884420744 #267, triangle 89
-0.085899903527582 #268, triangle 90
0.9406829861449089 #269, triangle 90
-0.6031734980121426 #270, triangle 90
0.5966792330222739 #271, triangle 91
1.569681114244719 #272, triangle 91
0.11505889532113367 #273, triangle 91
-0.0964527381787811 #274, triangle 92
1.1418114544268192 #275, triangle 92
-0.642821585865914 #276, triangle 92
0.26958073878268324 #277, triangle 93
1.444066930642475 #278, triangle 93
-0.28318371272843795 #279, triangle 93
-0.6417499563922915 #280, triangle 94
-0.15055106607244723 #281, triangle 94
0.46598780188110617 #282, triangle 94
1.221254116930606 #283, triangle 95
-0.20988188934795604 #284, triangle 95
