ASPECT RATIOS FOR JACOBIAN
1.4139010012919833 #176, triangle 59
-0.5853692335744377 #177, triangle 59
1.0483616089537011 #178, triangle 60
1.2409712081536124 #179, triangle 60
-0.9503897214247949 #180, triangle 60
1.0426278385248595 #181, triangle 61
1.3336297611531593 #182, triangle 61
-0.9649891635812925 #183, triangle 61
1.0357491767663587 #184, triangle 62
1.2751775099294125 #185, triangle 62
-0.9994258603268649 #186, triangle 62
1.4373423942615549 #187, triangle 63
2.551951354958467 #188, triangle 63
-0.9473664577737688 #189, triangle 63
1.036190504624574 #190, triangle 64
1.1930503317094365 #191, triangle 64
-0.9582620791086663 #192, triangle 64
1.3290184486800445 #193, triangle 65
2.390893638939053 #194, triangle 65
-0.8598494565795146 #195, triangle 65
1.1430543250529583 #196, triangle 66
1.4167960075455501 #197, triangle 66
-0.5037264677757279 #198, triangle 66
1.0103303504814132 #199, triangle 67
1.1687987971293556 #200, triangle 67
-0.9962059900989184 #201, triangle 67
1.0051979612612238 #202, triangle 68
1.2223335304999972 #203, triangle 68
-0.9870558022739 #204, triangle 68
1.035961603878437 #205, triangle 69
1.2838042280997386 #206, triangle 69
-0.9508278913630361 #207, triangle 69
1.0720618072598715 #208, triangle 70
1.2995562170207142 #209, triangle 70
-0.9321825664967163 #210, triangle 70
1.241253765472391 #211, triangle 71
1.6445909868235025 #212, triangle 71
-0.615288210011007 #213, triangle 71
1.5332988831520036 #214, triangle 72
2.7517610718366163 #215, triangle 72
-0.899746755671707 #216, triangle 72
1.6178621018666544 #217, triangle 73
2.5053418563371586 #218, triangle 73
-0.8466340403719887 #219, triangle 73
2.333620870094624 #220, triangle 74
1.0470936793024221 #221, triangle 74
-0.8276008198285852 #222, triangle 74
1.840806272635208 #223, triangle 75
1.0691287242138843 #224, triangle 75
-0.9250360755158656 #225, triangle 75
1.1422849595195619 #226, triangle 76
2.523168711435653 #227, triangle 76
-0.6959899332842401 #228, triangle 76
1.0138896126272328 #229, triangle 77
1.2539955918054395 #230, triangle 77
-0.9847794993840154 #231, triangle 77
1.0787204675322832 #232, triangle 78
1.2359826363314652 #233, triangle 78
-0.9768028866266163 #234, triangle 78
1.1188276320977975 #235, triangle 79
1.426148942667391 #236, triangle 79
-0.530206529393776 #237, triangle 79
1.2661351586403393 #238, triangle 80
1.600501190550437 #239, triangle 80
-0.6490148601086017 #240, triangle 80
1.0853677205880312 #241, triangle 81
1.224771179279377 #242, triangle 81
-0.9400298757001834 #243, triangle 81
1.006145449135888 #244, triangle 82
1.1593827141326842 #245, triangle 82
-0.9809105542213254 #246, triangle 82
1.6779385323604046 #247, triangle 83
1.0068360528990083 #248, triangle 83
-0.8725833742923619 #249, triangle 83
1.785421226887279 #250, triangle 84
1.023096133078585 #251, triangle 84
-0.8769377667939746 #252, triangle 84
1.0054371533890871 #253, triangle 85
1.1818457250988144 #254, triangle 85
-0.9931566221483508 #255, triangle 85
1.0789627744979338 #256, triangle 86
1.2743475791091476 #257, triangle 86
-0.22660252849556195 #258, triangle 86
1.714029854135422 #259, triangle 87
1.0171707553877996 #260, triangle 87
-0.9180352388357766 #261, triangle 87
1.1710459042924948 #262, triangle 88
1.165718903237782 #263, triangle 88
-0.9028677476100827 #264, triangle 88
1.0303395032128084 #265, triangle 89
1.073760538112114 #266, triangle 89
-0.9979801458576656 #267, triangle 89
-0.5759843288423881 #268, triangle 90
1.492757645775278 #269, triangle 90
-0.8806722464145224 #270, triangle 90
3.6403663734048655 #271, triangle 91
1.039709965623374 #272, triangle 91
4.469495268418474 #273, triangle 91
-0.3752545926318757 #274, triangle 92
1.8145693654674846 #275, triangle 92
-0.6407397441871249 #276, triangle 92
1.3135049725810637 #277, triangle 93
1.4440669306424783 #278, triangle 93
-0.6052322451177132 #279, triangle 93
1.0181363707203734 #280, triangle 94
1.6967947576262203 #281, triangle 94
-0.3141784862269153 #282, triangle 94
1.221254116930606 #283, triangle 95
1.0494094467397905 #284, triangle 95
-0.9613967829889919 #285, triangle 95
2.686038046253108 #286, triangle 96
1.0097804967472128 #287, triangle 96
-0.9969873542439026 #288, triangle 96
1.1181326852355462 #289, triangle 97
1.0556789514259932 #290, triangle 97
-0.9859375164158556 #291, triangle 97
1.0012786313512616 #292, triangle 98
1.5265233311426092 #293, triangle 98
-0.40688244135181273 #294, triangle 98
1.0354246805971536 #295, triangle 99
1.0698792642228583 #296, triangle 99
-0.9676764133880231 #297, triangle 99
1.280453022014164 #298, triangle 100
1.0007131387933872 #299, triangle 100
-0.8212618927636196 #300, triangle 100
1.1998407843355008 #301, triangle 101
1.4778760725803028 #302, triangle 101
-0.5377784205184277 #303, triangle 101
1.0962159425569158 #304, triangle 102
1.0436567402117174 #305, triangle 102
-0.9022563290413254 #306, triangle 102
1.0912366305524406 #307, triangle 103
1.161455793698319 #308, triangle 103
-0.9751663779432296 #309, triangle 103
1.0176989305049848 #310, triangle 104
1.1891022738809394 #311, triangle 104
-0.2051638009549346 #312, triangle 104
1.0295398223340695 #313, triangle 105
1.0378990342837286 #314, triangle 105
-0.1823624887285602 #315, triangle 105
1.5989813254728542 #316, triangle 106
1.1012894698903632 #317, triangle 106
-0.7948655649601593 #318, triangle 106
1.398575035451188 #319, triangle 107
1.0421131566052868 #320, triangle 107
