SKEWS FOR SHAPE PARAMETERS
1.5702277360086778 #179, triangle 60
1.5710333372818586 #180, triangle 60
1.5705865769452354 #181, triangle 61
1.571356425675789 #182, triangle 61
1.57110840977044 #183, triangle 61
1.5706100280945758 #184, triangle 62
1.5712331314858894 #185, triangle 62
1.5713117299157968 #186, triangle 62
1.5713220248897681 #187, triangle 63
1.5714569915118446 #188, triangle 63
1.5708108480374319 #189, triangle 63
1.5704807393970088 #190, triangle 64
1.5711478093926996 #191, triangle 64
1.571181627751173 #192, triangle 64
1.5712616834064566 #193, triangle 65
1.5713324643669913 #194, triangle 65
1.5706888862810302 #195, triangle 65
1.5703585832498228 #196, triangle 66
1.5710141911763076 #197, triangle 66
1.5703938217560596 #198, triangle 66
1.5704413946964202 #199, triangle 67
1.5703481396483103 #200, triangle 67
1.5710334806619095 #201, triangle 67
1.5705308492706185 #202, triangle 68
1.5703157630536357 #203, triangle 68
1.5711649228871527 #204, triangle 68
1.5705930878451397 #205, triangle 69
1.5713683095220836 #206, triangle 69
1.5711158839285628 #207, triangle 69
1.5705793698553683 #208, triangle 70
1.5714381279039502 #209, triangle 70
1.5710340109033984 #210, triangle 70
1.5712906476403874 #211, triangle 71
1.571095907892487 #212, triangle 71
1.5705326554877477 #213, triangle 71
1.571576809066592 #214, triangle 72
1.571283188592087 #215, triangle 72
1.5709183528923731 #216, triangle 72
1.5716675857479767 #217, triangle 73
1.5712251149039302 #218, triangle 73
1.570970677642287 #219, triangle 73
1.571163693090934 #220, triangle 74
1.5707327119875638 #221, triangle 74
1.571385115518685 #222, triangle 74
1.5712459396862637 #223, triangle 75
1.5704854291957946 #224, triangle 75
1.5710864285841533 #225, triangle 75
1.570561134751756 #226, triangle 76
1.5713791063735447 #227, triangle 76
1.5704475387067485 #228, triangle 76
1.5705264165113209 #229, triangle 77
1.5713172772354254 #230, triangle 77
1.5711426465969722 #231, triangle 77
1.5704091366684445 #232, triangle 78
1.5713649766213262 #233, triangle 78
1.5709198946454106 #234, triangle 78
1.570367749564466 #235, triangle 79
1.570978142602808 #236, triangle 79
1.5703903215422856 #237, triangle 79
1.5701848221234196 #238, triangle 80
1.5710322667048218 #239, triangle 80
1.5705587752870669 #240, triangle 80
1.5704755014679104 #241, triangle 81
1.5701462738641214 #242, triangle 81
1.5709249851303593 #243, triangle 81
1.570395479297287 #244, triangle 82
1.5712383564887913 #245, triangle 82
1.5710421530612475 #246, triangle 82
1.5711774533495524 #247, triangle 83
1.5705653920506861 #248, triangle 83
1.5712899326883958 #249, triangle 83
1.571188881342088 #250, triangle 84
1.5706570372881492 #251, triangle 84
1.571335782975249 #252, triangle 84
1.5704506971605448 #253, triangle 85
1.571243256790647 #254, triangle 85
1.5710653250472155 #255, triangle 85
1.5701574266100369 #256, triangle 86
1.570618897382313 #257, triangle 86
1.5701520458377 #258, triangle 86
1.5712769830625952 #259, triangle 87
1.5706855567360676 #260, triangle 87
1.5713826086248357 #261, triangle 87
1.5705273100263828 #262, triangle 88
1.5709326114862074 #263, triangle 88
1.5715206948135128 #264, triangle 88
1.570306976322894 #265, triangle 89
1.5702859682963004 #266, triangle 89
1.5707052544222533 #267, triangle 89
1.5713089394785515 #268, triangle 90
1.5698852652860575 #269, triangle 90
1.5710849823988722 #270, triangle 90
1.5698545526867136 #271, triangle 91
1.5698446833564332 #272, triangle 91
1.5696645140702583 #273, triangle 91
1.5714512531326934 #274, triangle 92
1.5697562908477973 #275, triangle 92
1.571392702845276 #276, triangle 92
1.5704636188674304 #277, triangle 93
1.569221148740215 #278, triangle 93
1.5706687146998004 #279, triangle 93
1.5702308183645641 #280, triangle 94
1.5705778473331358 #281, triangle 94
1.570217856865782 #282, triangle 94
1.5703128991804072 #283, triangle 95
1.5705386928021943 #284, triangle 95
1.5709754101413311 #285, triangle 95
1.5714231214301242 #286, triangle 96
1.5709442839969225 #287, triangle 96
1.5713373529747054 #288, triangle 96
1.570177290290586 #289, triangle 97
1.5701938817435555 #290, triangle 97
1.570628037936512 #291, triangle 97
1.5702446620734167 #292, triangle 98
1.5706538949044808 #293, triangle 98
1.5701817065611188 #294, triangle 98
1.5702458634266598 #295, triangle 99
1.5703573539618767 #296, triangle 99
1.5708479455230289 #297, triangle 99
1.5709906151708395 #298, triangle 100
1.5703796938242687 #299, triangle 100
1.5711424938549319 #300, triangle 100
1.5712819055898035 #301, triangle 101
1.571042306936827 #302, triangle 101
1.5704619758384621 #303, triangle 101
1.570247767415402 #304, triangle 102
1.5705688064797478 #305, triangle 102
1.571166485154327 #306, triangle 102
1.5703130363026334 #307, triangle 103
1.5701877364948993 #308, triangle 103
1.570820419127031 #309, triangle 103
1.571019321488481 #310, triangle 104
1.571025489307602 #311, triangle 104
1.5701888807052775 #312, triangle 104
1.5705559905459578 #313, triangle 105
1.570914749390783 #314, triangle 105
1.5700889792403638 #315, triangle 105
1.5710679982725493 #316, triangle 106
1.5706684202842733 #317, triangle 106
1.5715711106163481 #318, triangle 106
1.5710944632528931 #319, triangle 107
1.5703761115065173 #320, triangle 107
1.5710673667822272 #321, triangle 107
1.5715068195488098 #322, triangle 108
1.5705954801014768 #323, triangle 108
1.5710356524171725 #324, triangle 108
1.5704309510124215 #325, triangle 109
1.5708887186215768 #326, triangle 109
1.5701031464616433 #327, triangle 109
1.571269410688729 #328, triangle 110
1.5710565978630249 #329, triangle 110
1.5715973194820723 #330, triangle 110
1.5694890086700668 #331, triangle 111
1.5707242469689522 #332, triangle 111
1.57061634683864 #333, triangle 111
1.5703911988813908 #334, triangle 112
1.5700534249027924 #335, triangle 112
1.570019113495132 #336, triangle 112
