TAPERS FOR SHAPE PARAMETERS
0.01308893398789431 0.011922553218012001 #118, triangle 40
0.012370101314905084 0.013139580887547636 #119, triangle 40
0.013549480803302715 0.011609751632853875 #120, triangle 40
0.011490896153399655 0.012527109692037956 #121, triangle 41
0.010543066866671197 0.013846872197655298 #122, triangle 41
0.013505663667427609 0.011256603538486483 #123, triangle 41
0.012514630697451021 0.014269042041337346 #124, triangle 42
0.013979084557632505 0.013048649010794871 #125, triangle 42
0.012885896089020915 0.01370723652814071 #126, triangle 42
0.011435662181282719 0.01296386644501063 #127, triangle 43
0.012441533079926789 0.012364917410415672 #128, triangle 43
0.011466781613822393 0.01291797125891997 #129, triangle 43
0.01227025000143227 0.01302765720511243 #130, triangle 44
0.011184226814512819 0.013601585041802311 #131, triangle 44
0.011500966736412873 0.01315399577796579 #132, triangle 44
0.012575252165168681 0.011707401930859168 #133, triangle 45
0.01224606044257857 0.01191494197901452 #134, triangle 45
0.011919033359325287 0.012455396792860401 #135, triangle 45
0.012057954255597763 0.013573500853065934 #136, triangle 46
0.013839427461315428 0.01154316027273408 #137, triangle 46
0.012932564018620304 0.012157782416988209 #138, triangle 46
0.011341726885899359 0.012798281289402757 #139, triangle 47
0.012229191105685561 0.012343942516870066 #140, triangle 47
0.011295014081185918 0.01286694913578772 #141, triangle 47
0.01188143805732803 0.014094700619925628 #142, triangle 48
0.012410205870869839 0.01331363410768218 #143, triangle 48
0.013782079643213468 0.012477714030723334 #144, triangle 48
0.013859165054294903 0.012209956535382711 #145, triangle 49
0.012429979759013058 0.013100621134569453 #146, triangle 49
0.011763582161999346 0.014088902015077676 #147, triangle 49
0.013054283738823643 0.012159765109987128 #148, triangle 50
0.011942786694870495 0.013934376102082372 #149, triangle 50
0.014234632099413155 0.011337267364180269 #150, triangle 50
0.012363822289429512 0.012708631276715837 #151, triangle 51
0.012329958502285156 0.01276334662833618 #152, triangle 51
0.012635705932355858 0.012547156301126376 #153, triangle 51
0.012307137872543871 0.01320936914938655 #154, triangle 52
0.012166957013096929 0.013424061708372523 #155, triangle 52
0.013098559509868487 0.01274454636905111 #156, triangle 52
0.01175586185851865 0.014243950574593758 #157, triangle 53
0.013719292646684755 0.012753516512975646 #158, triangle 53
0.012156802242616031 0.013671535152362718 #159, triangle 53
0.012223785143611596 0.013331154365289833 #160, triangle 54
0.013510523022012458 0.011891032918767818 #161, triangle 54
0.012839295596220148 0.01232918068761927 #162, triangle 54
0.011769548459049596 0.013403660358184808 #163, triangle 55
0.013399464599756715 0.011777508366616266 #164, triangle 55
0.012403054120570451 0.012415137669438756 #165, triangle 55
0.013275422048249122 0.012546325820039105 #166, triangle 56
0.012312805210137778 0.013122091549458363 #167, triangle 56
0.012022696038184372 0.013563033344083276 #168, triangle 56
0.013238901086777336 0.012476910939814189 #169, triangle 57
0.012689657500061475 0.012814755686707811 #170, triangle 57
0.012396741878386356 0.013284011458361911 #171, triangle 57
0.01316876891216478 0.01288320370830142 #172, triangle 58
0.012050954175173427 0.013523739300486745 #173, triangle 58
0.01193464160354149 0.013694569551934568 #174, triangle 58
0.013079509463960927 0.012728551780331795 #175, triangle 59
0.01223748592334484 0.013221442208807731 #176, triangle 59
0.012097912431556298 0.013433819075438336 #177, triangle 59
0.01189899303881547 0.012855751257615572 #178, triangle 60
0.012522240952475701 0.012477676274614647 #179, triangle 60
0.01191653589804749 0.012828640598736969 #180, triangle 60
0.01214811605284325 0.01285659922818199 #181, triangle 61
0.012775652787472641 0.012486304313385722 #182, triangle 61
0.012034768708039855 0.013033057456956439 #183, triangle 61
0.012927267683768123 0.012708268050395984 #184, triangle 62
0.013352810653598194 0.01244146676605647 #185, triangle 62
0.012581691196747792 0.013273742407592897 #186, triangle 62
0.014007620906809355 0.012164944651221784 #187, triangle 63
0.01241012380804741 0.013877977760847229 #188, triangle 63
0.01311855593593231 0.012745824357102592 #189, triangle 63
0.012424340919818566 0.012326745329652014 #190, triangle 64
0.012488663318568717 0.012287683748634707 #191, triangle 64
0.012348964327023046 0.012452343661271613 #192, triangle 64
0.013337346599431633 0.012135221369566707 #193, triangle 65
0.012264724277419946 0.013266080655781685 #194, triangle 65
0.012724245275672912 0.01252400237843672 #195, triangle 65
0.012714626400408283 0.012184954114299075 #196, triangle 66
0.012322568358788977 0.012424279733430047 #197, triangle 66
0.012120229342163013 0.01275169059295864 #198, triangle 66
0.012010103046940083 0.012622059260237432 #199, triangle 67
0.01252271843877762 0.012182189731390415 #200, triangle 67
0.012140730995913257 0.012412027370283346 #201, triangle 67
0.01255409872279822 0.012868686150160059 #202, triangle 68
0.012642857496956685 0.012930872256479046 #203, triangle 68
0.01244360439673207 0.013046324788880572 #204, triangle 68
0.012214597911124248 0.01293162015481286 #205, triangle 69
0.012870826569365059 0.012543912274860809 #206, triangle 69
0.012086386416054359 0.01313086347942882 #207, triangle 69
0.012005788354047276 0.013153115640571724 #208, triangle 70
0.012771264999178753 0.012713170243806207 #209, triangle 70
0.011982644198608918 0.013188243669032543 #210, triangle 70
0.012521100598597165 0.0124182516994345 #211, triangle 71
0.012063135464034133 0.012727694332764963 #212, triangle 71
0.012102937931438695 0.012664560294272143 #213, triangle 71
0.013868360594484286 0.012199976823664168 #214, triangle 72
0.011650381121627527 0.014149072694347082 #215, triangle 72
0.012330485673097078 0.013153469644336559 #216, triangle 72
0.013788890484310614 0.012126505999654482 #217, triangle 73
0.011282685381294939 0.014212156620164621 #218, triangle 73
0.01197724913321289 0.013231007148104866 #219, triangle 73
0.011410751241073047 0.012950585471812492 #220, triangle 74
0.0117618639787984 0.01241601103867581 #221, triangle 74
0.012719540355942227 0.011835969438373822 #222, triangle 74
0.012443655942401839 0.012383826480172996 #223, triangle 75
0.012592067388913735 0.012131220539071366 #224, triangle 75
0.012555149413717862 0.01215415741066726 #225, triangle 75
0.012665821862247396 0.013309271936806623 #226, triangle 76
0.013264250554125013 0.012954780580850308 #227, triangle 76
0.013498443290920762 0.012545130225388711 #228, triangle 76
0.012594739431786137 0.013080561042950991 #229, triangle 77
0.013032060862079291 0.012820951127875017 #230, triangle 77
0.012513224121744269 0.013210307197576597 #231, triangle 77
0.011906400791551083 0.013173987526587138 #232, triangle 78
0.012241864986024937 0.012988203118002549 #233, triangle 78
0.012199331560414799 0.012719477039727244 #234, triangle 78
0.012531284852581103 0.011875166062732381 #235, triangle 79
0.012083747997356724 0.0121502777603322 #236, triangle 79
0.011832662064133508 0.012555385559696179 #237, triangle 79
0.012669524659862853 0.012664980891183657 #238, triangle 80
0.011989602692027819 0.01305609093146221 #239, triangle 80
0.011987802338747638 0.013058845919283312 #240, triangle 80
0.011887805797206588 0.01336272406813269 #241, triangle 81
0.013028576248764606 0.012490699970673917 #242, triangle 81
0.012102365746591204 0.01303777247848563 #243, triangle 81
0.01233291498547942 0.01288857330066312 #244, triangle 82
0.012407227038353705 0.012845708516124788 #245, triangle 82
0.012500125848428727 0.01261723945298933 #246, triangle 82
0.012327783877466587 0.013066616968198488 #247, triangle 83
0.012489885910607797 0.012807477806974778 #248, triangle 83
0.012950816184707087 0.012529790656755763 #249, triangle 83
0.011927119124023833 0.013070558618162675 #250, triangle 84
0.012208196236648816 0.012630638463710276 #251, triangle 84
0.01291915778399094 0.01219894579477611 #252, triangle 84
0.012181231325188875 0.012692194688540319 #253, triangle 85
0.012365465369454121 0.012584848179004389 #254, triangle 85
0.012265195587711034 0.01255670188916724 #255, triangle 85
0.01389301202697 0.011589744975209216 #256, triangle 86
0.012512893333013588 0.012497526105646273 #257, triangle 86
0.011600103516421106 0.013887823997327386 #258, triangle 86
0.012472089899811453 0.013766559141409939 #259, triangle 87
0.012863152501945054 0.013153150733889068 #260, triangle 87
0.013663414465879547 0.012659717717292645 #261, triangle 87
0.013593610764680032 0.011949071351610717 #262, triangle 88
0.013373881806969438 0.012096926452069948 #263, triangle 88
0.013137326468755286 0.012771393200857527 #264, triangle 88
0.010615778333861065 0.012476141069572408 #265, triangle 89
0.012453569008927594 0.010659859654168076 #266, triangle 89
0.011324389148592155 0.01139045050598912 #267, triangle 89
0.014476512904207425 0.011129930622774314 #268, triangle 90
0.014103073858254593 0.011902236975663933 #269, triangle 90
0.013183266717664588 0.012055616880845095 #270, triangle 90
0.012175963668231671 0.012693436058713842 #271, triangle 91
0.009876110438758117 0.015673253503851074 #272, triangle 91
0.015518534563497614 0.01027525302499373 #273, triangle 91
0.014873859487589116 0.010214946927214119 #274, triangle 92
0.014522956443548868 0.011024406002955508 #275, triangle 92
0.012859626198572756 0.011741472087413348 #276, triangle 92
0.01563502779371845 0.011876723962073843 #277, triangle 93
0.013905035883272103 0.015040944919235666 #278, triangle 93
0.016278946367260155 0.01134577329407902 #279, triangle 93
0.012873452479821208 0.01043076337991269 #280, triangle 94
0.011433561155867536 0.011393002216925673 #281, triangle 94
0.01045846369843733 0.012859960956547683 #282, triangle 94
0.011530837502879674 0.011771617298837123 #283, triangle 95
0.012025764709280944 0.011085131565749163 #284, triangle 95
0.011879069477349038 0.011179632236668673 #285, triangle 95
0.011255426434302914 0.013262643816246538 #286, triangle 96
0.012142359921333714 0.011887412975970188 #287, triangle 96
0.013348973366737658 0.011084027966821754 #288, triangle 96
0.011333886819176513 0.01354656450519743 #289, triangle 97
0.013562957779532238 0.011301163688017339 #290, triangle 97
0.012228902713027123 0.01218035130865074 #291, triangle 97
0.013350200978921775 0.01114238382250155 #292, triangle 98
0.012134307213850719 0.011947576742521606 #293, triangle 98
0.011267796178112462 0.013286894223236855 #294, triangle 98
0.011823827779668502 0.01294106072573036 #295, triangle 99
0.01305593374530935 0.011611444696440333 #296, triangle 99
0.012375977239073464 0.012049946221555903 #297, triangle 99
0.011873427030859772 0.011659545038130032 #298, triangle 100
0.01161992301872278 0.012077710378613403 #299, triangle 100
0.011483762955167077 0.0121555982000095 #300, triangle 100
0.012387585007806881 0.012639796797964781 #301, triangle 101
0.01220934459332346 0.01264397417518766 #302, triangle 101
0.01211201965447786 0.012799031542384773 #303, triangle 101
0.0131810604661857 0.012788742070368172 #304, triangle 102
0.013120639607510117 0.012625698201166767 #305, triangle 102
0.013361098504780263 0.012473475591846148 #306, triangle 102
0.011952610235107936 0.013587300820856636 #307, triangle 103
0.013463227668311909 0.012184360139614213 #308, triangle 103
0.012456518038612082 0.012810730914875477 #309, triangle 103
0.011825937217710723 0.012917934976071233 #310, triangle 104
0.012928588210121529 0.011818950107380198 #311, triangle 104
0.012530594488834751 0.01251300282690759 #312, triangle 104
0.013246878760025987 0.011550486249572429 #313, triangle 105
0.013039832175942883 0.011690991267860485 #314, triangle 105
0.012420243519000162 0.01276599259756127 #315, triangle 105
0.012128018842155999 0.013903034119420926 #316, triangle 106
0.012285751433537764 0.013670269893977216 #317, triangle 106
0.013409628489186413 0.013021106336075275 #318, triangle 106
0.012220118452505138 0.011776073921018478 #319, triangle 107
0.012085583417247884 0.012005243205503965 #320, triangle 107
0.011806850354149304 0.012170523044359149 #321, triangle 107
0.01301346043581218 0.013118637405080775 #322, triangle 108
0.013527800438824306 0.012220744400495824 #323, triangle 108
0.013591143954608031 0.012178501883766823 #324, triangle 108
0.013752822969070115 0.012092422371845402 #325, triangle 109
0.013302381600104102 0.012391075370983584 #326, triangle 109
0.012683091438407387 0.01342980498179514 #327, triangle 109
0.010542819073418844 0.013673170138532477 #328, triangle 110
0.01143654099562218 0.012418394491819537 #329, triangle 110
0.013348120175085947 0.01121560593084657 #330, triangle 110
0.013191501795135636 0.013857127757744376 #331, triangle 111
0.01500355690728762 0.01090280557095926 #332, triangle 111
0.014623749555709744 0.011208156431786314 #333, triangle 111
0.01242743968301964 0.012525656517727583 #334, triangle 112
0.011121621322351264 0.014427175685568162 #335, triangle 112
0.014395288915661619 0.011190273440175591 #336, triangle 112
0.013978304268992613 0.011463379156446614 #337, triangle 113
0.0138059088679498 0.011806446514304385 #338, triangle 113
0.012782259287863567 0.012272455513265485 #339, triangle 113
0.012144281523883499 0.01262612194817089 #340, triangle 114
0.010527947027143068 0.014849089668789709 #341, triangle 114
0.014697608507754943 0.010876455405165525 #342, triangle 114
0.011483887204701533 0.01160155916277507 #343, triangle 115
0.011073815057333672 0.012247992380432676 #344, triangle 115
0.012206335495234649 0.011150210691830652 #345, triangle 115
0.013822518421610053 0.01096266285524197 #346, triangle 116
0.010244425795556155 0.014149241877711223 #347, triangle 116
0.01146861039402351 0.012485983003560864 #348, triangle 116
0.013021956623031005 0.014216686627224105 #349, triangle 117
0.015378827879322658 0.01059470341649554 #350, triangle 117
0.01470268960816246 0.011155774272556318 #351, triangle 117
0.013132769983427316 0.011226704971555356 #352, triangle 118
0.011249288262328572 0.012393256276520563 #353, triangle 118
0.010446767816614414 0.013513401328313142 #354, triangle 118
0.012692753019758574 0.011202470262796017 #355, triangle 119
0.012095469966917329 0.01225444065725409 #356, triangle 119
0.012787701338945629 0.011137492725058954 #357, triangle 119
0.013856641300301177 0.011271805799399561 #358, triangle 120
0.01397972995254612 0.011180241550469835 #359, triangle 120
0.01307958375642933 0.012868308551165197 #360, triangle 120
0.013651930265058773 0.013377647764536784 #361, triangle 121
0.01353921142998899 0.013556029215875653 #362, triangle 121
0.013641495472992506 0.013384033041105982 #363, triangle 121
0.01286333039626052 0.012394808033739631 #364, triangle 122
0.012725376795858431 0.01231362476599865 #365, triangle 122
