TAPERS FOR JACOBIAN
0.4985713048748824 -0.10366443839383803 #120, triangle 40
-0.6367462565762962 1.4724396266689186 #121, triangle 41
0.21948466364208685 0.3671742200077342 #122, triangle 41
0.4706282722513008 -0.08720912265521533 #123, triangle 41
0.19999999999999918 0.35403719300098807 #124, triangle 42
0.5000000000000026 0.04201667112336553 #125, triangle 42
0.19999999999999918 0.31325308173252997 #126, triangle 42
0.1999999999999991 0.33523679960139263 #127, triangle 43
0.4999999999999972 0.004240423709790667 #128, triangle 43
0.1999999999999991 0.3314352863678367 #129, triangle 43
0.47405824728315943 0.009132076732838801 #130, triangle 44
-1.6517870062219948 1.0390228228174625 #131, triangle 44
-0.6704285635894831 0.9644457456065445 #132, triangle 44
0.5184040994063893 0.017404151189737056 #133, triangle 45
-0.7658618376927866 1.0792745483315567 #134, triangle 45
-1.3608828242103987 0.9338378817673288 #135, triangle 45
0.23597010802472587 0.34477413927840034 #136, triangle 46
0.566699787494835 0.024283258144624287 #137, triangle 46
0.16047565453534215 0.32208555289817187 #138, triangle 46
0.1812060935731686 0.3534939708149442 #139, triangle 47
0.47286560205292344 0.04101976511028235 #140, triangle 47
0.21795050609707564 0.31376447678589625 #141, triangle 47
-0.7880938972202619 0.7408545009528331 #142, triangle 48
0.20995254808545588 0.29206137220398426 #143, triangle 48
0.4847340224458732 0.08041594799211804 #144, triangle 48
0.5133630703082785 0.05682961434283642 #145, triangle 49
-0.8198869600884088 1.3774845784783964 #146, triangle 49
-1.2467875139310685 0.8057918631815623 #147, triangle 49
-0.4524507687956863 1.2999104586428547 #148, triangle 50
0.23551389237512507 0.3580192319288833 #149, triangle 50
0.44797388652859504 -0.06120957163412251 #150, triangle 50
-1.0 1.0174852838787252 #151, triangle 51
0.2 0.3352373026354897 #152, triangle 51
0.4999999999999971 -0.0043147376600417035 #153, triangle 51
-0.9999999999999781 1.0789126494275239 #154, triangle 52
0.20000000000000262 0.34136222731335325 #155, triangle 52
0.49999999999999456 -0.018625803717581192 #156, triangle 52
0.19432518376628435 0.3650046821407707 #157, triangle 53
0.4913479079028483 0.061100992821965384 #158, triangle 53
0.2055954335902754 0.30309835819173797 #159, triangle 53
0.21210531614897082 0.3558070132022432 #160, triangle 54
0.5199723048918649 0.04522931651035183 #161, triangle 54
0.18751690430115542 0.31159254668332914 #162, triangle 54
0.21771693422142632 0.3505727354854738 #163, triangle 55
0.5300087343509636 0.03556938174246862 #164, triangle 55
0.18146197327851568 0.31652848937582406 #165, triangle 55
0.5011803135396962 0.033112290442512855 #166, triangle 56
-0.9814219739052078 1.1724118116520457 #167, triangle 56
-1.0191105814151622 0.8795190398643609 #168, triangle 56
0.5195295736351565 0.008830251013031854 #169, triangle 57
-0.7546177672130432 1.0376480992158013 #170, triangle 57
-1.3883080931443788 0.965590528752886 #171, triangle 57
0.4710702831572121 0.06139634659959495 #172, triangle 58
-1.7779629323393855 1.4306811158267907 #173, triangle 58
-0.6409862048723037 0.7926130219545782 #174, triangle 58
0.5011804685552163 0.015555261510585937 #175, triangle 59
-0.9814195736433958 1.069823955224936 #176, triangle 59
-1.0191131212698596 0.9405530906217793 #177, triangle 59
0.19380863812001356 0.34118269231633835 #178, triangle 60
0.49058112800937126 0.016962065663704232 #179, triangle 60
0.20609699019825162 0.3255753175269173 #180, triangle 60
0.21772222697070678 0.3076984306892037 #181, triangle 61
0.530018452653376 -0.06664827114597392 #182, triangle 61
0.18145617849526252 0.35999337742981524 #183, triangle 61
0.1938749368057145 0.320554658681095 #184, triangle 62
0.49067935548193115 -0.03081964779060292 #185, triangle 62
0.20603268672571518 0.34636173657496616 #186, triangle 62
0.490876341377779 -0.0856790137903188 #187, triangle 63
-1.1673549958699863 0.7857694066014465 #188, triangle 63
-0.866226499552364 1.4612828286805493 #189, triangle 63
0.21186820945076687 0.3181511176496016 #190, triangle 64
0.5195596828215827 -0.0371185824964044 #191, triangle 64
0.18776888702265143 0.3488693558849368 #192, triangle 64
0.4860615658222877 -0.03982016875707466 #193, triangle 65
-1.2770847283029263 0.8754394733213883 #194, triangle 65
-0.8042671479093899 1.1808898705426627 #195, triangle 65
0.5081782890294089 0.01393583810852772 #196, triangle 66
-0.882590319730677 1.0617689688880019 #197, triangle 66
-1.1425072818699744 0.9464936164621454 #198, triangle 66
0.20284194933954344 0.33798169673799516 #199, triangle 67
0.5044964526141317 0.010209662009375798 #200, triangle 67
0.19713771448438167 0.3287171564303478 #201, triangle 67
0.1907804311240086 0.33638972194137945 #202, triangle 68
0.4861529527806388 0.006768270428774974 #203, triangle 68
0.20901185532383498 0.3302908930450409 #204, triangle 68
0.1952625061514657 0.33112501125876714 #205, triangle 69
0.4927479752115279 -0.005027006224037841 #206, triangle 69
0.20468204099747667 0.3355489947489171 #207, triangle 69
0.20177123381410228 0.32995472547334304 #208, triangle 70
0.5027891664983478 -0.007739142199969586 #209, triangle 70
0.1982208881281323 0.3367291508971937 #210, triangle 70
0.5044258771729268 -0.011988696487722734 #211, triangle 71
-0.9333177495355939 0.9557580382123756 #212, triangle 71
-1.0740933138303088 1.0497438787440285 #213, triangle 71
0.471293200077345 -0.03739763905902417 #214, triangle 72
-1.767940330742465 0.8814451453929328 #215, triangle 72
-0.6431355615722233 1.1684944388599017 #216, triangle 72
0.47649104824639316 -0.05137533855718721 #217, triangle 73
-1.5606758487428882 0.8488546503415728 #218, triangle 73
-0.6954526593277813 1.2429455900477915 #219, triangle 73
-1.6331052067409975 0.9865895124225121 #220, triangle 74
0.1824524177237322 0.3318195958744358 #221, triangle 74
0.5283508902684019 0.003386684714339873 #222, triangle 74
-0.8669869645273939 0.8953093223987904 #223, triangle 75
0.2058667713664146 0.3200826032603644 #224, triangle 75
0.49093290951528795 0.02840280074188208 #225, triangle 75
0.47806953693343895 0.00019480025846859336 #226, triangle 76
-1.5063503877458808 1.0007802650046465 #227, triangle 76
-0.7122233441585334 0.9992212540658534 #228, triangle 76
0.20542535413019108 0.32327682571166744 #229, triangle 77
0.5086832200831709 -0.02388836832914355 #230, triangle 77
0.19450004790020417 0.34354386437993784 #231, triangle 77
0.23032105566462135 0.3158828219113631 #232, triangle 78
0.5546225880580986 -0.043223587679566335 #233, triangle 78
0.16719201228066646 0.3512529032444206 #234, triangle 78
0.4945233828697823 0.03762322555204947 #235, triangle 79
-1.0949022826170134 1.2042971180804296 #236, triangle 79
-0.9169238865754457 0.8647704170892706 #237, triangle 79
0.49485610011183345 0.008534515277253253 #238, triangle 80
-1.0886893242844975 1.0363071059626023 #239, triangle 80
-0.9217240388664 0.9667141740609518 #240, triangle 80
0.20176779320317195 0.34384598788006837 #241, triangle 81
0.5027837063298913 0.022416285723012387 #242, triangle 81
0.1982243593833023 0.3229838791415942 #243, triangle 81
0.2110085194683381 0.3316644523214692 #244, triangle 82
0.5180711597948483 -0.0037881728276177814 #245, triangle 82
0.18867993771658942 0.33500640257543196 #246, triangle 82
-0.7636091424893585 0.8485362085894871 #247, triangle 83
0.2113305394572848 0.31289185548319187 #248, triangle 83
0.48266432439143575 0.04271870005891704 #249, triangle 83
-0.8100161693047347 0.8209194297613304 #250, triangle 84
0.20876499887088143 0.3081803455723552 #251, triangle 84
0.4865261239671525 0.0517161624572127 #252, triangle 84
0.20509955118348341 0.3329724205890603 #253, triangle 85
0.5081498768485225 -0.0008135952683482068 #254, triangle 85
0.1948345957075683 0.3336944415704552 #255, triangle 85
0.5533022814972198 0.037250203789245415 #256, triangle 86
-0.5116132720112181 1.2015571223310075 #257, triangle 86
-2.8262915861826174 0.8659764036705384 #258, triangle 86
-0.5841708934952833 0.7237375284620173 #259, triangle 87
0.22346269402502117 0.28803879038255276 #260, triangle 87
0.4648843668773741 0.08711572122635211 #261, triangle 87
0.1844852319123074 0.3216604148131619 #262, triangle 88
0.4772990497677179 -0.027978679087134785 #263, triangle 88
0.21493546730874458 0.345214279834175 #264, triangle 88
0.08587081615038372 0.5000000000000016 #265, triangle 89
0.38106113229422195 0.1999999999999985 #266, triangle 89
0.2887941688079732 0.1999999999999985 #267, triangle 89
1.9263241435348235 4.024528405052236 #268, triangle 90
0.08835371766173329 0.40754114353511645 #269, triangle 90
0.7206341607969059 -0.2313465170629562 #270, triangle 90
1.7752610497963277 -0.21294635421337565 #271, triangle 91
0.08223986937806023 0.6580032743327605 #272, triangle 91
0.7361399665442249 3.3584649632381334 #273, triangle 91
1.2226385163278564 3.9826231040488365 #274, triangle 92
0.04005392343160355 0.40731162943620475 #275, triangle 92
0.8569709322571843 -0.230356287366203 #276, triangle 92
1.4680997968477918 -1.0000000000000089 #277, triangle 93
0.06432859514989744 0.5000000000000022 #278, triangle 93
0.784310606431412 -1.0000000000000089 #279, triangle 93
0.5222399289936043 0.08665275712219676 #280, triangle 94
-0.7286487816884175 1.8809963949468225 #281, triangle 94
-1.457611289820519 0.7249027714919059 #282, triangle 94
0.012945110385420846 0.5 #283, triangle 95
0.3392659107559266 0.19999999999999854 #284, triangle 95
0.3274530834671298 0.19999999999999854 #285, triangle 95
-1.0966094964355297 0.7162287502441911 #286, triangle 96
0.19638040145733485 0.2861983985687127 #287, triangle 96
0.5056942682826278 0.09012369831696847 #288, triangle 96
0.22140248616746952 0.3622821541777206 #289, triangle 97
0.5368961919248835 0.05654158306780602 #290, triangle 97
0.17738761044591142 0.3055892502259969 #291, triangle 97
0.49442853497405365 0.09966008715657639 #292, triangle 98
-1.0966849129712792 2.3183449730252934 #293, triangle 98
-0.9155610463554821 0.6931128513259527 #294, triangle 98
0.2195448253860458 0.34515221584067896 #295, triangle 99
0.533394288929524 0.02503884689619658 #296, triangle 99
0.17945111362370073 0.3217203299105054 #297, triangle 99
-0.5866142110368313 0.935125324373383 #298, triangle 100
0.2232686950661793 0.3255347864775876 #299, triangle 100
0.46516257894789054 0.01704816451379732 #300, triangle 100
0.5114732489243115 -0.004145690267345513 #301, triangle 101
-0.8418335757994707 0.9838848965240662 #302, triangle 101
-1.2073632891283719 1.0167915993797618 #303, triangle 101
0.19760483267080758 0.3447381103911821 #304, triangle 102
0.4962963609523255 0.024211106455081597 #305, triangle 102
0.20238091063080924 0.3221203781564132 #306, triangle 102
0.2221600069509453 0.3367893660711209 #307, triangle 103
0.5383422977984201 0.007637497591054427 #308, triangle 103
0.1765403267429407 0.3298951244392915 #309, triangle 103
0.561920349154393 -0.01851480167553434 #310, triangle 104
-0.46931618936293085 0.9344378807457977 #311, triangle 104
-3.6017191977076686 1.0784147048270945 #312, triangle 104
0.5614472530405401 0.00890245076618957 #313, triangle 105
-0.47149579446146944 1.0379763832392277 #314, triangle 105
-3.5501582278484785 0.9653165013525531 #315, triangle 105
-0.8535303614957871 0.8709346731899518 #316, triangle 106
0.20652810384764428 0.31645060398849406 #317, triangle 106
0.48992317997723633 0.03572441962280209 #318, triangle 106
-0.5669642155306063 0.8846555922006544 #319, triangle 107
0.22485586740794147 0.3185244836991837 #320, triangle 107
0.4628921111113529 0.031566901083488 #321, triangle 107
-1.062500287690947 0.825905245536971 #322, triangle 108
0.1976047798560157 0.3090591237411347 #323, triangle 108
0.5037594151504001 0.05006008761161343 #324, triangle 108
0.5403109339447167 0.02406372712963463 #325, triangle 109
-0.5877050051362283 1.115753058641534 #326, triangle 109
-2.080557940910363 0.9102259837710551 #327, triangle 109
-0.7420475854594138 0.6366725589171903 #328, triangle 110
0.21259174658627286 0.26326137463965826 #329, triangle 110
0.4807791901467999 0.12485403232614967 #330, triangle 110
0.040802830229255065 0.5 #331, triangle 111
0.35337613126989603 0.19999999999999885 #332, triangle 111
0.31387551895944676 0.19999999999999885 #333, triangle 111
1.1099921222624958 -0.32029483405666503 #334, triangle 112
0.023059411709527237 0.6048259997063322 #335, triangle 112
0.9137303362455537 33.75375253549471 #336, triangle 112
1.3339665623546706 11.91529745042554 #337, triangle 113
0.05269468227474518 0.4216372117966147 #338, triangle 113
0.817993582005558 -0.2970480984943671 #339, triangle 113
1.345834073260899 -0.279177706511683 #340, triangle 114
0.053861200927273645 0.6219977609781249 #341, triangle 114
0.8145249268385506 7.873467520585353 #342, triangle 114
1.3586855069758499 -1.0 #343, triangle 115
0.055090862401238554 0.5 #344, triangle 115
0.8108910721621219 -1.0 #345, triangle 115
0.48255723686567725 -0.1979723346061336 #346, triangle 116
-1.3692560520826476 0.6680831447199185 #347, triangle 116
-0.7623657663520954 2.9500677099773673 #348, triangle 116
0.07145541226242506 0.5000000000000012 #349, triangle 117
0.3714457508533495 0.2 #350, triangle 117
0.2972819252867968 0.2 #351, triangle 117
0.48194573212188807 0.1173170806351593 #352, triangle 118
-1.3865802011646307 3.6248304020895747 #353, triangle 118
-0.7553089005235629 0.6528955275937043 #354, triangle 118
-0.5618506885721339 1.1252189532473391 #355, triangle 119
0.22527922496558853 0.3454730709217181 #356, triangle 119
0.46228867308532084 -0.028617178462828744 #357, triangle 119
0.5552348257221286 0.0480410908947869 #358, triangle 120
-0.5016278062090865 1.28952958250969 #359, triangle 120
-2.974207016526509 0.8320422561388089 #360, triangle 120
0.5481261923690656 -0.07989866869656496 #361, triangle 121
-0.5399483804710654 0.7950384243900356 #362, triangle 121
-2.484408245840517 1.4203511718287525 #363, triangle 121
0.20389150847764398 0.3381086189992109 #364, triangle 122
0.5061857973588525 0.010481616016936523 #365, triangle 122
0.19607025998085453 0.3285920094315525 #366, triangle 122
0.5554630950155791 0.01432792056334286 #367, triangle 123
-0.5004684225546221 1.0637005579971215 #368, triangle 123
-2.9925262443804606 0.9450502640995173 #369, triangle 123
0.5437806931164795 0.010705824476816644 #370, triangle 124
-0.5657026538187624 1.0462924930430746 #371, triangle 124
-2.2459973782939873 0.9585092792151386 #372, triangle 124
0.4416512412892011 0.05485121689167054 #373, triangle 125
-6.098260740300152 1.3561527495526058 #374, triangle 125
-0.41042787643327383 0.8115974584429766 #375, triangle 125
0.5354040508365875 0.02553621560920372 #376, triangle 126
-0.6212601401447778 1.1243778373352233 #377, triangle 126
-1.876935505587682 0.9051234979973344 #378, triangle 126
0.5342075316444631 -0.012620754549107025 #379, triangle 127
-0.6299151450867484 0.9536148876293012 #380, triangle 127
-1.8318893028207057 1.052469637442781 #381, triangle 127
-2.2563546870409152 2.1152000260302177 #382, triangle 128
0.17326120224132516 0.3871827563696196 #383, triangle 128
0.543984547603314 -0.1518187777954965 #384, triangle 128
0.19988736284918343 0.3227092701429409 #385, triangle 129
0.4998240911375431 -0.025316186177234648 #386, triangle 129
0.2001126054419262 0.34412944437256415 #387, triangle 129
0.1762097531456707 0.32010899834409245 #388, triangle 130
0.4663319847621291 -0.031974684398513205 #389, triangle 130
0.22245473748479805 0.34682530178834287 #390, triangle 130
0.20342123545670146 0.32687191955775924 #391, triangle 131
0.5054269098731826 -0.01504866827566566 #392, triangle 131
0.19654924997243606 0.3398579848183884 #393, triangle 131
0.2311779157329811 0.3657538632122256 #394, triangle 132
0.5564100093489366 0.062336102492241405 #395, triangle 132
0.1661864979750976 0.30241632227558823 #396, triangle 132
-0.6409117121545671 1.0092146697542557 #397, triangle 133
0.21918621243538067 0.33434629572864666 #398, triangle 133
0.4710625434244597 -0.0022878560600350884 #399, triangle 133
-0.7020357205234562 1.1133169324786356 #400, triangle 134
0.21505963434728748 0.34445392681170744 #401, triangle 134
0.47711550652722007 -0.026110188287288585 #402, triangle 134
0.5257460208865701 0.007215151944454943 #403, triangle 135
-0.6972045555391186 1.030395778921557 #404, triangle 135
-1.5547666793127837 0.9717508577823694 #405, triangle 135
0.19356684010433944 0.3255770854354153 #406, triangle 136
0.4902233521456703 -0.01819235599059791 #407, triangle 136
0.20633133369070655 0.3411808825367738 #408, triangle 136
0.19817006823556446 0.33973581094327215 #409, triangle 137
0.49716344097198656 0.01393710655584218 #410, triangle 137
0.20182159826312704 0.32699175841057515 #411, triangle 137
0.496889767576433 -0.0014489738293046966 #412, triangle 138
-1.0520292412402512 0.9942623011114904 #413, triangle 138
-0.9517373614553877 1.0058211996149102 #414, triangle 138
0.48434120927725516 -0.01103135301756412 #415, triangle 139
-1.320886340227705 0.9590376768586838 #416, triangle 139
-0.7833794993028187 1.0456356820261397 #417, triangle 139
0.18990335346145892 0.3193898519680936 #418, triangle 140
0.4848913802540469 -0.03385082434895828 #419, triangle 140
0.20984806544872772 0.34757467553293586 #420, triangle 140
0.5133942022527368 -0.03184188971833604 #421, triangle 141
-0.8195336104554747 0.89584735939809 #422, triangle 141
-1.2474513734857309 1.1408194290647837 #423, triangle 141
0.4905783809438369 0.030013048135587927 #424, triangle 142
-1.173650924995502 1.15198237233995 #425, triangle 142
-0.8622338929006494 0.8898643290395892 #426, triangle 142
0.48765767438904795 -0.0026965951236359335 #427, triangle 143
-1.2387275547593615 0.9894134529240051 #428, triangle 143
-0.8242183356082186 1.010874351665566 #429, triangle 143
-0.5927459501247254 1.059028281760502 #430, triangle 144
0.22278592382573084 0.33946945886854385 #431, triangle 144
0.4658557591553643 -0.01413145386002065 #432, triangle 144
-0.5964647065480179 0.8328464325776948 #433, triangle 145
0.22249594803127598 0.3102613993037482 #434, triangle 145
0.4662726956137182 0.04777810200120208 #435, triangle 145
0.19847167053792822 0.33566318024103003 #436, triangle 146
0.49762784648098896 0.005178809912448915 #437, triangle 146
0.20152251221140624 0.3310116003492568 #438, triangle 146
0.1960432533784168 0.3575490948032574 #439, triangle 147
0.49392278465932304 0.04833988136507569 #440, triangle 147
0.20391799038354358 0.309966345952439 #441, triangle 147
-1.1126683503739483 1.0946944237465925 #442, triangle 148
0.19582271912658275 0.34280818447476696 #443, triangle 148
0.5065785270305992 -0.02210377757647742 #444, triangle 148
-1.112674955421536 0.8385153833631722 #445, triangle 149
0.19582249214136224 0.31122551313766056 #446, triangle 149
0.5065788873168773 0.04593443230227962 #447, triangle 149
0.507460660290035 0.04174325839598562 #448, triangle 150
-0.8919184695154634 1.23590519382286 #449, triangle 150
-1.1289943985062452 0.8516098335950534 #450, triangle 150
0.19552907729499353 0.31675751549888903 #451, triangle 151
0.4931482063230752 -0.04085052735156098 #452, triangle 151
0.2044215022183617 0.3503317963063367 #453, triangle 151
0.2162839396388661 0.3360861918725099 #454, triangle 152
0.5273953625689781 0.00610568919529676 #455, triangle 152
0.1830250111256351 0.3305917953933511 #456, triangle 152
0.2171453546009859 0.35381809854197 #457, triangle 153
0.5289620897457464 0.041615212923726386 #458, triangle 153
0.18208682610277535 0.31345924225879085 #459, triangle 153
-1.0421773264750338 1.089790200460296 #460, triangle 154
0.19836128847081022 0.3423640114728531 #461, triangle 154
0.5025683783227932 -0.02103125000000114 #462, triangle 154
0.46190613369199424 0.05823602126663847 #463, triangle 155
-2.306021668758522 1.3932555585721913 #464, triangle 155
-0.5586321990807084 0.801700446055479 #465, triangle 155
0.17123894891610028 0.34112304039043256 #466, triangle 156
0.46008353095461296 0.016838225449504803 #467, triangle 156
0.22683177589120238 0.3256335943429608 #468, triangle 156
0.4750960129246346 -0.01688191707988657 #469, triangle 157
-1.6117561265808211 0.9396089487208936 #470, triangle 157
-0.6809839281067975 1.0711301059722533 #471, triangle 157
0.20832137331363682 0.3468523502556872 #472, triangle 158
0.5134933861292639 0.028401963306796483 #473, triangle 158
0.1915018356921461 0.3200830133608777 #474, triangle 158
0.5137244758926752 -0.024308858410243578 #475, triangle 159
-0.8158008926357564 0.916904297948682 #476, triangle 159
-1.2545236514700504 1.1048842853684147 #477, triangle 159
-1.6855385585869562 1.3018444524083004 #478, triangle 160
0.1814703907756914 0.358136961870634 #479, triangle 160
0.5299946179429493 -0.061531423889669576 #480, triangle 160
0.46869925595599177 0.04752549544237913 #481, triangle 161
-1.8914581535806931 1.2848731423775424 #482, triangle 161
-0.6185764914353182 0.8336199072496258 #483, triangle 161
0.4391422741139934 0.04079801540884943 #484, triangle 162
-7.5795764820089815 1.2284278951337408 #485, triangle 162
-0.39466779801047974 0.8546035929324073 #486, triangle 162
0.17797168641071706 0.35507299195348135 #487, triangle 163
0.4686062931051642 0.04390339642946473 #488, triangle 163
0.22087851727476207 0.3122802064017555 #489, triangle 163
0.5079244856964059 0.0001054564721922529 #490, triangle 164
-0.8858701175514093 1.00042213750871 #491, triangle 164
-1.137704113956385 0.9995783075218205 #492, triangle 164
0.44529268248385023 0.01794964980226998 #493, triangle 165
-4.73911244439852 1.0821163125869997 #494, triangle 165
-0.43421093823372964 0.9318701230859667 #495, triangle 165
0.19215803984347146 0.33487916827237774 #496, triangle 166
0.48815337798348923 0.0034501286335661898 #497, triangle 166
0.20769117542836232 0.33179107451064865 #498, triangle 166
-1.0029258607777942 1.0857719050731096 #499, triangle 167
0.19988320477748342 0.3419966327018872 #500, triangle 167
0.500182532508167 -0.020146944885127156 #501, triangle 167
-0.846014811095772 0.9113796667744336 #502, triangle 168
0.20690353730318248 0.32235118060116885 #503, triangle 168
0.48935106419916075 0.023732467703500553 #504, triangle 168
0.5105679179099855 0.03708602678158532 #505, triangle 169
-0.8527056394001729 1.2003573006512183 #506, triangle 169
-1.1890671475025918 0.8665079608866998 #507, triangle 169
0.20247325871674968 0.32181852625533935 #508, triangle 170
0.5039067396481863 -0.027575319465201142 #509, triangle 170
0.19751135361735137 0.34505052216466103 #510, triangle 170
0.5179636137549802 -0.027692683224508085 #511, triangle 171
-0.770339607995336 0.9072154409209019 #512, triangle 171
-1.350354072424957 1.1208071557874435 #513, triangle 171
-0.8196958803266552 1.0277108538526545 #514, triangle 172
0.2082539152305914 0.3363158929423951 #515, triangle 172
