TAPERS FOR JACOBIAN
-0.27519259767987175 0.16982331011029866 #117, triangle 39
0.19908196265257722 -0.2962339784444991 #118, triangle 40
-0.20091593519064924 -0.37261889151992117 #119, triangle 40
0.5014369067316948 0.0732788111695866 #120, triangle 40
-0.17951760491066748 0.3011272693035261 #121, triangle 41
0.21948466364208685 0.3671742200077342 #122, triangle 41
-0.5332819174181186 -0.06465507365913127 #123, triangle 41
-0.19999999999999835 -0.35403719300098807 #124, triangle 42
0.5000000000000026 0.04201667112336553 #125, triangle 42
0.19999999999999835 -0.31325308173252997 #126, triangle 42
-0.1999999999999982 -0.33523679960139263 #127, triangle 43
0.4999999999999972 0.004240423709790667 #128, triangle 43
0.1999999999999982 -0.3314352863678367 #129, triangle 43
-0.47405824728316187 -0.009132076732838801 #130, triangle 44
-0.21713617256005985 0.32921190387981863 #131, triangle 44
0.18209684871548776 0.33748040055433354 #132, triangle 44
-0.5184040994063861 -0.017404151189737056 #133, triangle 45
-0.1884758855181024 0.32536707852151703 #134, triangle 45
0.21120139897162674 0.3413959312088333 #135, triangle 45
-0.23597010802472485 -0.34477413927840034 #136, triangle 46
0.566699787494835 0.024283258144624287 #137, triangle 46
0.16047565453534138 -0.32208555289817187 #138, triangle 46
-0.18120609357316775 -0.3534939708149442 #139, triangle 47
0.47286560205292344 0.04101976511028235 #140, triangle 47
0.21795050609707564 -0.31376447678589625 #141, triangle 47
0.1897935002148129 -0.37732897402117477 #142, triangle 48
-0.20995254808545588 -0.29206137220398426 #143, triangle 48
-0.4847340224458732 0.08041594799211804 #144, triangle 48
-0.5133630703082813 -0.05682961434283642 #145, triangle 49
-0.1915826135549491 0.3054331306990874 #146, triangle 49
0.2082439060866701 0.3624521680512313 #147, triangle 49
-0.16102579315678744 0.3095288859973729 #148, triangle 50
0.23551389237512507 0.3580192319288833 #149, triangle 50
-0.5656982018988312 -0.04917070136429154 #150, triangle 50
0.2 -0.3314347861943824 #151, triangle 51
-0.2 -0.3352373026354897 #152, triangle 51
0.4999999999999971 0.004241533247091467 #153, triangle 51
0.20000000000000176 -0.32539998339169357 #154, triangle 52
-0.20000000000000176 -0.34136222731335325 #155, triangle 52
0.49999999999999456 0.017334339683505996 #156, triangle 52
-0.19432518376628516 -0.3650046821407707 #157, triangle 53
0.4913479079028483 0.061100992821965384 #158, triangle 53
0.20559543359027624 -0.30309835819173797 #159, triangle 53
-0.21210531614897082 -0.3558070132022432 #160, triangle 54
0.5199723048918649 0.04522931651035183 #161, triangle 54
0.18751690430115456 -0.31159254668332914 #162, triangle 54
0.21771693422142632 0.3505727354854738 #163, triangle 55
-0.5300087343509604 -0.03556938174246862 #164, triangle 55
-0.18146197327851568 0.31652848937582406 #165, triangle 55
0.5011803135396962 0.033112290442512855 #166, triangle 56
0.19924566775287214 -0.31775715489599465 #167, triangle 56
-0.200752912381909 -0.34928214405312424 #168, triangle 56
-0.5195295736351595 -0.008830251013031854 #169, triangle 57
-0.1877872838409121 0.3293501565765523 #170, triangle 57
0.2118508873504691 0.33734045168111415 #171, triangle 57
-0.4710702831572097 -0.06139634659959495 #172, triangle 58
-0.21918089625637271 0.30293554640808756 #173, triangle 58
0.17985301045265945 0.3651833764970552 #174, triangle 58
-0.5011804685552135 -0.015555261510585937 #175, triangle 59
-0.19924556882339975 0.3262358791807313 #176, triangle 59
0.20075301093927447 0.3405071613592037 #177, triangle 59
0.19380863812001356 0.34118269231633835 #178, triangle 60
-0.49058112800936854 -0.016962065663704232 #179, triangle 60
-0.20609699019825162 0.3255753175269173 #180, triangle 60
-0.2177222269707058 -0.3076984306892037 #181, triangle 61
-0.47319957634137944 0.05262011292906161 #182, triangle 61
0.18145617849526335 -0.35999337742981524 #183, triangle 61
