ASPECT RATIOS FOR SHAPE PARAMETERS
1.150468875731576 #179, triangle 60
1.1493057371590147 #180, triangle 60
1.1488924738114026 #181, triangle 61
1.0367517516643756 #182, triangle 61
1.1219608798913514 #183, triangle 61
1.3647914735460243 #184, triangle 62
1.4846583152388784 #185, triangle 62
1.1939362789626855 #186, triangle 62
1.046212465038222 #187, triangle 63
1.2331800756367097 #188, triangle 63
1.2002858665341418 #189, triangle 63
1.7734647965780006 #190, triangle 64
1.6157532132434531 #191, triangle 64
1.3048478896214224 #192, triangle 64
1.109120428073819 #193, triangle 65
1.1228796886452994 #194, triangle 65
1.2006939670529193 #195, triangle 65
1.1907934060240974 #196, triangle 66
1.0628755398150878 #197, triangle 66
1.1450580827553816 #198, triangle 66
1.2148812672861142 #199, triangle 67
2.0629051683759196 #200, triangle 67
2.0370973951794866 #201, triangle 67
1.566084040606443 #202, triangle 68
1.4108305327801391 #203, triangle 68
1.743136015481197 #204, triangle 68
1.4258543872999265 #205, triangle 69
1.362512813934275 #206, triangle 69
1.1921662807336653 #207, triangle 69
1.6707718667588412 #208, triangle 70
1.1462117245750114 #209, triangle 70
1.6130876319169873 #210, triangle 70
1.0599604607311868 #211, triangle 71
1.0487959580456072 #212, triangle 71
1.0935951902848644 #213, triangle 71
1.0399729674072493 #214, triangle 72
1.115810725099499 #215, triangle 72
1.0873882361084024 #216, triangle 72
1.8815779180295815 #217, triangle 73
2.069342460523866 #218, triangle 73
1.4253918651314967 #219, triangle 73
1.2336575660470819 #220, triangle 74
1.753592239804972 #221, triangle 74
1.644354174070428 #222, triangle 74
1.3404766653450013 #223, triangle 75
1.544092449153621 #224, triangle 75
1.666717438858474 #225, triangle 75
1.4704137066318521 #226, triangle 76
1.2611179457603099 #227, triangle 76
1.3268102636039942 #228, triangle 76
1.5053766587115807 #229, triangle 77
1.5092764379798151 #230, triangle 77
1.0437386855537465 #231, triangle 77
1.4167803897475069 #232, triangle 78
1.2543804155445322 #233, triangle 78
1.2502306138841974 #234, triangle 78
1.1946669588621115 #235, triangle 79
1.2050613949019071 #236, triangle 79
1.0147143255595845 #237, triangle 79
1.1583739314099857 #238, triangle 80
1.1856508474034424 #239, triangle 80
1.2950027425079813 #240, triangle 80
1.058674104631127 #241, triangle 81
1.1282989982601561 #242, triangle 81
1.0991757605330272 #243, triangle 81
1.048668603035492 #244, triangle 82
1.0504318217758701 #245, triangle 82
1.019847223837192 #246, triangle 82
2.1568422360769692 #247, triangle 83
1.2743807408360424 #248, triangle 83
2.196659858932668 #249, triangle 83
1.0635219780110814 #250, triangle 84
1.186950011063892 #251, triangle 84
1.1789579290547776 #252, triangle 84
1.0656057185068206 #253, triangle 85
1.0194856645751258 #254, triangle 85
1.054291948366219 #255, triangle 85
1.119174311230829 #256, triangle 86
1.1143662129469742 #257, triangle 86
1.0071094884289542 #258, triangle 86
1.1399324713553596 #259, triangle 87
1.1103669068625943 #260, triangle 87
1.0406387112066309 #261, triangle 87
1.05689534579135 #262, triangle 88
1.1678775312389227 #263, triangle 88
1.160258467661795 #264, triangle 88
1.3102187924886448 #265, triangle 89
1.3039831211594928 #266, triangle 89
1.1088416420379896 #267, triangle 89
1.3159441042577629 #268, triangle 90
1.2696878932454063 #269, triangle 90
1.0702450097439462 #270, triangle 90
1.0068565756950045 #271, triangle 91
1.0721452774311826 #272, triangle 91
1.069501931731431 #273, triangle 91
1.0258889440329604 #274, triangle 92
1.1366757048205989 #275, triangle 92
1.1558141504404804 #276, triangle 92
1.3630566457481041 #277, triangle 93
1.4370677111783992 #278, triangle 93
1.203539814125825 #279, triangle 93
1.8275600791260131 #280, triangle 94
1.543054672454579 #281, triangle 94
1.504966426826442 #282, triangle 94
1.6505158203999875 #283, triangle 95
1.3625161073622853 #284, triangle 95
1.4353930910992774 #285, triangle 95
1.4509717822691597 #286, triangle 96
1.5613492761438164 #287, triangle 96
1.1935980742672667 #288, triangle 96
1.6493615644752897 #289, triangle 97
1.5010255310566627 #290, triangle 97
1.3472136697187385 #291, triangle 97
1.8624697485508654 #292, triangle 98
1.750466592160452 #293, triangle 98
1.2651809817961108 #294, triangle 98
1.3827112659996612 #295, triangle 99
1.2181235816857439 #296, triangle 99
1.4622848584461094 #297, triangle 99
1.2287312349465178 #298, triangle 100
1.5398022850721116 #299, triangle 100
1.5034268174524772 #300, triangle 100
1.106425410715149 #301, triangle 101
1.20467992082584 #302, triangle 101
1.1395976337857117 #303, triangle 101
1.3586502792810762 #304, triangle 102
1.349313988066492 #305, triangle 102
1.0262422224297585 #306, triangle 102
1.0226870687683918 #307, triangle 103
1.0475836922005306 #308, triangle 103
1.0407671186339245 #309, triangle 103
1.4143263120727922 #310, triangle 104
1.3667980202059387 #311, triangle 104
1.6341682639592294 #312, triangle 104
1.046238246398201 #313, triangle 105
1.0163133039122672 #314, triangle 105
1.0545064658836267 #315, triangle 105
1.2534782506197666 #316, triangle 106
1.250144032413775 #317, triangle 106
1.0847054463502575 #318, triangle 106
1.4971314328092402 #319, triangle 107
1.4963259321727511 #320, triangle 107
1.1882724932953561 #321, triangle 107
1.2553187936749017 #322, triangle 108
1.0847630145982214 #323, triangle 108
1.2530412708505065 #324, triangle 108
1.5032568554566872 #325, triangle 109
1.500831748687453 #326, triangle 109
1.1920767649358341 #327, triangle 109
1.4821589470640864 #328, triangle 110
1.4850896362722061 #329, triangle 110
1.1838232339044266 #330, triangle 110
1.082047297873841 #331, triangle 111
1.2518296743124637 #332, triangle 111
1.2518225916281989 #333, triangle 111
1.4415361252339838 #334, triangle 112
1.4647657373666019 #335, triangle 112
1.1860259967021427 #336, triangle 112
1.2489129160492765 #337, triangle 113
1.2603768202678993 #338, triangle 113
1.0923142259766123 #339, triangle 113
1.4803555371729946 #340, triangle 114
1.4800946939743027 #341, triangle 114
1.1800980933684577 #342, triangle 114
1.3594128547713369 #343, triangle 115
1.4360427854191962 #344, triangle 115
1.2046709690806607 #345, triangle 115
1.497615002959509 #346, triangle 116
1.1922765223362626 #347, triangle 116
1.5016972235167865 #348, triangle 116
1.1095928966893964 #349, triangle 117
1.2253543609522761 #350, triangle 117
1.263057341267329 #351, triangle 117
1.0891556495254464 #352, triangle 118
1.0954010540019388 #353, triangle 118
1.0341572230045941 #354, triangle 118
1.2501939514888827 #355, triangle 119
1.2535068341781004 #356, triangle 119
1.084703307001591 #357, triangle 119
1.066259512930618 #358, triangle 120
1.0598220521153832 #359, triangle 120
1.0126155503885197 #360, triangle 120
1.0764899799824403 #361, triangle 121
1.1097287437075762 #362, triangle 121
1.0562274368728208 #363, triangle 121
1.1008124536789177 #364, triangle 122
1.1198725324455152 #365, triangle 122
1.0495328803225246 #366, triangle 122
1.0153316127725733 #367, triangle 123
1.0437436805940965 #368, triangle 123
1.0510500478841505 #369, triangle 123
1.1109051133573495 #370, triangle 124
1.1287409736197074 #371, triangle 124
1.0513047756255822 #372, triangle 124
1.2495620898848132 #373, triangle 125
1.258650656710358 #374, triangle 125
1.0901986473552774 #375, triangle 125
1.1687142264902866 #376, triangle 126
1.0846408857552352 #377, triangle 126
1.201841925326737 #378, triangle 126
1.1309560061401909 #379, triangle 127
1.1350346443669577 #380, triangle 127
1.044190511339093 #381, triangle 127
1.1128482508910684 #382, triangle 128
1.0393736659497752 #383, triangle 128
1.1060815011829426 #384, triangle 128
1.1340326314986189 #385, triangle 129
1.0601653015620922 #386, triangle 129
1.1051878392109031 #387, triangle 129
1.08723421616607 #388, triangle 130
1.2534074500502597 #389, triangle 130
1.2580333135473123 #390, triangle 130
1.142583586158724 #391, triangle 131
1.0943131440937541 #392, triangle 131
1.0671306393655897 #393, triangle 131
1.0934911470290696 #394, triangle 132
1.2217091054445959 #395, triangle 132
1.2446568354849048 #396, triangle 132
1.5016340863059199 #397, triangle 133
1.5015668374240834 #398, triangle 133
1.189979902095668 #399, triangle 133
1.2122840017542416 #400, triangle 134
1.4092755175050604 #401, triangle 134
1.2700257945719673 #402, triangle 134
1.1627945490187312 #403, triangle 135
1.187780773135818 #404, triangle 135
1.0340086550217245 #405, triangle 135
1.1770480251983482 #406, triangle 136
1.3065319089422853 #407, triangle 136
1.1851148926874866 #408, triangle 136
1.063273907848141 #409, triangle 137
1.5018163287354047 #410, triangle 137
1.5197184933235544 #411, triangle 137
1.1367034351868104 #412, triangle 138
1.1507039611355288 #413, triangle 138
1.2422028935353893 #414, triangle 138
1.2347742955744996 #415, triangle 139
1.1539272370766174 #416, triangle 139
1.3126277706642187 #417, triangle 139
1.008513227062232 #418, triangle 140
1.040722038998759 #419, triangle 140
1.0424684312901698 #420, triangle 140
1.3222779947736354 #421, triangle 141
1.6009226664930678 #422, triangle 141
1.455222523457784 #423, triangle 141
1.6167761067291517 #424, triangle 142
1.644801639384023 #425, triangle 142
1.1025416411803421 #426, triangle 142
1.0376723304832653 #427, triangle 143
1.2874944358726212 #428, triangle 143
1.2635827602826264 #429, triangle 143
1.042620860461747 #430, triangle 144
1.0546628967026903 #431, triangle 144
1.0278983089403255 #432, triangle 144
1.0819948374266264 #433, triangle 145
1.1148210461511343 #434, triangle 145
1.1631979470278344 #435, triangle 145
1.0757007066631974 #436, triangle 146
1.0603609481784304 #437, triangle 146
1.1135030739834686 #438, triangle 146
1.0749062925894821 #439, triangle 147
1.00416624914378 #440, triangle 147
1.0758046642676393 #441, triangle 147
1.2599358876492017 #442, triangle 148
1.0913406241185897 #443, triangle 148
1.2497852816734942 #444, triangle 148
1.0789580457984835 #445, triangle 149
1.0322126176356476 #446, triangle 149
1.0860338970470131 #447, triangle 149
1.0736815453821051 #448, triangle 150
1.3957293033703777 #449, triangle 150
1.4334695409944351 #450, triangle 150
1.1707936853586522 #451, triangle 151
1.9227971789854224 #452, triangle 151
1.8986002888627262 #453, triangle 151
1.291111329971985 #454, triangle 152
1.1178069290562689 #455, triangle 152
1.2093805932565735 #456, triangle 152
1.03432699175844 #457, triangle 153
1.0947520530483124 #458, triangle 153
1.119278275712602 #459, triangle 153
1.2538499200117048 #460, triangle 154
1.100352690837131 #461, triangle 154
1.1828943283179052 #462, triangle 154
1.4326175505674577 #463, triangle 155
1.4175723260670046 #464, triangle 155
1.0442256312442229 #465, triangle 155
1.950357933511748 #466, triangle 156
1.8267756347168365 #467, triangle 156
1.3046470049539343 #468, triangle 156
1.0287700243118996 #469, triangle 157
1.0080931398355746 #470, triangle 157
1.0290398506237872 #471, triangle 157
1.3935771698788901 #472, triangle 158
1.4226787193452364 #473, triangle 158
1.1704150336804797 #474, triangle 158
1.0952335583895694 #475, triangle 159
1.2322279431028207 #476, triangle 159
1.1992609200186637 #477, triangle 159
1.079088251605009 #478, triangle 160
1.2445322639324903 #479, triangle 160
1.2983647521873176 #480, triangle 160
1.1234262057117925 #481, triangle 161
1.0124800030846455 #482, triangle 161
1.114571674146761 #483, triangle 161
1.109153137597728 #484, triangle 162
1.1454723042597115 #485, triangle 162
1.0499920137502083 #486, triangle 162
1.1564194631011677 #487, triangle 163
1.0566859906920985 #488, triangle 163
1.1433566777472552 #489, triangle 163
2.2861843237710735 #490, triangle 164
1.3004750025839158 #491, triangle 164
2.2493053222862054 #492, triangle 164
1.0599590752520471 #493, triangle 165
1.047119034726153 #494, triangle 165
1.0221796675729302 #495, triangle 165
1.0582943235745472 #496, triangle 166
1.0504569047338 #497, triangle 166
1.0258376307832624 #498, triangle 166
1.0829041415601648 #499, triangle 167
1.0085708260877913 #500, triangle 167
1.0784228882085978 #501, triangle 167
1.188164736529433 #502, triangle 168
1.1700168374660949 #503, triangle 168
1.0246969822204959 #504, triangle 168
1.0534128817190433 #505, triangle 169
1.0910097644169203 #506, triangle 169
1.1170707664709365 #507, triangle 169
1.6742132168473702 #508, triangle 170
1.4514823652293687 #509, triangle 170
1.378515272319477 #510, triangle 170
1.162685519592887 #511, triangle 171
1.2796718927848674 #512, triangle 171
1.166943961620697 #513, triangle 171
1.1853453520183959 #514, triangle 172
1.1761691322110066 #515, triangle 172
1.0125533006196952 #516, triangle 172
1.4198704336234307 #517, triangle 173
1.3664937249002773 #518, triangle 173
1.1835577110652173 #519, triangle 173
1.2619955403826164 #520, triangle 174
1.7734948158299286 #521, triangle 174
1.879582254667346 #522, triangle 174
1.4468448388988753 #523, triangle 175
1.1750937302110385 #524, triangle 175
1.545890890084808 #525, triangle 175
1.2049137432808728 #526, triangle 176
1.522835194433266 #527, triangle 176
1.5275483630659359 #528, triangle 176
1.37063760053442 #529, triangle 177
1.4327472792210931 #530, triangle 177
1.194468021621418 #531, triangle 177
1.197996888100595 #532, triangle 178
1.1085370155920513 #533, triangle 178
1.1264209748912983 #534, triangle 178
1.780592447091069 #535, triangle 179
1.3277516136709966 #536, triangle 179
1.6078301027189401 #537, triangle 179
1.3476650884477386 #538, triangle 180
1.4721240625744831 #539, triangle 180
1.633751079541939 #540, triangle 180
1.4849196917155991 #541, triangle 181
1.5318787521913835 #542, triangle 181
1.8064240168265544 #543, triangle 181
1.3859776598040223 #544, triangle 182
1.4755143335035656 #545, triangle 182
1.6998957532421308 #546, triangle 182
1.376789280197121 #547, triangle 183
1.373636312730922 #548, triangle 183
1.0207633134934069 #549, triangle 183
1.2101839032816364 #550, triangle 184
1.040959663919751 #551, triangle 184
1.1804920804524415 #552, triangle 184
1.217468529665597 #553, triangle 185
1.177445288253108 #554, triangle 185
1.0944794720180042 #555, triangle 185
1.9782069563470186 #556, triangle 186
2.00224807580696 #557, triangle 186
1.1941511352879601 #558, triangle 186
1.2700381012157158 #559, triangle 187
1.0736007117789907 #560, triangle 187
1.2187008166752813 #561, triangle 187
1.1664883384359743 #562, triangle 188
1.0009562969732835 #563, triangle 188
1.1658018288672214 #564, triangle 188
2.077994443945402 #565, triangle 189
1.8772686439223227 #566, triangle 189
1.4458303290546197 #567, triangle 189
1.2332871339710152 #568, triangle 190
1.1053334079600867 #569, triangle 190
1.1850591098363183 #570, triangle 190
1.2980283517159246 #571, triangle 191
1.1595057578942145 #572, triangle 191
1.202707848423351 #573, triangle 191
1.388047202990292 #574, triangle 192
1.1807784179542549 #575, triangle 192
1.4972278333718128 #576, triangle 192
1.2490869720582776 #577, triangle 193
1.1518153058168847 #578, triangle 193
1.1385489804856577 #579, triangle 193
1.0630802778645785 #580, triangle 194
1.1607969845088153 #581, triangle 194
1.1150167765714183 #582, triangle 194
1.2255427257497185 #583, triangle 195
1.019426429209756 #584, triangle 195
1.2122440826584198 #585, triangle 195
1.1664478996416432 #586, triangle 196
1.419807426361208 #587, triangle 196
1.3128323634675967 #588, triangle 196
1.33648787135613 #589, triangle 197
1.6708335128606602 #590, triangle 197
1.558505717266757 #591, triangle 197
1.0332048865367096 #592, triangle 198
1.0637969543365287 #593, triangle 198
1.0860914514423061 #594, triangle 198
1.2311108140997513 #595, triangle 199
1.6416677914861317 #596, triangle 199
1.7497092099537983 #597, triangle 199
1.3468391349353859 #598, triangle 200
1.2550059042956967 #599, triangle 200
1.4764197414506195 #600, triangle 200
1.1125900267112343 #601, triangle 201
1.287214201415496 #602, triangle 201
1.25964507348901 #603, triangle 201
2.5476716944052025 #604, triangle 202
2.459185393506458 #605, triangle 202
1.4533821281502837 #606, triangle 202
1.6865751416066297 #607, triangle 203
1.6256181450043716 #608, triangle 203
1.1541229111632176 #609, triangle 203
1.4151428309293752 #610, triangle 204
1.1852984576842978 #611, triangle 204
1.3554102390741884 #612, triangle 204
1.0954995041620157 #613, triangle 205
1.0619770869513572 #614, triangle 205
1.0526471525111356 #615, triangle 205
1.0372056732054467 #616, triangle 206
1.4995942438166123 #617, triangle 206
1.4994726963158995 #618, triangle 206
1.2772728585472697 #619, triangle 207
1.122622125244173 #620, triangle 207
1.307864071613488 #621, triangle 207
1.291979414061295 #622, triangle 208
1.2458985148186155 #623, triangle 208
1.4504945702457541 #624, triangle 208
1.1233882378707423 #625, triangle 209
1.1185056807128053 #626, triangle 209
1.0412080372876809 #627, triangle 209
1.0284023338402384 #628, triangle 210
1.0887025499168468 #629, triangle 210
1.0883788743769804 #630, triangle 210
#The minimum value is 1.0009562969732835, which is in quad 563 {(5.2703929057, -1.7492294669)(5.667325282249999, -1.7703223282999998)(5.647875423566666, -1.5232832393666664)(5.439684305949999, -1.3892172642)}, which is in triangle 188 {(5.2703929057, -1.7492294669)(6.0642576588, -1.7914151897)(5.6089757062, -1.0292050615)}
#The maximum value is 2.5476716944052025, which is in quad 604 {(7.627594203, -0.5506181824)(7.740787918500001, -0.2753090912)(7.6188258593, -0.03015539156666669)(7.501247971950001, -0.045233087350000034)}, which is in triangle 202 {(7.3749017409, 0.4601520077)(7.627594203, -0.5506181824)(7.853981634, 0.0)}
#The mean average is 1.2575964409619447

