TAPERS FOR SHAPE PARAMETERS
0.03531250365685466 0.03998552728635512 #118, triangle 40
0.03836755620573187 0.038259437000001506 #119, triangle 40
0.035268485874776906 0.040050223762104833 #120, triangle 40
0.03653264787894025 0.0425782134348626 #121, triangle 41
0.04018461493747725 0.04080199337980442 #122, triangle 41
0.036275123587137165 0.042943612745231424 #123, triangle 41
0.03581976311968444 0.03991776634285375 #124, triangle 42
0.03604626550035386 0.039576487449618884 #125, triangle 42
0.03864344907522759 0.03807766561785544 #126, triangle 42
0.04226448872340158 0.041997124967443185 #127, triangle 43
0.03608630449772676 0.045422563632930395 #128, triangle 43
0.03620317058452825 0.04526730579058019 #129, triangle 43
0.035999496213326 0.039674364785350996 #130, triangle 44
0.03891796517332724 0.03798511089558243 #131, triangle 44
0.03562388898348005 0.04023546101758663 #132, triangle 44
0.038795938255853056 0.037805635941255175 #133, triangle 45
0.0360817865892571 0.03976867229895973 #134, triangle 45
0.03647385833797509 0.039168043080791505 #135, triangle 45
0.03620895239919689 0.03849138706891206 #136, triangle 46
0.03900396920488098 0.036816491556855235 #137, triangle 46
0.035339671725343955 0.03981515547471677 #138, triangle 46
0.0351768947284142 0.042770467597506925 #139, triangle 47
0.04049015141399584 0.03941888064158801 #140, triangle 47
0.03563026103845814 0.04214036386828627 #141, triangle 47
0.036007836937513645 0.03905785393143006 #142, triangle 48
0.038060907318057204 0.03787182259617084 #143, triangle 48
0.03593299564814173 0.03917256090910591 #144, triangle 48
0.03887269003967591 0.03832401507319532 #145, triangle 49
0.03578664650350092 0.04029781221032992 #146, triangle 49
0.03600788150270507 0.039968002598267924 #147, triangle 49
0.03623467521097206 0.045414483852572206 #148, triangle 50
0.042297389490744866 0.042152163189369846 #149, triangle 50
0.03617115669389001 0.045498797002925286 #150, triangle 50
0.03628160206088248 0.037072585889991745 #151, triangle 51
0.037046580015383586 0.036325847606469897 #152, triangle 51
0.03655386922809601 0.03662411016671237 #153, triangle 51
0.036048449418550364 0.03664036341898044 #154, triangle 52
0.03605482889272105 0.03662990030661186 #155, triangle 52
0.03642583753641265 0.036408996473740726 #156, triangle 52
0.04225170605305896 0.0485061868184323 #157, triangle 53
0.0363685985740629 0.05128712490436845 #158, triangle 53
0.039185983118556 0.04770316547580726 #159, triangle 53
0.03649450522418822 0.03686714922128382 #160, triangle 54
0.037721656443791954 0.03611844431480009 #161, triangle 54
0.035881135811592954 0.03785729827151222 #162, triangle 54
0.04503733753466925 0.039705562430543684 #163, triangle 55
0.041517461326931494 0.04565415625354561 #164, triangle 55
0.04747355332003662 0.037964533348305 #165, triangle 55
0.0470862917777468 0.035216203393410125 #166, triangle 56
0.04529654547574472 0.036597624052003314 #167, triangle 56
0.0410539318769982 0.04415849033549462 #168, triangle 56
0.034208592010744575 0.05159531996454744 #169, triangle 57
0.04473111729102907 0.035744489985641476 #170, triangle 57
0.05415975120795807 0.026799721756973705 #171, triangle 57
0.04244702228271719 0.03605258844041273 #172, triangle 58
0.03668950216726228 0.045378107998980635 #173, triangle 58
0.04740683387812525 0.03213089190555907 #174, triangle 58
0.049333972022523716 0.03936943311971474 #175, triangle 59
0.05025407158609645 0.03866488995058597 #176, triangle 59
0.04684029794657145 0.045248249104088596 #177, triangle 59
0.03885151398587121 0.03891181260568653 #178, triangle 60
0.037072630776475816 0.04170407019427659 #179, triangle 60
0.04168298319211879 0.03711213536001353 #180, triangle 60
0.04085067940746923 0.036108799107247964 #181, triangle 61
0.03880583033662596 0.03743763743787233 #182, triangle 61
0.03700057742736649 0.04036904251845891 #183, triangle 61
0.037402677212101394 0.04606831997162041 #184, triangle 62
0.048048792919990375 0.032989386210291086 #185, triangle 62
0.043088343546531384 0.03687205301339039 #186, triangle 62
0.03694950920897751 0.0386032429286567 #187, triangle 63
0.034719991433218154 0.041910910362079404 #188, triangle 63
0.04134816026371707 0.035826915702625264 #189, triangle 63
0.04738452569276793 0.027632793082467345 #190, triangle 64
0.04522856053246104 0.033111260406220984 #191, triangle 64
0.03345962379263627 0.0406448191505976 #192, triangle 64
0.04152456710826957 0.03743919402063436 #193, triangle 65
0.0389602021406795 0.041781340971689174 #194, triangle 65
0.043204792704317416 0.03628049869362992 #195, triangle 65
0.042902409236765325 0.03654782571267914 #196, triangle 66
0.04053261998560763 0.03813630325001472 #197, triangle 66
0.038125658684797364 0.04207045693623545 #198, triangle 66
0.04095636065592342 0.03977939928261302 #199, triangle 67
