SKEWS FOR JACOBIAN
0.4421059947847153 #173, triangle 58
-0.8360699886102798 #174, triangle 58
-0.9222733341745604 #175, triangle 59
-0.25136194872169004 #176, triangle 59
0.5728565751542412 #177, triangle 59
-0.31740783049643867 #178, triangle 60
0.32488900308720786 #179, triangle 60
-0.8608733517616992 #180, triangle 60
-0.8923034585669459 #181, triangle 61
-0.3245570597821219 #182, triangle 61
0.3431045030375989 #183, triangle 61
0.6234300094136401 #184, triangle 62
-0.6153649467229994 #185, triangle 62
-0.05171568221769149 #186, triangle 62
-0.26395664974608074 #187, triangle 63
0.33648917800666317 #188, triangle 63
-0.7674755732093486 #189, triangle 63
-0.6659950831328576 #190, triangle 64
0.4920548178768698 #191, triangle 64
1.067017361507418 #192, triangle 64
-0.2715933753217392 #193, triangle 65
0.4287281778704273 #194, triangle 65
-0.8574561736302103 #195, triangle 65
-0.7888740398097177 #196, triangle 66
-0.24367842997150913 #197, triangle 66
0.43124420134373814 #198, triangle 66
-0.5218088557014038 #199, triangle 67
-0.0266774631127326 #200, triangle 67
-1.266254369397277 #201, triangle 67
-0.8540808976152108 #202, triangle 68
-0.44749928059097405 #203, triangle 68
0.5070203980376331 #204, triangle 68
0.40576623811310175 #205, triangle 69
-0.882740848580293 #206, triangle 69
-0.4352603870833101 #207, triangle 69
0.8530474736284601 #208, triangle 70
-0.921690117985213 #209, triangle 70
-0.3482677759828424 #210, triangle 70
0.36983022875203114 #211, triangle 71
-0.9555294061901446 #212, triangle 71
-0.3705517778701737 #213, triangle 71
-0.16470694561719973 #214, triangle 72
0.25170422003978904 #215, triangle 72
-1.0712765819557482 #216, triangle 72
-0.058792315468999976 #217, triangle 73
0.13326273350757506 #218, triangle 73
0.5527432268093432 #219, triangle 73
0.872521038684882 #220, triangle 74
-0.8921899548260174 #221, triangle 74
0.34643012433027637 #222, triangle 74
0.37781810279677314 #223, triangle 75
0.7558568427161712 #224, triangle 75
-0.5370106078799168 #225, triangle 75
-0.5449371092045737 #226, triangle 76
0.3554091754467026 #227, triangle 76
0.788707191474713 #228, triangle 76
-0.6058124412406954 #229, triangle 77
0.45394509004342337 #230, triangle 77
1.1731529529538052 #231, triangle 77
-0.9710122286310382 #232, triangle 78
-0.2603004120970762 #233, triangle 78
0.4409948921655181 #234, triangle 78
0.3144726043399914 #235, triangle 79
-0.8851419149866776 #236, triangle 79
-0.31880802355448895 #237, triangle 79
0.2813054311003268 #238, triangle 80
0.7389555001048339 #239, triangle 80
-0.26742211905483887 #240, triangle 80
0.5316394399141575 #241, triangle 81
-0.5088685607857442 #242, triangle 81
0.1258011178127291 #243, triangle 81
-0.26742761054267833 #244, triangle 82
0.39543747998733186 #245, triangle 82
-0.7336016633286607 #246, triangle 82
0.11195473698912187 #247, triangle 83
0.5801770708154 #248, triangle 83
1.2825262546276832 #249, triangle 83
-0.6821482599179666 #250, triangle 84
-0.2642540005109112 #251, triangle 84
0.30747161475815366 #252, triangle 84
-0.3386734582143027 #253, triangle 85
0.32751313082482253 #254, triangle 85
0.8439647487227825 #255, triangle 85
0.8376914798503023 #256, triangle 86
-0.3533907886024874 #257, triangle 86
0.3049913597140434 #258, triangle 86
-0.2939655305594987 #259, triangle 87
0.48856222409014466 #260, triangle 87
-0.842674180504189 #261, triangle 87
-0.4690938455136856 #262, triangle 88
0.28918682064272155 #263, triangle 88
0.8977569010112448 #264, triangle 88
-0.2562329177744947 #265, triangle 89
0.25291553209897827 #266, triangle 89
0.6358429851100291 #267, triangle 89
0.66033941842855 #268, triangle 90
-0.5060888253794693 #269, triangle 90
0.13889112705857887 #270, triangle 90
0.34345931535596647 #271, triangle 91
-0.8020182279627558 #272, triangle 91
-0.3293794804162237 #273, triangle 91
0.19406262921425357 #274, triangle 92
1.0876791190324981 #275, triangle 92
-0.2246426288315932 #276, triangle 92
-0.30709287279653913 #277, triangle 93
0.16648413509701265 #278, triangle 93
0.48815463579305035 #279, triangle 93
-0.11866147986830376 #280, triangle 94
0.10750927745631636 #281, triangle 94
-0.5521780734172657 #282, triangle 94
-0.021093343528353355 #283, triangle 95
0.43320757780258545 #284, triangle 95
-0.2737461250562609 #285, triangle 95
-0.4613611562354052 #286, triangle 96
0.5775778235011446 #287, triangle 96
-1.0521719235821467 #288, triangle 96
0.563064803881099 #289, triangle 97
-0.7573941703845043 #290, triangle 97
-0.36891998889695826 #291, triangle 97
-0.048567449765234215 #292, triangle 98
0.16207796277654354 #293, triangle 98
-0.5052836858588261 #294, triangle 98
-0.09169737322832808 #295, triangle 99
0.22242248977404022 #296, triangle 99
-0.608338216064605 #297, triangle 99
0.1590583670466129 #298, triangle 100
-0.616079461123925 #299, triangle 100
-0.12957028905717435 #300, triangle 100
-0.3391076490078703 #301, triangle 101
0.45042344048677996 #302, triangle 101
-0.8177128852156925 #303, triangle 101
0.26612515628661904 #304, triangle 102
-0.8761831247567825 #305, triangle 102
-0.30679343932829434 #306, triangle 102
0.8306788511235701 #307, triangle 103
-0.3343172889639806 #308, triangle 103
0.3303559267735541 #309, triangle 103
-0.32888223820837714 #310, triangle 104
0.011096492221338537 #311, triangle 104
0.47390434957049893 #312, triangle 104
-0.3524070667418597 #313, triangle 105
0.3322468217018041 #314, triangle 105
0.8635080507334438 #315, triangle 105
-0.2677864855200613 #316, triangle 106
0.26721750966564617 #317, triangle 106
0.6693071630685311 #318, triangle 106
-0.22007555469172863 #319, triangle 107
0.2174901811096992 #320, triangle 107
0.5455090656364239 #321, triangle 107
0.26796278332449336 #322, triangle 108
-0.6665264675112249 #323, triangle 108
-0.2658756777626549 #324, triangle 108
-0.22063376753181824 #325, triangle 109
0.2152311810355393 #326, triangle 109
0.5419487668758884 #327, triangle 109
-0.22790001177825145 #328, triangle 110
0.21394510724235832 #329, triangle 110
0.5430626994876424 #330, triangle 110
-0.6687373994152126 #331, triangle 111
-0.2674938377684913 #332, triangle 111
0.26750217484398564 #333, triangle 111
-0.24778051926830993 #334, triangle 112
0.20451170062023305 #335, triangle 112
0.5336796981130683 #336, triangle 112
-0.26594968305116395 #337, triangle 113
0.2676666647758987 #338, triangle 113
-0.669077237505587 #339, triangle 113
-0.2517823648837905 #340, triangle 114
0.19154414847287818 #341, triangle 114
0.5168050374329154 #342, triangle 114
-0.2843325168393881 #343, triangle 115
0.188949181148728 #344, triangle 115
0.5153718836748336 #345, triangle 115
0.20694384132875102 #346, triangle 116
0.5325198845090593 #347, triangle 116
-0.22973599757046992 #348, triangle 116
-0.685066090447971 #349, triangle 117
-0.2698467349611521 #350, triangle 117
0.2690082625675093 #351, triangle 117
-0.31181496104716705 #352, triangle 118
0.3169416658290205 #353, triangle 118
-0.7845332915013765 #354, triangle 118
-0.26721454413930007 #355, triangle 119
0.26777008167516253 #356, triangle 119
-0.669285975071367 #357, triangle 119
0.35577070605002126 #358, triangle 120
-0.8266097917646877 #359, triangle 120
-0.31323540348413903 #360, triangle 120
-0.3089185232455872 #361, triangle 121
0.3193526084446844 #362, triangle 121
-0.7903561685831032 #363, triangle 121
-0.29607052238591536 #364, triangle 122
0.32038776286328 #365, triangle 122
-0.7598243503089064 #366, triangle 122
-0.3330657969128834 #367, triangle 123
0.3519252775242036 #368, triangle 123
-0.8630880836070902 #369, triangle 123
-0.2973356025643169 #370, triangle 124
0.31277323639121307 #371, triangle 124
-0.7578580215847311 #372, triangle 124
-0.26608683329300936 #373, triangle 125
0.2677914015402055 #374, triangle 125
-0.6687459461803315 #375, triangle 125
0.2556582678588768 #376, triangle 126
0.6824185344120383 #377, triangle 126
-0.31502794615038665 #378, triangle 126
-0.3007131459383069 #379, triangle 127
0.30082496864710645 #380, triangle 127
-0.7532665609764332 #381, triangle 127
0.2976849366371327 #382, triangle 128
0.753118906988632 #383, triangle 128
-0.31932209871057265 #384, triangle 128
0.31388021464766414 #385, triangle 129
-0.760615856476894 #386, triangle 129
-0.2964154081717894 #387, triangle 129
-0.6667295782175908 #388, triangle 130
-0.26586255408869935 #389, triangle 130
0.26722129929852206 #390, triangle 130
0.3567824754850031 #391, triangle 131
-0.7379010214341661 #392, triangle 131
-0.26490667853413347 #393, triangle 131
-0.683882506381372 #394, triangle 132
-0.2697611568864344 #395, triangle 132
0.27463458582848704 #396, triangle 132
-0.218045906104559 #397, triangle 133
0.21795753616353425 #398, triangle 133
0.5449624078211466 #399, triangle 133
-0.3292079343522557 #400, triangle 134
0.18252095324297735 #401, triangle 134
0.5012448269263161 #402, triangle 134
0.3181087793200618 #403, triangle 135
-0.9167357213463029 #404, triangle 135
-0.33382756637972777 #405, triangle 135
-0.32600699371040365 #406, triangle 136
0.21635518576649254 #407, triangle 136
0.5714916922977779 #408, triangle 136
-0.3028451979232975 #409, triangle 137
0.2410901163388275 #410, triangle 137
0.5300792482593012 #411, triangle 137
0.6701863489034795 #412, triangle 138
-0.2883326731367288 #413, triangle 138
0.2760757335644445 #414, triangle 138
