TAPERS FOR JACOBIAN
-0.19810395340265535 0.3337258901039919 #114, triangle 38
-0.19653730252054746 -0.33585403106092204 #115, triangle 39
0.4946702767722965 0.0055974945304249155 #116, triangle 39
0.2034329790596113 -0.3308221305803551 #117, triangle 39
0.19933049082339 0.3332890667326826 #118, triangle 40
0.5010474229495963 -0.00009958332065636001 #119, triangle 40
-0.2006683904427731 0.3333776028734766 #120, triangle 40
0.19524628682654105 0.3347112438620894 #121, triangle 41
-0.4927236529586562 -0.0030780321122121164 #122, triangle 41
-0.2046978822120612 0.33195826488651375 #123, triangle 41
0.2006976659784089 -0.3369252454614693 #124, triangle 42
-0.19930111505096182 -0.3297606702430231 #125, triangle 42
-0.5010934405875653 0.007932220140250692 #126, triangle 42
0.5018906787257097 -0.0009170834307987317 #127, triangle 43
-0.20120366231599815 0.3337418000313394 #128, triangle 43
0.19879270474449248 0.33292511674964764 #129, triangle 43
0.196368419550636 0.3303264951326906 #130, triangle 44
0.5057132471709969 -0.006689952434421268 #131, triangle 44
-0.2035989061562736 0.3363537945914177 #132, triangle 44
0.5077369608386146 -0.0045490917521083885 #133, triangle 45
-0.20484665937805605 0.33537684281815894 #134, triangle 45
0.1950938950733123 0.33129606860320626 #135, triangle 45
-0.19628348613396243 -0.32072894385225603 #136, triangle 46
-0.5058478031182612 0.027079905067732776 #137, triangle 46
0.2036823005632805 -0.3461806211434112 #138, triangle 46
-0.19937180724595982 -0.3433079033362419 #139, triangle 47
0.4990211390676944 0.02132601395632006 #140, triangle 47
0.2006272077356542 -0.32350580143769747 #141, triangle 47
-0.19944041592418174 -0.332513202398972 #142, triangle 48
-0.5008752684677722 0.0018396368158357245 #143, triangle 48
0.200558802333599 -0.3341544744325202 #144, triangle 48
-0.5021587883182936 0.005907109757006418 #145, triangle 49
0.20137332332353358 -0.33599540749752 #146, triangle 49
-0.1986219453901243 -0.3306818468496444 #147, triangle 49
0.19939573031114094 0.3330349516046961 #148, triangle 50
0.5009452423537865 -0.0006706085244428108 #149, triangle 50
-0.20060335821116362 0.3336318486692532 #150, triangle 50
-0.20203963746904371 -0.336569425757988 #151, triangle 51
0.503215627924383 0.007159570537576837 #152, triangle 51
0.19794990892452746 -0.3301128734673436 #153, triangle 51
0.20005178001144472 -0.333406066865902 #154, triangle 52
-0.19994821328476417 -0.3332606077351492 #155, triangle 52
-0.5000809246003426 0.0001635879820374731 #156, triangle 52
0.44229199574485917 0.04033760329981571 #157, triangle 53
0.23968101751651874 -0.3141133638004384 #158, triangle 53
-0.15594901246332413 -0.3531238629300617 #159, triangle 53
-0.19478430981745276 -0.326779241039874 #160, triangle 54
-0.5082300005345874 0.014392959711562356 #161, triangle 54
0.20514855698721488 -0.3399524995663884 #162, triangle 54
0.15839299081675823 -0.31250609783480954 #163, triangle 55
-0.23768691014229532 -0.35483221214996014 #164, triangle 55
0.5705117988397919 0.043466456870921835 #165, triangle 55
-0.5762168843752702 -0.06821183433751729 #166, triangle 56
-0.15530867432196369 0.29912831775660753 #167, triangle 56
0.2401998627788788 0.3693882367073484 #168, triangle 56
0.09253604279153628 -0.6227092030757068 #169, triangle 57
-0.2847066718193096 -0.13154602874380456 #170, triangle 57
-0.3857858834472632 0.2584509688946666 #171, triangle 57
-0.13096608937476514 0.29400436295143745 #172, triangle 58
0.2588732789347457 0.37512791023060515 #173, triangle 58
-0.6239033607210186 -0.07711672773096961 #174, triangle 58
-0.5304747501611314 -0.07035370008502072 #175, triangle 59
-0.1811842463661768 0.2979116062442355 #176, triangle 59
0.21797043541993813 0.3707427179406255 #177, triangle 59
0.17222922077090722 -0.3293295033487425 #178, triangle 60
-0.22596790671783584 -0.3373613545863301 #179, triangle 60
0.5457753760367954 0.008875359599497458 #180, triangle 60
-0.5477859916154614 -0.012216618198638843 #181, triangle 61
-0.1710755836658182 0.327790875084537 #182, triangle 61
0.22697390517554164 0.33892225613908866 #183, triangle 61
-0.22323227759410158 -0.41393262469626013 #184, triangle 62
0.5404075012407623 0.12742780426654748 #185, triangle 62
0.17533517208348026 -0.2614273936458076 #186, triangle 62
-0.17430615903747393 0.32001467046712684 #187, triangle 63
0.22414302345030895 0.34692350048135173 #188, triangle 63
-0.5421786217526949 -0.028541487273838158 #189, triangle 63
0.08329182319132611 -0.33541078614530384 #190, triangle 64
-0.29034745881475643 -0.33126233412605294 #191, triangle 64
-0.3792819179936842 0.004623838345580348 #192, triangle 64
-0.17486243882281402 0.31120802881065135 #193, triangle 65
0.22365122583625024 0.3562181377562136 #194, triangle 65
-0.5412202713902519 -0.045967977083767854 #195, triangle 65
0.5275189470699992 0.05310077481856524 #196, triangle 66
0.18295088239321403 -0.3074415310299275 #197, triangle 66
-0.21635214356008894 -0.36027134619180445 #198, triangle 66
-0.22719325381116684 -0.1373216943691739 #199, triangle 67
-0.45957186445324305 0.25418737370481986 #200, triangle 67
0.1708232170268797 -0.6109770814815063 #201, triangle 67
0.34569245171031654 -0.024658975464859408 #202, triangle 68
0.3211991663652962 -0.3438602400919141 #203, triangle 68
-0.026113624144903057 -0.32297006629351693 #204, triangle 68
0.10637637136492 0.3210627877045209 #205, triangle 69
-0.39622121916853903 0.029509756966420414 #206, triangle 69
-0.2758664076871352 0.3458339632875074 #207, triangle 69
-0.06942993374043029 -0.36030472740534897 #208, triangle 70
0.3701565617105352 0.053158414760147384 #209, triangle 70
0.2984375671097065 -0.3074106938487069 #210, triangle 70
0.21160137097934512 0.3345558524906217 #211, triangle 71
-0.5190963989424173 -0.002733126282888171 #212, triangle 71
-0.18805209893907374 0.33211305190218526 #213, triangle 71
0.30623124636908594 0.20995418236367058 #214, triangle 72
0.3615838940266283 -0.1897917814640416 #215, triangle 72
-0.05535392031168454 0.48473156159481534 #216, triangle 72
-0.36087630390820835 -0.22102291838070118 #217, triangle 73
-0.306883138178723 0.1778108815542403 #218, triangle 73
0.05414262759964572 0.5361755674808907 #219, triangle 73
-0.3451140634753288 0.05092953487645931 #220, triangle 74
0.02496272726361002 -0.35902133021068233 #221, triangle 74
-0.32175716673352484 -0.308598421945715 #222, triangle 74
-0.3270902310245145 -0.3346998849330746 #223, triangle 75
-0.33963545280710805 -0.0030905789831185246 #224, triangle 75
0.013725640527099695 -0.33196957719828407 #225, triangle 75
-0.07236144915898958 0.34004115730371054 #226, triangle 76
0.2967621115914033 0.3266923293911035 #227, triangle 76
0.3720271767676915 -0.014579182342230834 #228, triangle 76
0.17597029749710655 -0.34360037956938255 #229, triangle 77
-0.2226679427040651 -0.32322200727549943 #230, triangle 77
-0.46602534370421667 0.021919357008777802 #231, triangle 77
-0.6254415781049514 -0.05846633561433693 #232, triangle 78
-0.1302211872764319 0.3045428372740044 #233, triangle 78
0.2594141845767982 0.3634232864056951 #234, triangle 78
0.23687816246863658 0.33703184433088446 #235, triangle 79
-0.5687075377137412 -0.008163144476478293 #236, triangle 79
