TAPERS FOR JACOBIAN
-0.4742227499557533 0.04055625578897803 #498, triangle 166
0.4737261214856735 -0.0004446605961337608 #499, triangle 167
-0.18184943789222868 0.33353116552403367 #500, triangle 167
0.21736270497045704 0.3331355598315807 #501, triangle 167
0.36867412249593595 -0.20216890678220964 #502, triangle 168
-0.06707224816524009 0.503421382230874 #503, triangle 168
0.2997716867827705 0.19781926871058167 #504, triangle 168
0.4510951093207857 0.08551345487003224 #505, triangle 169
0.23325046230347868 -0.28901033172873036 #506, triangle 169
-0.16373496472571542 -0.38081299673354574 #507, triangle 169
0.2687936724361973 0.25107632648039285 #508, triangle 170
0.4047907504327408 -0.14144699215712833 #509, triangle 170
-0.11691744183486909 0.42716820352713775 #510, triangle 170
-0.17984098137455562 0.3319256713754333 #511, triangle 171
0.21919179903970137 0.3347439738487179 #512, triangle 171
-0.5327358203760306 -0.003150608187935787 #513, triangle 171
0.5625477420743582 -0.006772229512750141 #514, triangle 172
-0.23406468190261712 0.3363915384733569 #515, triangle 172
0.1627642589081253 0.330289093060186 #516, triangle 172
-0.21681412531368546 0.3155595670057025 #517, triangle 173
0.18244807397720486 0.3515939392754901 #518, triangle 173
-0.474530880994712 -0.03749206708876389 #519, triangle 173
0.05481570904955683 0.45824229606354955 #520, triangle 174
-0.36126892573407987 -0.16973662854582564 #521, triangle 174
-0.3065212577547584 0.2281347411487922 #522, triangle 174
-0.25899805354957056 -0.3294089820215931 #523, triangle 175
-0.41699740092557114 0.008701732986687782 #524, triangle 175
0.1307944671123491 -0.33728092223359235 #525, triangle 175
-0.4191539233748592 -0.2020406779967944 #526, triangle 176
-0.25730051525660463 0.19794885770080986 #527, triangle 176
0.13311864440121918 0.5032172831654641 #528, triangle 176
0.2505206052698094 -0.21914388729931664 #529, triangle 177
-0.1421761556971758 -0.4711241679831996 #530, triangle 177
0.4278920606543609 0.17989383742477916 #531, triangle 177
-0.14823403444040045 0.34139749015645054 #532, triangle 178
0.24583432087052193 0.3253655566117378 #533, triangle 178
0.4340514493258325 -0.01740737969344417 #534, triangle 178
-0.08152468351990544 -0.3330394430495149 #535, triangle 179
0.37807805826755847 -0.0006622749785416697 #536, triangle 179
0.29140285966508017 -0.3336273532315386 #537, triangle 179
-0.32343244903535057 -0.3293496164507522 #538, triangle 180
-0.3433834755745793 0.008831430786107135 #539, triangle 180
0.021479492290651908 -0.3373409983199146 #540, triangle 180
0.10199338720781419 0.49374990366330407 #541, triangle 181
-0.39282083521187244 -0.19592868930921942 #542, triangle 181
-0.27871912562982976 0.20403028929108624 #543, triangle 181
-0.2008243203751184 -0.23966978080023477 #544, triangle 182
-0.4987139870763568 0.15596285996957687 #545, triangle 182
0.19917397735664374 -0.4423072059270598 #546, triangle 182
0.6258861499382451 -0.004671430792135714 #547, triangle 183
-0.2595698740798614 0.335432404685116 #548, triangle 183
0.13000634251289997 0.3312408503880576 #549, triangle 183
0.22684400205962094 -0.33950852177215657 #550, triangle 184
-0.17122490089101086 -0.3272148193596398 #551, triangle 184
-0.54752523619866 0.013457873245158049 #552, triangle 184
-0.1989683690641464 0.34496632948348993 #553, triangle 185
0.2010289771242704 0.32189984575858627 #554, triangle 185
0.49839531920550734 -0.02466770492652721 #555, triangle 185
-0.16757565649716388 -0.6039455178408052 #556, triangle 186
0.4556309951400694 0.2515280297563581 #557, triangle 186
0.22999307878014835 -0.14085259744669373 #558, triangle 186
-0.2258648642669205 0.34619599674728263 #559, triangle 187
0.17234703528580284 0.32071414448740837 #560, triangle 187
0.5455705593728263 -0.02711026411867629 #561, triangle 187
0.21343186037672512 -0.3554729204172809 #562, triangle 188
-0.1861014305112519 -0.311905356101326 #563, triangle 188
-0.5222975858506247 0.04462695371638248 #564, triangle 188
0.30603319428053277 0.17194057888910796 #565, triangle 189
0.3617991536661404 -0.22622011779399656 #566, triangle 189
-0.05572086069919027 0.5462775741238914 #567, triangle 189
-0.5478278446153525 0.05416543395755743 #568, triangle 190
0.22699473992010022 -0.36088958420577133 #569, triangle 190
-0.1710516254764686 -0.3068708910099367 #570, triangle 190
0.5634996412778384 -0.06363317747121267 #571, triangle 191
-0.23450484384041598 0.36654608972724484 #572, triangle 191
0.16223770054522896 0.301696687267766 #573, triangle 191
0.22211073131745898 -0.4180037424581223 #574, triangle 192
-0.17659554462126448 -0.258204684374988 #575, triangle 192
-0.5382479080099277 0.13188357860486738 #576, triangle 192
-0.5605798233424608 0.0477700089281092 #577, triangle 193
0.23314834796114858 -0.35722780654239666 #578, triangle 193
-0.16385640050748576 -0.31026564549774377 #579, triangle 193
0.17647796871274676 0.31916792375537917 #580, triangle 194
0.5384489175910931 -0.030264512018805364 #581, triangle 194
-0.22221563890384652 0.3478062654276524 #582, triangle 194
-0.22709379825828227 0.347933104750745 #583, triangle 195
0.17093768016542824 0.31904643998172144 #584, triangle 195
0.548026952201968 -0.03051086453722116 #585, triangle 195
0.14660802349115232 0.2950005809256134 #586, triangle 196
0.592705729824496 -0.07540883689035192 #587, triangle 196
-0.24710447407558453 0.3740046510704196 #588, triangle 196
0.3298667543852624 -0.3339152123758333 #589, triangle 197
-0.007699708949593539 -0.3327519617227675 #590, triangle 197
0.33681803225729967 -0.001312090888837717 #591, triangle 197
-0.3088833545299107 0.21271864455425712 #592, triangle 198
0.050392128070742274 0.48058999712283484 #593, triangle 198
-0.3587141528869034 -0.1868636644905164 #594, triangle 198
0.33949211501412274 0.05630768657079075 #595, triangle 199
0.32723092673747084 -0.3057159057650872 #596, triangle 199
-0.013423237149739168 -0.3621442875640372 #597, triangle 199
-0.36756964065384123 -0.015373219384381284 #598, triangle 200
-0.30076933271210576 0.3263211243393295 #599, triangle 200
0.06529544765523099 0.34042008298177173 #600, triangle 200
0.44534432131095525 0.10086541363791844 #601, triangle 201
0.23743486810872957 -0.27944517496542803 #602, triangle 201
-0.15869997987566445 -0.3919604529620472 #603, triangle 201
-0.3467261083105815 0.018997882737109322 #604, triangle 202
-0.32020430944989786 0.34151769422456885 #605, triangle 202
0.028154166043707123 0.3252482295528714 #606, triangle 202
0.07372449456700357 -0.3579259162908765 #607, triangle 203
-0.29597673015703246 -0.3096156683415924 #608, triangle 203
-0.3729074694585457 0.049006084156717686 #609, triangle 203
-0.11050968221482825 0.320212279676951 #610, triangle 204
0.2731293874739703 0.3467178147377196 #611, triangle 204
0.399513763769048 0.031706489085743604 #612, triangle 204
0.18032687264368952 0.33525933359292537 #613, triangle 205
-0.47169679356427413 -0.004290121019544022 #614, triangle 205
-0.2187509050009839 0.3314128812605274 #615, triangle 205
0.4611628462486693 0.023385857423296092 #616, triangle 206
0.22607079706572536 -0.3225180789270788 #617, triangle 206
-0.17211151537655364 -0.3443269356484067 #618, triangle 206
0.5356174648863136 -0.07400377627743766 #619, triangle 207
-0.22072799713855193 0.37308867281503705 #620, triangle 207
0.17813917506995722 0.2958153066810011 #621, triangle 207
-0.25916373698966355 0.368577888843156 #622, triangle 208
0.1305663822656465 0.2998584869460304 #623, triangle 208
0.6247281387901945 -0.06691812681296691 #624, triangle 208
-0.21274280113755817 0.3191219549860004 #625, triangle 209
0.18683789360147188 0.3478542551515309 #626, triangle 209
-0.4805539918746776 -0.030357755473462495 #627, triangle 209
0.5000751404308968 -0.00004342765590585965 #628, triangle 210
-0.2000480797601191 0.3333526364697459 #629, triangle 210
0.19995191446002783 0.3333140307558212 #630, triangle 210
#The minimum x value is -0.6614147458122623, which is in quad 15 {(-4.32256031575, -4.12524343335)(-4.1445223658, -4.3265542748)(-3.97099786875, -4.2573022743)(-4.1535492716, -3.7854285909)}, which is in triangle 5 {(-4.4915713599, -4.4650582758)(-3.7884464659, -4.7291759577)(-4.1535492716, -3.7854285909)}
#The maximum x value is 0.6258861499382451, which is in quad 547 {(0.21361207540000002, -0.5779995027999999)(0.4097955527, -1.0389685636)(0.60050585235, -0.6870044475499999)(0.40614676759999996, -0.49701311236666657)}, which is in triangle 183 {(0.0174285981, -0.117030442)(0.4097955527, -1.0389685636)(0.791216152, -0.3350403315)}
#The minimum y value is -0.6589893044625504, which is in quad 490 {(1.9042064319, -1.6397336087999999)(2.2463315616, -1.6092216973)(1.7730561315, -1.3043879)(1.7027311884000003, -1.4263404401)}, which is in triangle 164 {(1.5620813022, -1.6702455203)(2.2463315616, -1.6092216973)(1.2997807014, -0.9995541027)}
#The maximum y value is 0.6011209970640213, which is in quad 452 {(5.0979256457333335, -2.728110425666667)(5.1859986117000005, -2.8627403357)(5.6288386166, -2.5521994118)(5.2753091652, -2.5055250087000003)}, which is in triangle 151 {(5.6288386166, -2.5521994118)(4.9217797138, -2.4588506056)(4.7431586068, -3.1732812596)}
#The mean average for x is -0.0018243421901941918
#The mean average for y is -7.192544122318829E-4

