ASPECT RATIOS FOR JACOBIAN
1.120372189042971 #180, triangle 60
1.0659305621576127 #181, triangle 61
1.0430434785231029 #182, triangle 61
1.0366783921730727 #183, triangle 61
1.051810931273246 #184, triangle 62
1.2551071289878333 #185, triangle 62
1.1313971457673189 #186, triangle 62
1.0610025628750588 #187, triangle 63
1.1521737614923284 #188, triangle 63
1.154217908461054 #189, triangle 63
1.949388107726328 #190, triangle 64
1.513785024663484 #191, triangle 64
1.0871241060186636 #192, triangle 64
1.1093045332415226 #193, triangle 65
1.0090747845119235 #194, triangle 65
1.0506392101771416 #195, triangle 65
1.0016215643850201 #196, triangle 66
1.060549856533908 #197, triangle 66
1.0228204423220653 #198, triangle 66
1.157740287227595 #199, triangle 67
1.592732401817127 #200, triangle 67
1.1402987905291977 #201, triangle 67
1.2863370494845165 #202, triangle 68
1.19192983139813 #203, triangle 68
1.7370835185971567 #204, triangle 68
1.4274919800510368 #205, triangle 69
1.2665540851132275 #206, triangle 69
1.1354544155121429 #207, triangle 69
1.9333882909970073 #208, triangle 70
1.1705988306055106 #209, triangle 70
1.5165631724492519 #210, triangle 70
1.0934495302766136 #211, triangle 71
1.0350989602842542 #212, triangle 71
1.1281756349513745 #213, triangle 71
1.0282406212364246 #214, triangle 72
1.0451406226604374 #215, triangle 72
1.1409592458266697 #216, triangle 72
1.9714876944814828 #217, triangle 73
2.166820882198358 #218, triangle 73
2.0709476198039765 #219, triangle 73
1.0957439594861624 #220, triangle 74
2.0459068723108613 #221, triangle 74
1.4779840174331007 #222, triangle 74
1.1151671076510545 #223, triangle 75
1.3393572151765547 #224, triangle 75
1.6378351158896625 #225, triangle 75
1.5130222820395827 #226, triangle 76
1.1585551588681016 #227, triangle 76
1.1939580123142084 #228, triangle 76
1.6180822236720287 #229, triangle 77
1.5498929452160934 #230, triangle 77
1.2858971037263167 #231, triangle 77
1.267417181916188 #232, triangle 78
1.193100804370607 #233, triangle 78
1.0287945590365224 #234, triangle 78
1.1070197292835084 #235, triangle 79
1.0928726859676994 #236, triangle 79
1.0005872593994034 #237, triangle 79
1.1794693584948044 #238, triangle 80
1.3485725003810054 #239, triangle 80
1.2522390589628143 #240, triangle 80
1.1797384043345531 #241, triangle 81
1.0711422096009582 #242, triangle 81
1.090384607297807 #243, triangle 81
1.0163068728954838 #244, triangle 82
1.0022623961720605 #245, triangle 82
1.1846730655093909 #246, triangle 82
1.5805878003613236 #247, triangle 83
1.1029656477939795 #248, triangle 83
1.2485420669003275 #249, triangle 83
1.3880622152191042 #250, triangle 84
1.170021043349437 #251, triangle 84
1.1633745236854205 #252, triangle 84
1.01171937457991 #253, triangle 85
1.0106665913919197 #254, triangle 85
1.1603650606672546 #255, triangle 85
1.1066359763642883 #256, triangle 86
1.039108440868692 #257, triangle 86
1.0170436285292952 #258, triangle 86
1.1633533901481272 #259, triangle 87
1.1730368012783094 #260, triangle 87
1.013679313830601 #261, triangle 87
1.102112901869357 #262, triangle 88
1.184594711888499 #263, triangle 88
1.1018551423979872 #264, triangle 88
1.3110504665688127 #265, triangle 89
1.307689219045587 #266, triangle 89
1.5635428693569007 #267, triangle 89
1.0623524961512456 #268, triangle 90
1.0851094928557123 #269, triangle 90
1.0390974830880488 #270, triangle 90
1.0282332115128396 #271, triangle 91
1.2449056743675728 #272, triangle 91
1.0098936116416741 #273, triangle 91
1.0238965333128234 #274, triangle 92
1.105673018862495 #275, triangle 92
1.0670060310215328 #276, triangle 92
1.4041737214931007 #277, triangle 93
1.435093491547756 #278, triangle 93
1.6487487250950759 #279, triangle 93
1.849667861503452 #280, triangle 94
1.6812511274885045 #281, triangle 94
1.8666530370982448 #282, triangle 94
1.6460143120163304 #283, triangle 95
1.5456841930289802 #284, triangle 95
1.735451670322217 #285, triangle 95
1.4275959803771798 #286, triangle 96
1.6812924129818612 #287, triangle 96
1.0765493022189196 #288, triangle 96
1.6481712970314462 #289, triangle 97
1.2959348879637076 #290, triangle 97
1.134920615947548 #291, triangle 97
1.8960051471081985 #292, triangle 98
1.9479572575572932 #293, triangle 98
1.661443750029073 #294, triangle 98
1.3691822834066796 #295, triangle 99
1.2502461138622218 #296, triangle 99
1.4590489859869338 #297, triangle 99
1.3082930174284249 #298, triangle 100
1.6028170152238388 #299, triangle 100
1.4814028694960497 #300, triangle 100
1.109393357800162 #301, triangle 101
1.2467184543786265 #302, triangle 101
1.1487280433962879 #303, triangle 101
1.258456299450344 #304, triangle 102
1.1372814543740033 #305, triangle 102
1.0813813880506444 #306, triangle 102
1.1971128864505214 #307, triangle 103
