SKEWS FOR SHAPE PARAMETERS
1.5700925297923503 #179, triangle 60
1.5719047297996305 #180, triangle 60
1.5699299493080392 #181, triangle 61
1.5715714855009972 #182, triangle 61
1.5681022424248021 #183, triangle 61
1.5714406847735136 #184, triangle 62
1.5733777886550713 #185, triangle 62
1.571005528272117 #186, triangle 62
1.570753159746272 #187, triangle 63
1.5699658397549865 #188, triangle 63
1.5702763700700788 #189, triangle 63
1.5707426573504264 #190, triangle 64
1.5707372904059735 #191, triangle 64
1.5707372904059735 #192, triangle 64
1.5705656061852107 #193, triangle 65
1.5705766294841015 #194, triangle 65
1.5706787170724033 #195, triangle 65
1.5708336253192108 #196, triangle 66
1.5704963182834517 #197, triangle 66
1.5703086103345891 #198, triangle 66
1.5707054167600492 #199, triangle 67
1.5701422929635462 #200, triangle 67
1.5695367928507593 #201, triangle 67
1.5745441022870712 #202, triangle 68
1.5694043036890863 #203, triangle 68
1.5717045456697558 #204, triangle 68
1.5734960012374033 #205, triangle 69
1.5697826221073945 #206, triangle 69
1.5714278040070038 #207, triangle 69
1.5732900604906404 #208, triangle 70
1.5716333390627693 #209, triangle 70
1.5701170216558462 #210, triangle 70
1.5739982800440118 #211, triangle 71
1.5695999522560269 #212, triangle 71
1.5715589052889454 #213, triangle 71
1.5721399328415213 #214, triangle 72
1.5741573603972108 #215, triangle 72
1.570081403122884 #216, triangle 72
1.5683367525962795 #217, triangle 73
1.571510196386779 #218, triangle 73
1.5700150767154237 #219, triangle 73
1.5740966770050504 #220, triangle 74
1.5701956453525239 #221, triangle 74
1.5722241800925727 #222, triangle 74
1.5715039013157448 #223, triangle 75
1.5734252714550996 #224, triangle 75
1.5698950592944103 #225, triangle 75
1.570376017338077 #226, triangle 76
1.5682303809236107 #227, triangle 76
1.569655186269453 #228, triangle 76
1.5675957773897804 #229, triangle 77
1.5693450435597478 #230, triangle 77
1.5702893823287387 #231, triangle 77
1.5733497760106598 #232, triangle 78
1.568488740771238 #233, triangle 78
1.5682980964532014 #234, triangle 78
1.5730922786210726 #235, triangle 79
1.5780975406562947 #236, triangle 79
1.5685631009629089 #237, triangle 79
1.5685609813742851 #238, triangle 80
1.5730774844156594 #239, triangle 80
1.5780904136956866 #240, triangle 80
1.5684325190380113 #241, triangle 81
1.5729810598696783 #242, triangle 81
1.5634512212531009 #243, triangle 81
1.571910490219854 #244, triangle 82
1.5731699679647855 #245, triangle 82
1.571123575151432 #246, triangle 82
1.571450360626247 #247, triangle 83
1.5720558607390338 #248, triangle 83
1.570887236829744 #249, triangle 83
1.5714657669837961 #250, triangle 84
