TAPERS FOR JACOBIAN
0.2 0.2 #1, triangle 1
-1.000000000000004 0.7919999999999994 #127, triangle 43
0.199999999999999 0.3028169014084514 #128, triangle 43
0.5000000000000016 0.061611374407584074 #129, triangle 43
0.499999999999999 0.05694518360830145 #130, triangle 44
-1.000000000000004 1.3787610619468933 #131, triangle 44
-1.000000000000004 0.8054545454545485 #132, triangle 44
0.499999999999999 0.29678362573099387 #133, triangle 45
-1.000000000000004 -0.10176390773405634 #134, triangle 45
-1.000000000000004 0.3720030935808201 #135, triangle 45
0.20000000000000065 1.4981245311327895 #136, triangle 46
0.499999999999999 0.36833781432864077 #137, triangle 46
0.20000000000000065 -0.09066084107045416 #138, triangle 46
0.5000000000000007 0.37278828553996346 #139, triangle 47
-1.0000000000000027 0.07354056103108424 #140, triangle 47
-1.0000000000000027 0.29608294930875584 #141, triangle 47
0.8915009041591357 0.555719994080213 #142, triangle 48
-0.03348214285714408 0.23084801310938147 #143, triangle 48
1.1488833746898264 0.1665741871046499 #144, triangle 48
-1.0 -0.017258222077499465 #145, triangle 49
0.20000000000000004 0.9384079023823386 #146, triangle 49
0.4999999999999999 1.0728021978021989 #147, triangle 49
0.5003590521024495 0.17220279720279905 #148, triangle 50
-0.9942838996506839 -2.353191489361757 #149, triangle 50
-1.0057655349135168 0.5458213256484178 #150, triangle 50
-2.8530670470756094 0.16940889701401576 #151, triangle 51
0.16773272061106617 -2.645901639344272 #152, triangle 51
0.5536643807320499 0.5507070707070709 #153, triangle 51
0.20000000000000004 0.43041237113402125 #154, triangle 52
0.4999999999999999 0.1446862996158785 #155, triangle 52
0.20000000000000004 0.24859392575928085 #156, triangle 52
0.5003587086488642 0.13717886572951798 #157, triangle 53
-0.994289340101524 14.804878048782113 #158, triangle 53
-1.005760000000002 0.611263736263735 #159, triangle 53
0.19999999999999998 0.39640016743407325 #160, triangle 54
0.49999999999999994 0.10660377358490616 #161, triangle 54
0.19999999999999998 0.2757170172084108 #162, triangle 54
0.19999999999999998 0.13265306122449094 #163, triangle 55
0.49999999999999994 8.428571428571248 #164, triangle 55
0.19999999999999998 0.6204379562043812 #165, triangle 55
0.4604758717215358 0.4627512810405996 #166, triangle 56
-2.415803814713896 0.17338496743531062 #167, triangle 56
-0.5467550593161201 0.224954612972438 #168, triangle 56
0.2908450704225352 -0.6480565371024745 #169, triangle 57
0.735573411249087 0.5317845289762566 #170, triangle 57
0.08246013667425896 -1.7455089820359238 #171, triangle 57
0.04268292682926864 -1.7455089820359238 #172, triangle 58
0.3544018058690734 0.47180067950169857 #173, triangle 58
0.312910284463895 -0.6480565371024745 #174, triangle 58
-0.15906127770534542 0.21733078127718775 #175, triangle 59
0.28177496038034855 -0.6675567423230959 #176, triangle 59
0.3892133287530056 0.47377290920581405 #177, triangle 59
0.49999999999999994 0.8588640275387245 #178, triangle 60
-1.0 0.3145604395604401 #179, triangle 60
-1.0 0.039461020211742505 #180, triangle 60
-1.0 -2.0927835051546055 #181, triangle 61
0.20000000000000004 0.46508563899868344 #182, triangle 61
0.4999999999999999 -0.5859374999999947 #183, triangle 61
0.34254970426850984 -0.016132205390518257 #184, triangle 62
1.0918343195266274 0.9420187378469124 #185, triangle 62
-0.021479185119574782 1.0678106264213392 #186, triangle 62
0.2 1.9973045822102429 #187, triangle 63
0.5 0.3845514950166112 #188, triangle 63
0.2 -0.14263685427910516 #189, triangle 63
-1.0 -0.999999999999988 #190, triangle 64
0.2 0.5 #191, triangle 64
0.5 -0.999999999999988 #192, triangle 64
0.5 0.3334666933386691 #193, triangle 65
-1.0 0.0002998500749604884 #194, triangle 65
-1.0 0.3331999999999991 #195, triangle 65
1.001201923076924 0.1999999999999993 #196, triangle 66
0.0002998500749624857 -1.000000000000006 #197, triangle 66
0.9988016776512878 0.5000000000000008 #198, triangle 66
1.9973045822102429 0.20000000000000048 #199, triangle 67
0.0908198330878744 -0.999999999999996 #200, triangle 67
0.714506172839506 0.499999999999999 #201, triangle 67
0.7670837343599607 0.4999999999999998 #202, triangle 68
-0.09829406986190081 0.2 #203, triangle 68
1.5576036866359473 0.2 #204, triangle 68
0.8939895882631365 0.4999999999999997 #205, triangle 69
-0.032539221382917156 0.2000000000000001 #206, triangle 69
1.144236960721184 0.2000000000000001 #207, triangle 69
-6.946428571428518 0.4999999999999997 #208, triangle 70
0.1539259771705308 0.2000000000000001 #209, triangle 70
0.5787979176526249 0.2000000000000001 #210, triangle 70
0.819295558958653 0.4999999999999997 #211, triangle 71
-0.06606942889137764 0.20000000000000023 #212, triangle 71
1.3296089385474787 0.20000000000000023 #213, triangle 71
0.19999999999999998 -0.17798074549493995 #214, triangle 72
0.49999999999999994 0.6830072543416157 #215, triangle 72
0.19999999999999998 2.527542372881328 #216, triangle 72
0.14285714285714285 0.4999999999999997 #217, triangle 73
0.42857142857142794 0.2000000000000001 #218, triangle 73
0.25000000000000033 0.2000000000000001 #219, triangle 73
0.49957350014216667 0.5998402555910541 #220, triangle 74
-1.0068649885583516 0.24993757802746594 #221, triangle 74
-0.9932049830124583 0.14293865905848832 #222, triangle 74
0.2490096208262587 -0.5703281027104155 #223, triangle 75
0.5974786132372808 0.5430334895416613 #224, triangle 75
0.14414704933892303 -2.208667736757634 #225, triangle 75
0.19999999999999915 3.6077348066298223 #226, triangle 76
0.5000000000000007 0.4050113895216403 #227, triangle 76
0.19999999999999915 -0.22056074766355038 #228, triangle 76
0.5000000000000007 0.4243113010273664 #229, triangle 77
-1.0000000000000027 0.13853253345639074 #230, triangle 77
-1.0000000000000027 0.25327999999999945 #231, triangle 77
0.9659542743538772 -0.7870522510680263 #232, triangle 78
-0.009050670542379489 0.5163570274636511 #233, triangle 78
1.037213092489473 -1.3128923225494984 #234, triangle 78
0.19985985674244772 0.2542940930037699 #235, triangle 79
0.499781160336527 -0.30397422126744816 #236, triangle 79
0.2001400941744172 0.4230038022813694 #237, triangle 79
-1.0000000000000013 0.676912080057189 #238, triangle 80
0.19999999999999968 0.2757170172084108 #239, triangle 80
0.5000000000000004 0.10660377358490616 #240, triangle 80
-1.0000000000000013 -0.28260869565217633 #241, triangle 81
0.19999999999999968 0.6204379562043812 #242, triangle 81
0.5000000000000004 8.428571428571248 #243, triangle 81
0.20000000000000095 -0.25033768572714915 #244, triangle 82
0.4999999999999992 0.6361851791264501 #245, triangle 82
0.20000000000000095 5.021699819168243 #246, triangle 82
0.19999999999999937 -0.14263685427910516 #247, triangle 83
0.499999999999999 0.7145061728395067 #248, triangle 83
0.19999999999999937 1.9973045822102429 #249, triangle 83
-1.0 0.2500374981250936 #250, triangle 84
0.2 -0.33306677329068285 #251, triangle 84
0.5 0.42852245457662025 #252, triangle 84
-0.02851658897724207 0.6039260969976906 #253, triangle 85
0.32144999571514304 0.2515205724508047 #254, triangle 85
0.34543233574731663 0.14086242299794657 #255, triangle 85
1.519531250000001 0.18188432157148027 #256, triangle 86
0.06803069053708477 -1.6631158455392794 #257, triangle 86
0.7740016992353442 0.5293010120028249 #258, triangle 86
0.35024284943335066 0.4999999999999998 #259, triangle 87
1.1850393700787374 0.2 #260, triangle 87
-0.040622299049264655 0.2 #261, triangle 87
0.41677496750974724 0.4999999999999998 #262, triangle 88
7.06295399515746 0.2 #263, triangle 88
-0.27324312527280514 0.2 #264, triangle 88
0.6000960153624592 0.4999999999999996 #265, triangle 89
-0.3330667732906833 0.20000000000000037 #266, triangle 89
1666.9999999890788 0.20000000000000037 #267, triangle 89
0.39285714285714296 0.4999999999999998 #268, triangle 90
2.428571428571463 0.2 #269, triangle 90
-0.17241379310344707 0.2 #270, triangle 90
-0.14263685427910516 0.1999999999999993 #271, triangle 91
0.2857693790975699 -1.000000000000006 #272, triangle 91
0.3845514950166112 0.5000000000000008 #273, triangle 91
0.2630980577925157 -0.999999999999996 #274, triangle 92
0.6361851791264516 0.499999999999999 #275, triangle 92
0.1250843644544429 -0.999999999999996 #276, triangle 92
0.5 0.9988016776512844 #277, triangle 93
-1.000000000000006 0.3331999999999991 #278, triangle 93
-1.000000000000006 0.0002998500749604884 #279, triangle 93
-0.00030021014710093866 0.19999999999999857 #280, triangle 94
0.33319999999999955 -0.999999999999988 #281, triangle 94
0.3334666933386682 0.5 #282, triangle 94
0.19999999999999615 0.19999999999999857 #283, triangle 95
0.5 -0.999999999999988 #284, triangle 95
0.19999999999999615 0.5 #285, triangle 95
0.004110393423370072 -0.999999999999998 #286, triangle 96
0.33517786561264734 0.4999999999999997 #287, triangle 96
0.3314938904217582 -0.999999999999998 #288, triangle 96
0.8741573033707855 0.2000000000000001 #289, triangle 97
-0.04034582132564881 -1.0 #290, triangle 97
1.1836065573770478 0.4999999999999997 #291, triangle 97
0.5773674806432394 0.5488372093023254 #292, triangle 98
-0.40576395242452085 0.22749590834697275 #293, triangle 98
-6.469473684210523 0.17047451669595826 #294, triangle 98
#The minimum x value is -8.371428571428549, which is in quad 115 {(0.37316666666666665, 0.8476666666666667)(0.33755, 0.7715000000000001)(0.35, 0.75)(0.3972, 0.875)}, which is in triangle 39 {(0.3251, 0.793)(0.35, 0.75)(0.4444, 1.0)}
#The maximum x value is 1666.9999999890788, which is in quad 267 {(0.9259333333333334, 0.8333333333333334)(1.0, 0.75)(1.0, 0.7222)(0.8889, 0.8611)}, which is in triangle 89 {(1.0, 0.7778)(0.7778, 1.0)(1.0, 0.7222)}
#The minimum y value is -1001.0000000006655, which is in quad 49 {(0.1502, 0.5904999999999999)(0.12515, 0.5540499999999999)(0.2503, 0.6637)(0.2253, 0.66355)}, which is in triangle 17 {(0.0, 0.4444)(0.2503, 0.6637)(0.2003, 0.6634)}
#The maximum y value is 1667.0000000001833, which is in quad 48 {(0.16666666666666666, 0.0926)(0.1389, 0.1389)(0.2778, 0.0)(0.25, 0.0)}, which is in triangle 16 {(0.0, 0.2778)(0.2222, 0.0)(0.2778, 0.0)}
#The mean average for x is 6.297677451884058
#The mean average for y is 2.627970665240587

