TAPERS FOR JACOBIAN
-0.2 -0.2 #1, triangle 1
-0.19955952526611906 -0.3152126260412086 #123, triangle 41
0.2 0.33173652694610706 #124, triangle 42
0.5 -0.003571428571428175 #125, triangle 42
-0.2 0.3349339735894365 #126, triangle 42
-0.199999999999999 0.36531365313653097 #127, triangle 43
0.199999999999999 0.3028169014084514 #128, triangle 43
0.500000000000002 -0.061611374407584074 #129, triangle 43
-0.5000000000000006 -0.05694518360830145 #130, triangle 44
-0.19999999999999984 0.30537044296354415 #131, triangle 44
0.20000000000000065 0.36252045826514046 #132, triangle 44
-0.5000000000000006 -0.29678362573099387 #133, triangle 45
-0.19999999999999984 0.07232401157184137 #134, triangle 45
0.20000000000000065 0.7622820919175898 #135, triangle 45
-1.0 -0.3000751314800908 #136, triangle 46
-0.5000000000000006 -0.36833781432864077 #137, triangle 46
-0.19999999999999984 -0.09066084107045416 #138, triangle 46
-0.5000000000000003 -0.3727882855399636 #139, triangle 47
-0.19999999999999968 -0.10418904403866835 #140, triangle 47
-1.0 -0.2960829493087557 #141, triangle 47
-0.34742776603241715 0.4544354350720076 #142, triangle 48
0.029527559055119255 3.01336898395722 #143, triangle 48
-0.31953071083505863 0.4991686065846358 #144, triangle 48
0.20000000000000004 -0.01614377094121152 #145, triangle 49
-0.20000000000000004 -0.9384079023823368 #146, triangle 49
0.4999999999999999 0.32595993322203615 #147, triangle 49
-0.5003590521024496 -0.17220279720279905 #148, triangle 50
-0.199770305621132 0.22599100939926492 #149, triangle 50
0.20022956255579652 0.4612761811982475 #150, triangle 50
-0.22985863693828293 -0.525519848771268 #151, triangle 51
-0.5097188148707303 -0.22841777526181742 #152, triangle 51
-0.45581933201823 -0.4578434665770916 #153, triangle 51
-0.20000000000000004 -0.43041237113402125 #154, triangle 52
0.4999999999999999 0.1446862996158785 #155, triangle 52
0.20000000000000004 -0.24859392575928085 #156, triangle 52
-0.5003587086488643 -0.13717886572951798 #157, triangle 53
-0.19977052524222347 0.2542940930037699 #158, triangle 53
0.2002293431865962 0.4230038022813694 #159, triangle 53
-0.19999999999999998 -0.39640016743407325 #160, triangle 54
0.49999999999999994 0.10660377358490616 #161, triangle 54
0.19999999999999998 -0.2757170172084108 #162, triangle 54
-0.19999999999999998 -0.13265306122449094 #163, triangle 55
-0.5000000000000001 0.25764192139737907 #164, triangle 55
0.19999999999999998 -0.6204379562043812 #165, triangle 55
-0.4604758717215358 -0.4627512810405996 #166, triangle 56
-0.22655491388562382 -0.5657668006892607 #167, triangle 56
-0.5467550593161201 -0.2249546129724379 #168, triangle 56
0.2908450704225352 -0.6480565371024745 #169, triangle 57
0.3787138021812714 -0.47180067950169885 #170, triangle 57
0.12304554724676985 -0.21867966991747947 #171, triangle 57
-0.04268292682926869 1.7455089820359238 #172, triangle 58
