ASPECT RATIOS FOR SHAPE PARAMETERS
1.5790483675544156 #184, triangle 62
1.3226830896142265 #185, triangle 62
1.669070495898808 #186, triangle 62
6.163219694271666 #187, triangle 63
4.852237382011658 #188, triangle 63
4.600438416143758 #189, triangle 63
1.0833333333333006 #190, triangle 64
1.708333333333334 #191, triangle 64
1.7083333333333515 #192, triangle 64
4.042195567870088 #193, triangle 65
2.545345480372429 #194, triangle 65
4.419221379653022 #195, triangle 65
3.774568335211858 #196, triangle 66
2.8367870570840616 #197, triangle 66
3.023216983860543 #198, triangle 66
5.843483551491195 #199, triangle 67
4.801941859829497 #200, triangle 67
4.344832472354491 #201, triangle 67
5.093856141733556 #202, triangle 68
7.133444014340146 #203, triangle 68
7.560652419143053 #204, triangle 68
4.34500122622628 #205, triangle 69
6.009311811811864 #206, triangle 69
6.402853478478542 #207, triangle 69
3.856768984812158 #208, triangle 70
5.6513369554356325 #209, triangle 70
5.8134202887689765 #210, triangle 70
4.711713546983402 #211, triangle 71
6.5574106042960985 #212, triangle 71
6.969075732027473 #213, triangle 71
7.043290703123453 #214, triangle 72
5.256026113693191 #215, triangle 72
7.661722231785894 #216, triangle 72
3.7395786036034973 #217, triangle 73
5.700005630630688 #218, triangle 73
5.630630630630687 #219, triangle 73
7.050192850294012 #220, triangle 74
10.110842008068829 #221, triangle 74
9.029211298933022 #222, triangle 74
6.671091378109736 #223, triangle 75
4.425423660974327 #224, triangle 75
6.453813875781856 #225, triangle 75
7.51817074340504 #226, triangle 76
5.3084052757794495 #227, triangle 76
6.629170743405367 #228, triangle 76
6.635976006006153 #229, triangle 77
8.217634384384604 #230, triangle 77
9.384384384384234 #231, triangle 77
1.7134666175190156 #232, triangle 78
1.0909359623046744 #233, triangle 78
1.7177881302028122 #234, triangle 78
10.724707309559058 #235, triangle 79
6.941385232804257 #236, triangle 79
10.7666508073463 #237, triangle 79
9.658331714978166 #238, triangle 80
9.630851170231244 #239, triangle 80
6.228596889025651 #240, triangle 80
9.674962900643875 #241, triangle 81
9.782574768348155 #242, triangle 81
6.346514194155664 #243, triangle 81
6.840690825839342 #244, triangle 82
5.681878762201023 #245, triangle 82
7.9345814649032045 #246, triangle 82
