ASPECT RATIOS FOR JACOBIAN
1.0 #1, triangle 1
4.881619937694698 #183, triangle 61
1.380385599055676 #184, triangle 62
1.1006536866521404 #185, triangle 62
1.6132748776508967 #186, triangle 62
4.9910152740341545 #187, triangle 63
1.6255625562556264 #188, triangle 63
1.4276535594962718 #189, triangle 63
1.0000000000000024 #190, triangle 64
1.2500000000000029 #191, triangle 64
1.2500000000000062 #192, triangle 64
2.247751798561146 #193, triangle 65
1.1982014388489208 #194, triangle 65
1.6706730769230802 #195, triangle 65
4.5004500450044835 #196, triangle 66
1.66766736715701 #197, triangle 66
1.1248874887488742 #198, triangle 66
4.666466706658678 #199, triangle 67
2.1421228475970198 #200, triangle 67
1.0833833233353332 #201, triangle 67
2.170311772917636 #202, triangle 68
-0.6798833819241987 #203, triangle 68
1.9468267581475125 #204, triangle 68
2.20466654418519 #205, triangle 69
-0.7712082262210788 #206, triangle 69
1.8516666666666644 #207, triangle 69
3.722084367245657 #208, triangle 70
5.1885160843998674 #209, triangle 70
7.098911500236637 #210, triangle 70
2.1849361129791514 #211, triangle 71
-0.7194419840566879 #212, triangle 71
1.903354878424129 #213, triangle 71
3.8755862749938346 #214, triangle 72
1.594110927782714 #215, triangle 72
16.631355932203228 #216, triangle 72
5.148005148005158 #217, triangle 73
6.4350064350064295 #218, triangle 73
5.6306306306306215 #219, triangle 73
1.0019977168949783 #220, triangle 74
-0.00022758306781972925 #221, triangle 74
2.9253830779480374 #222, triangle 74
3.024821683309557 #223, triangle 75
1.1073318216175363 #224, triangle 75
-0.13393528969149718 #225, triangle 75
3.8896000000000055 #226, triangle 76
1.138952164009112 #227, triangle 76
2.9205607476635524 #228, triangle 76
1.0999000000000003 #229, triangle 77
2.587456013247776 #230, triangle 77
5.000000000000005 #231, triangle 77
1.8258734056880304 #232, triangle 78
1.4864480667172106 #233, triangle 78
1.7907623387657385 #234, triangle 78
10.761625471302873 #235, triangle 79
9.958797867183717 #236, triangle 79
12.213403041825087 #237, triangle 79
10.757639179573031 #238, triangle 80
9.827915869980888 #239, triangle 80
9.698113207547134 #240, triangle 80
8.74149659863945 #241, triangle 81
12.506082725060871 #242, triangle 81
5.985443959243091 #243, triangle 81
2.5011256190904954 #244, triangle 82
1.0624437443744372 #245, triangle 82
4.750225022502245 #246, triangle 82
2.1421228475970184 #247, triangle 83
1.083383323335335 #248, triangle 83
4.666466706658658 #249, triangle 83
4.799856011519079 #250, triangle 84
2.7768892443022786 #251, triangle 84
