TAPERS FOR SHAPE PARAMETERS
0.009706686924504524 0.011468964244517155 #117, triangle 39
0.002540950206397026 0.01219329438467682 #118, triangle 40
0.003953246320053883 0.0115494681158348 #119, triangle 40
0.008947497625519881 0.010223289904282812 #120, triangle 40
0.007030515162218171 0.00695451687067575 #121, triangle 41
0.0028631331556555374 0.008574894023174948 #122, triangle 41
0.0029319099440703695 0.008536072482127614 #123, triangle 41
0.0031171418560428455 0.00856861766957541 #124, triangle 42
0.007041751725324597 0.007035580456587106 #125, triangle 42
0.0031119118280720295 0.008571785440756192 #126, triangle 42
0.0030580815986883084 0.008590720741352394 #127, triangle 43
0.0031600623290705242 0.008528985759765066 #128, triangle 43
0.007089878792574948 0.0069696029778173905 #129, triangle 43
0.0071081245847862485 0.006998496319771167 #130, triangle 44
0.0031590507719113734 0.008561918636488282 #131, triangle 44
0.003065888148463391 0.008618178663280232 #132, triangle 44
0.008060401320309246 0.006880003229973539 #133, triangle 45
0.003663339073632459 0.008846719969009272 #134, triangle 45
0.002608964122674578 0.00944916503375143 #135, triangle 45
0.011000760755337801 0.0022014655886130915 #136, triangle 46
0.009490831250273894 0.007510961968761585 #137, triangle 46
0.004179646968910339 0.009998920297615026 #138, triangle 46
0.012455699972525065 0.010943371439927418 #139, triangle 47
0.004672217680668922 0.01413316258741182 #140, triangle 47
0.0148950734071889 0.002925655790682661 #141, triangle 47
0.008779059508323857 0.00831893926134997 #142, triangle 48
0.002906389632248903 0.010654880369785633 #143, triangle 48
0.0033759852599935447 0.010421588941184853 #144, triangle 48
0.004727840879691273 0.016633428477777688 #145, triangle 49
0.0037244204258755484 0.017053041646101674 #146, triangle 49
0.013979871442741132 0.013146115290161495 #147, triangle 49
0.013289419260431453 0.013076258412526475 #148, triangle 50
0.004154149166211921 0.016327876759144513 #149, triangle 50
0.0038922238459542314 0.016435088708066727 #150, triangle 50
0.003614430232108274 0.020827429371771143 #151, triangle 51
0.02008136147174843 0.00560147724346238 #152, triangle 51
0.015668182343017548 0.017155906126385748 #153, triangle 51
0.004069218936323813 0.016431994516594783 #154, triangle 52
0.013296741496261373 0.013111206086527905 #155, triangle 52
0.004289043747429115 0.01633854913797525 #156, triangle 52
0.0132617273998701 0.01310364441526875 #157, triangle 53
0.004118586264870673 0.016341722474885672 #158, triangle 53
0.003924255862094033 0.01642123142041553 #159, triangle 53
0.004109889331986841 0.016418966665501387 #160, triangle 54
0.01326839655807019 0.013144506668398347 #161, triangle 54
0.004256559607967257 0.01635656700139682 #162, triangle 54
0.004480765218625652 0.016417221860324332 #163, triangle 55
0.013563797020994812 0.013083790505878812 #164, triangle 55
0.00390904413956528 0.01665891828351227 #165, triangle 55
0.017872678832634804 0.019337552997889404 #166, triangle 56
0.00409992761728967 0.02356936361590364 #167, triangle 56
0.022835218615143194 0.0061032795857136266 #168, triangle 56
0.004526303454262501 0.0169505254663408 #169, triangle 57
0.014088581869936632 0.013435768824208364 #170, triangle 57
0.017278613170340927 0.0037080085297831714 #171, triangle 57
0.0035192945355250636 0.017009189203519005 #172, triangle 58
0.013930807942801956 0.013081562587508543 #173, triangle 58
0.004581264329407766 0.016582368225947348 #174, triangle 58
0.018705168655171404 0.003964993437582086 #175, triangle 59
0.004755210044723901 0.01839561320177845 #176, triangle 59
0.01521392038499321 0.014597526315186661 #177, triangle 59
0.014350416781597188 0.013305414128800978 #178, triangle 60
0.0036266782513602962 0.01744314225721843 #179, triangle 60
0.00489800483757305 0.01691745995676916 #180, triangle 60
0.004327430499835127 0.016325731018014815 #181, triangle 61
0.004035256541522688 0.016449977474074857 #182, triangle 61
0.013329504658629537 0.013082815807174762 #183, triangle 61
0.011892146840121753 0.018459578735497053 #184, triangle 62
0.01689475778789996 0.015948361563030217 #185, triangle 62
0.018978479251409535 0.011391539839043457 #186, triangle 62
0.0016381313721313543 0.009957094697200951 #187, triangle 63
0.008834863271595238 0.006150746623604135 #188, triangle 63
0.004215109282967765 0.008602574131271794 #189, triangle 63
0.002953182134955807 0.002953182134955776 #190, triangle 64
0.002387965341503299 0.003708476120846547 #191, triangle 64
0.003708476120846641 0.0023879653415035274 #192, triangle 64
0.005699371100936147 0.0028964584532113085 #193, triangle 65
0.0035177959346508474 0.004522636089293544 #194, triangle 65
0.0018275334394264636 0.005959243811554849 #195, triangle 65
0.0020841709253757138 0.0077852319268286825 #196, triangle 66
0.006749184139222994 0.003657701219592051 #197, triangle 66
0.004944867152362545 0.006967429262612846 #198, triangle 66
0.0020879267070535125 0.01187614513849906 #199, triangle 67
0.01076584275501434 0.004409434182412481 #200, triangle 67
0.008040342075710468 0.010240616470430142 #201, triangle 67
0.014932274517488348 0.016047748880781663 #202, triangle 68
0.0052986188132497685 0.018990675394864934 #203, triangle 68
0.0038879722381983876 0.019551064948616022 #204, triangle 68
0.012692304141423829 0.01372576182014689 #205, triangle 69
0.00475613684344872 0.016141871153626426 #206, triangle 69
0.003518892617249863 0.016662044443686963 #207, triangle 69
0.012500544432587904 0.012943276354068252 #208, triangle 70
0.015667799749860625 0.004339873995106696 #209, triangle 70
0.015890891850157525 0.0038223303648955926 #210, triangle 70
0.013808216404655222 0.01488799035949594 #211, triangle 71
0.005029770853137096 0.017563571320873148 #212, triangle 71
0.0036985218108145923 0.018106488421559576 #213, triangle 71
0.005339006687064088 0.01787860009516547 #214, triangle 72
0.01544452160517941 0.01391500586553425 #215, triangle 72
0.003415449478310124 0.01864699717038166 #216, triangle 72
0.012543241223488827 0.012733647985381815 #217, triangle 73
0.015720963127003953 0.003957450696550065 #218, triangle 73
0.015625 0.004179264289321798 #219, triangle 73
0.015514391315505017 0.013476374364628594 #220, triangle 74
0.002731251787708298 0.018579238297136622 #221, triangle 74
0.005442068842017153 0.017557357454390826 #222, triangle 74
0.0036513037827927536 0.01629385791556347 #223, triangle 75
0.012739059252643339 0.013270977318031124 #224, triangle 75
0.004303512802262358 0.01602631587621506 #225, triangle 75
0.016496730526245524 0.002711171589717139 #226, triangle 76
0.013861933912898524 0.01186024009617326 #227, triangle 76
0.005163179266584569 0.015490712383195623 #228, triangle 76
0.015484717523401012 0.013127213809659158 #229, triangle 77
0.0056661842051051285 0.017231547881850714 #230, triangle 77
0.018414239093399804 0.0026097639846461105 #231, triangle 77
0.015594081666757971 0.024216681206443477 #232, triangle 78
0.019220753424259406 0.01932308347299962 #233, triangle 78
0.015514840076095042 0.024247200269724656 #234, triangle 78
0.005914692397285933 0.026758367416183967 #235, triangle 79
0.021527319781195077 0.02142300353113761 #236, triangle 79
0.005770912397923877 0.026810641305201326 #237, triangle 79
0.0059042307137495455 0.02681046840998578 #238, triangle 80
0.006007249761428433 0.0267722997531247 #239, triangle 80
0.021530219395590904 0.021454091813812633 #240, triangle 80
0.006168144530119738 0.026809399911432472 #241, triangle 81
0.0057662271967960635 0.026958084286105084 #242, triangle 81
0.021713511683436534 0.021416945954121663 #243, triangle 81
0.00517370236683183 0.014821866178518092 #244, triangle 82
0.013508243729461506 0.011236745326361961 #245, triangle 82
0.015963014877115354 0.0023851876254670492 #246, triangle 82
0.0044094341824127475 0.010765842755014446 #247, triangle 83
0.010240616470429632 0.008040342075710723 #248, triangle 83
0.011876145138499198 0.0020879267070536204 #249, triangle 83
0.020056551342045627 0.0028937507499399357 #250, triangle 84
0.005960052927850531 0.018894916139077362 #251, triangle 84
0.01678405172659752 0.014467500096000936 #252, triangle 84
0.021581681484408356 0.020094210833665117 #253, triangle 85
0.01879975458801111 0.024310648851263605 #254, triangle 85
0.017739390657595076 0.024784158702070982 #255, triangle 85
0.004801237271816243 0.018014872448626224 #256, triangle 86
0.0037810814069395246 0.01841542289941357 #257, triangle 86
0.015035670730440933 0.01423811505628071 #258, triangle 86
0.014758784791290306 0.01568317451572363 #259, triangle 87
0.003974552844346077 0.01916185684667604 #260, triangle 87
0.018697302247333222 0.005133191814371005 #261, triangle 87
0.016147681110664804 0.01791654775275474 #262, triangle 88
0.003669058908299104 0.02166504213160537 #263, triangle 88
0.02077774354293818 0.006004802042486013 #264, triangle 88
0.012690337668435529 0.015278759880049553 #265, triangle 89
0.00570138034577812 0.016781106325683557 #266, triangle 89
0.0023145842709270227 0.018079074239219943 #267, triangle 89
0.015293737371152336 0.016678599894608327 #268, triangle 90
0.003782086827740828 0.020246783143195304 #269, triangle 90
0.019551442922605484 0.005559511232794534 #270, triangle 90
0.004215109282967417 0.008602574131272144 #271, triangle 91
0.001638131372131379 0.009957094697200979 #272, triangle 91
0.006150746623603602 0.008834863271595288 #273, triangle 91
0.001829511285873846 0.014009555038561203 #274, triangle 92
0.009422967160765013 0.01204161588981494 #275, triangle 92
0.004942184508597184 0.0126939948568346 #276, triangle 92
0.006967429262613023 0.004944867152362291 #277, triangle 93
0.007785231926828804 0.002084170925375402 #278, triangle 93
0.003657701219592051 0.006749184139222821 #279, triangle 93
0.0035177959346498334 0.004522636089291867 #280, triangle 94
0.001827533439426231 0.005959243811554898 #281, triangle 94
0.002896458453211653 0.005699371100935649 #282, triangle 94
0.002953182134955681 0.002953182134955681 #283, triangle 95
0.0037084761208464934 0.0023879653415035612 #284, triangle 95
0.002387965341503642 0.00370847612084658 #285, triangle 95
0.01728981105128784 0.004861191827206891 #286, triangle 96
0.013656094742316105 0.014527408243653797 #287, triangle 96
0.003797688241667676 0.017728098681356348 #288, triangle 96
0.003633670186983984 0.016296312743310292 #289, triangle 97
0.015890322876238584 0.004587377004103563 #290, triangle 97
0.012564434621625611 0.013370599613621673 #291, triangle 97
0.013013561677857983 0.01400465142378504 #292, triangle 98
0.004669465771400366 0.016551392632956623 #293, triangle 98
0.003429629405038242 0.017049472699008545 #294, triangle 98
#The minimum x value is 0.0016381313721313543, which is in quad 187 {(0.8333, 0.0)(0.8611, 0.0)(0.9074, 0.037033333333333335)(0.91665, 0.05555)}, which is in triangle 63 {(1.0, 0.1111)(0.8333, 0.0)(0.8889, 0.0)}
#The maximum x value is 0.02667679708700396, which is in quad 31 {(0.0, 0.2778)(0.25, 0.3389)(0.16666666666666666, 0.3370333333333333)(0.0, 0.30555)}, which is in triangle 11 {(0.0, 0.3333)(0.0, 0.2778)(0.5, 0.4)}
#The minimum y value is 0.001827533439426469, which is in quad 94 {(0.0, 0.8889)(0.0278, 0.94445)(0.018533333333333332, 0.9444333333333333)(0.0, 0.91665)}, which is in triangle 32 {(0.0, 0.9444)(0.0, 0.8889)(0.0556, 1.0)}
#The maximum y value is 0.026958084286105084, which is in quad 242 {(0.6797, 0.8286666666666666)(0.6861999999999999, 0.743)(0.7222, 1.0)(0.69445, 1.0)}, which is in triangle 81 {(0.7222, 1.0)(0.6667, 1.0)(0.6502, 0.486)}
#The mean average for x is 0.009038904341937559
#The mean average for y is 0.011425575465771227

